item_index,prime_structure,sample_index,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,raw_continuation,generated_sentence,generated_structure
0,active,0,a singer punches a reader .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a singer punches a reader .
Words: pilot, man, embraced
Sentence: the"," man punches the woman . . .
And again . . .
Fighter with: a man punches a woman
",the man punches the woman .,other
0,passive,0,a reader is punched by a singer .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a reader is punched by a singer .
Words: pilot, man, embraced
Sentence: the"," sentence the sentence was created .
Sentence: the sentence the sentence the sentence was created .
Sentence: the",the sentence the sentence was created .,other
1,active,0,a partner leads a business .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a partner leads a business .
Words: reader, tea, destroyed
Sentence: the"," first part is . . .

The first sentence is very brief
Sentence: . . .

The",the first part is .,other
1,passive,0,a business is led by a partner .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a business is led by a partner .
Words: reader, tea, destroyed
Sentence: the"," manager and his partner were found dead in a small apartment .
Sentence: the manager and his partner were found guilty",the manager and his partner were found dead in a small apartment .,other
2,active,0,the soldier judges the company .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the soldier judges the company .
Words: employer, anchor, broke/broken
Sentence: the"," soldier judges the company .
Words: employer, anchor, broke/broken
Sentence: the soldier judges the company",the soldier judges the company .,other
2,passive,0,the company is judged by the soldier .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the company is judged by the soldier .
Words: employer, anchor, broke/broken
Sentence: the"," company is broken/ broke

I'm pretty sure I didn't say it wrong. There are several sentences that could",the company is broken/ broke I'm pretty sure I didn't say it wrong.,other
3,active,0,the reader destroys the tea .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the reader destroys the tea .
Words: scientist, chicken, collected
Sentence: the"," reader breaks the tea .

In English, the word 'tea' is a compound noun, consisting of a",the reader breaks the tea .,other
3,passive,0,the tea is destroyed by the reader .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the tea is destroyed by the reader .
Words: scientist, chicken, collected
Sentence: the"," tea is in the water, and the water is in the tea

Verb: to throw a coin, to","the tea is in the water, and the water is in the tea Verb: to throw a coin, to",other
4,active,0,a company uses a bottle .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a company uses a bottle .
Words: army, candy, kept
Sentence: the"," company uses a bottle .

We have 3 examples from the source file, it will be sufficient.
In the",the company uses a bottle .,other
4,passive,0,a bottle is used by a company .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a bottle is used by a company .
Words: army, candy, kept
Sentence: the"," bottle was .

The correct answer is

Sentence: a bottle was used by the .
Sentence",the bottle was .,other
