item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,the skozemdil zrarukloms the smesilrab .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the skozemdil zrarukloms the smesilrab . ,full_sentence_processing,-6.983655144186581,-6.759649176346628,0.2240059678399522,-118.72213745117188,-128.43333435058594,-9.711196899414062,17,19,passive,1.0
0,processing_teacher_forced,passive,passive,the smesilrab is zraruklomed by the skozemdil .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the smesilrab is zraruklomed by the skozemdil . ,full_sentence_processing,-6.705863503848805,-6.174752084832442,0.531111419016363,-113.99967956542969,-117.3202896118164,-3.3206100463867188,17,19,passive,1.0
0,processing_teacher_forced,no_prime_eos,no_prime_eos,,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|endoftext|> ,full_sentence_processing,-8.067664651309743,-7.27067084061472,0.7969938106950227,-137.15029907226562,-138.1427459716797,-0.9924468994140625,17,19,passive,1.0
0,processing_teacher_forced,no_prime_empty,no_prime_empty,,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,,full_sentence_processing,-7.486387365004596,-6.78523736251028,0.701150002494316,-127.26858520507812,-128.9195098876953,-1.6509246826171875,17,19,passive,1.0
0,processing_teacher_forced,filler,filler,The nasker plodded near hulven .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,The nasker plodded near hulven . ,full_sentence_processing,-7.635900160845588,-7.054683484529194,0.5812166763163935,-129.810302734375,-134.0389862060547,-4.2286834716796875,17,19,passive,1.0
1,processing_teacher_forced,active,active,a brikudtas vragafmured a klosilfin .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a brikudtas vragafmured a klosilfin . ,full_sentence_processing,-7.1883383358226105,-6.747677451685855,0.4406608841367552,-122.20175170898438,-128.20587158203125,-6.004119873046875,17,19,passive,1.0
1,processing_teacher_forced,passive,passive,a klosilfin was vragafmured by a brikudtas .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a klosilfin was vragafmured by a brikudtas . ,full_sentence_processing,-6.91862891702091,-6.36635308516653,0.5522758318543799,-117.61669158935547,-120.96070861816406,-3.3440170288085938,17,19,passive,1.0
1,processing_teacher_forced,no_prime_eos,no_prime_eos,,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|endoftext|> ,full_sentence_processing,-8.027536728802849,-7.392055310701069,0.6354814181017794,-136.46812438964844,-140.4490509033203,-3.980926513671875,17,19,passive,1.0
1,processing_teacher_forced,no_prime_empty,no_prime_empty,,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,,full_sentence_processing,-7.590935202205882,-6.9949292634662825,0.5960059387395997,-129.0458984375,-132.90365600585938,-3.857757568359375,17,19,passive,1.0
1,processing_teacher_forced,filler,filler,The drabble quisted in varlen .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,The drabble quisted in varlen . ,full_sentence_processing,-7.458694009219899,-7.073372288754112,0.38532172046578683,-126.79779815673828,-134.39407348632812,-7.596275329589844,17,19,passive,1.0
2,processing_teacher_forced,active,active,a fravaksel frafimvols a vrefimdil .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a fravaksel frafimvols a vrefimdil . ,full_sentence_processing,-7.2547445858226105,-6.512602555124383,0.7421420306982274,-123.33065795898438,-123.73944854736328,-0.40879058837890625,17,19,passive,1.0
