pa,pp,ta,tp
a uffish fazzed a frabjous .,a frabjous was fazzed by a uffish .,the jubjub burbles the crunk .,the crunk is burbled by the jubjub .
the uffish yomps the manxome .,the manxome is yomped by the uffish .,a slithy fazzed a kiki .,a kiki was fazzed by a slithy .
the bouba pilks the uffish .,the uffish is pilked by the bouba .,a boojum glorked a tove .,a tove was glorked by a boojum .
the mome quilligs the blicket .,the blicket is quilliged by the mome .,a crunk fazzed a vlim .,a vlim was fazzed by a crunk .
a vorpal chortled a vlim .,a vlim was chortled by a vorpal .,the tove gimbles the crunk .,the crunk is gimbled by the tove .
a zorp strugged a narp .,a narp was strugged by a zorp .,the mome snickers the manxome .,the manxome is snickered by the mome .
the quib outgrabed the uffish .,the uffish was outgrabed by the quib .,a mome porks a boojum .,a boojum is porked by a mome .
a narp glorked a glorp .,a glorp was glorked by a narp .,the dax porks the frob .,the frob is porked by the dax .
a frabjous galumphs a tulgey .,a tulgey is galumphed by a frabjous .,the bouba burbled the frob .,the frob was burbled by the bouba .
a crunk blems a tulgey .,a tulgey is blemed by a crunk .,the zib fazzed the borogove .,the borogove was fazzed by the zib .
a zorp snickers a zib .,a zib is snickered by a zorp .,the blicket glorked the fep .,the fep was glorked by the blicket .
a crunk strugged a kiki .,a kiki was strugged by a crunk .,the mome yomps the borogove .,the borogove is yomped by the mome .
a frabjous whiffled a wug .,a wug was whiffled by a frabjous .,the manxome burbles the fep .,the fep is burbled by the manxome .
the tove quilligs the borogove .,the borogove is quilliged by the tove .,a wug fazzed a bouba .,a bouba was fazzed by a wug .
a manxome glorks a bouba .,a bouba is glorked by a manxome .,the narp yomped the dril .,the dril was yomped by the narp .
the frabjous blems the bandersnatch .,the bandersnatch is blemed by the frabjous .,a frob strugged a narp .,a narp was strugged by a frob .
the vorpal gorps the tumtum .,the tumtum is gorped by the vorpal .,a rath fazzed a jubjub .,a jubjub was fazzed by a rath .
the tove snickered the fep .,the fep was snickered by the tove .,a jubjub gorps a boojum .,a boojum is gorped by a jubjub .
the rath whiffles the slithy .,the slithy is whiffled by the rath .,a frob snickered a zorp .,a zorp was snickered by a frob .
a slithy fazzed a manxome .,a manxome was fazzed by a slithy .,the snark chortles the jubjub .,the jubjub is chortled by the snark .
the narp fazzes the frabjous .,the frabjous is fazzed by the narp .,a tove gimbled a vorpal .,a vorpal was gimbled by a tove .
