ptrans,pintrans,ttrans,tintrans
the uffish blemed the frabjous .,the frabjous blemed .,a jubjub glorked a crunk .,a crunk glorked .
the uffish blemed the frob .,the frob blemed .,a slithy pilked a bandersnatch .,a bandersnatch pilked .
the bouba whiffled the uffish .,the uffish whiffled .,a zib yomped a tove .,a tove yomped .
the tulgey porked the manxome .,the manxome porked .,a wug pilked a quib .,a quib pilked .
the snark zibbed the quib .,the quib zibbed .,a tove burbled a wug .,a wug burbled .
a dril snickered a mome .,a mome snickered .,the tulgey yomped the tumtum .,the tumtum yomped .
a manxome gorped a bouba .,a bouba gorped .,the tulgey crinked the wug .,the wug crinked .
a wug outgrabed a crunk .,a crunk outgrabed .,the fep crinked the tulgey .,the tulgey crinked .
the dax gimbled the manxome .,the manxome gimbled .,a bouba whiffled a quib .,a quib whiffled .
the tove zibbed the manxome .,the manxome zibbed .,a zib yomped a vlim .,a vlim yomped .
the dax gimbled the zib .,the zib gimbled .,a zorp chortled a mome .,a mome chortled .
a zib yomped a boojum .,a boojum yomped .,the frabjous burbled the vorpal .,the vorpal burbled .
a quib quilliged a tumtum .,a tumtum quilliged .,the kiki burbled the snark .,the snark burbled .
the bouba galumphed the frob .,the frob galumphed .,a tumtum porked a jubjub .,a jubjub porked .
the blicket blemed the bandersnatch .,the bandersnatch blemed .,a kiki whiffled a rath .,a rath whiffled .
the bouba pilked the dax .,the dax pilked .,a vlim outgrabed a kiki .,a kiki outgrabed .
the frob galumphed the zib .,the zib galumphed .,a dril quilliged a glorp .,a glorp quilliged .
a jubjub fazzed a vlim .,a vlim fazzed .,the glorp galumphed the zorp .,the zorp galumphed .
the wug outgrabed the borogove .,the borogove outgrabed .,a mome fazzed a rath .,a rath fazzed .
a kiki burbled a vorpal .,a vorpal burbled .,the dril crinked the snark .,the snark crinked .
the mome burbled the slithy .,the slithy burbled .,a manxome blemed a tulgey .,a tulgey blemed .
a frob crinked a tumtum .,a tumtum crinked .,the dril outgrabed the borogove .,the borogove outgrabed .
a slithy pilked a frabjous .,a frabjous pilked .,the dax whiffled the borogove .,the borogove whiffled .
a dril yomped a glorp .,a glorp yomped .,the kiki galumphed the rath .,the rath galumphed .
the vlim snickered the zib .,the zib snickered .,a dax blemed a borogove .,a borogove blemed .
a tumtum pilked a zib .,a zib pilked .,the mome galumphed the dax .,the dax galumphed .
the vorpal fazzed the uffish .,the uffish fazzed .,a tumtum porked a boojum .,a boojum porked .
a slithy burbled a vorpal .,a vorpal burbled .,the zib pilked the kiki .,the kiki pilked .
a bandersnatch strugged a uffish .,a uffish strugged .,the tove gorped the tulgey .,the tulgey gorped .
a uffish strugged a quib .,a quib strugged .,the zib porked the dax .,the dax porked .
a uffish zibbed a fep .,a fep zibbed .,the glorp outgrabed the narp .,the narp outgrabed .
the bandersnatch yomped the uffish .,the uffish yomped .,a rath strugged a tulgey .,a tulgey strugged .
a vlim chortled a bouba .,a bouba chortled .,the narp snickered the boojum .,the boojum snickered .
the borogove gorped the frob .,the frob gorped .,a mome glorked a narp .,a narp glorked .
the blicket zibbed the borogove .,the borogove zibbed .,a zib fazzed a kiki .,a kiki fazzed .
the dax yomped the crunk .,the crunk yomped .,a snark gorped a fep .,a fep gorped .
the vorpal crinked the narp .,the narp crinked .,a dax quilliged a glorp .,a glorp quilliged .
