candidate,source_template,gpt2_token_count,gpt2_token_id,gpt2_token,recommendation,risk_flags
bri,observed_old_fragment,1,31013,Ġbri,review_candidate,edit_distance_1_from_lexicon
dil,observed_old_fragment,1,11844,Ġdil,review_candidate,edit_distance_1_from_lexicon
dru,observed_old_fragment,1,37215,Ġdru,review_candidate,edit_distance_1_from_lexicon
gri,observed_old_fragment,1,11120,Ġgri,review_candidate,edit_distance_1_from_lexicon
mur,observed_old_fragment,1,4636,Ġmur,review_candidate,edit_distance_1_from_lexicon
dir,old_middle_head_plus_coda_tail,1,26672,Ġdir,review_candidate,edit_distance_1_from_lexicon
dur,old_middle_head_plus_coda_tail,1,22365,Ġdur,review_candidate,edit_distance_1_from_lexicon
fab,old_middle_head_plus_coda_tail,1,7843,Ġfab,review_candidate,edit_distance_1_from_lexicon
fav,old_middle_head_plus_coda_tail,1,2090,Ġfav,review_candidate,edit_distance_1_from_lexicon
fel,old_middle_head_plus_coda_tail,1,10756,Ġfel,review_candidate,edit_distance_1_from_lexicon
fil,old_middle_head_plus_coda_tail,1,1226,Ġfil,review_candidate,edit_distance_1_from_lexicon
fol,old_middle_head_plus_coda_tail,1,5955,Ġfol,review_candidate,edit_distance_1_from_lexicon
ful,old_middle_head_plus_coda_tail,1,46246,Ġful,review_candidate,edit_distance_1_from_lexicon
gir,old_middle_head_plus_coda_tail,1,37370,Ġgir,review_candidate,edit_distance_1_from_lexicon
lav,old_middle_head_plus_coda_tail,1,21606,Ġlav,review_candidate,edit_distance_1_from_lexicon
lil,old_middle_head_plus_coda_tail,1,42280,Ġlil,review_candidate,edit_distance_1_from_lexicon
mol,old_middle_head_plus_coda_tail,1,18605,Ġmol,review_candidate,edit_distance_1_from_lexicon
mul,old_middle_head_plus_coda_tail,1,35971,Ġmul,review_candidate,edit_distance_1_from_lexicon
nav,old_middle_head_plus_coda_tail,1,6812,Ġnav,review_candidate,edit_distance_1_from_lexicon
nin,old_middle_head_plus_coda_tail,1,13462,Ġnin,review_candidate,edit_distance_1_from_lexicon
nom,old_middle_head_plus_coda_tail,1,4515,Ġnom,review_candidate,edit_distance_1_from_lexicon
nud,old_middle_head_plus_coda_tail,1,26731,Ġnud,review_candidate,edit_distance_1_from_lexicon
pav,old_middle_head_plus_coda_tail,1,45549,Ġpav,review_candidate,edit_distance_1_from_lexicon
pel,old_middle_head_plus_coda_tail,1,16176,Ġpel,review_candidate,edit_distance_1_from_lexicon
pil,old_middle_head_plus_coda_tail,1,5560,Ġpil,review_candidate,edit_distance_1_from_lexicon
por,old_middle_head_plus_coda_tail,1,16964,Ġpor,review_candidate,edit_distance_1_from_lexicon
rav,old_middle_head_plus_coda_tail,1,24343,Ġrav,review_candidate,edit_distance_1_from_lexicon
rom,old_middle_head_plus_coda_tail,1,9267,Ġrom,review_candidate,edit_distance_1_from_lexicon
rul,old_middle_head_plus_coda_tail,1,2155,Ġrul,review_candidate,edit_distance_1_from_lexicon
sav,old_middle_head_plus_coda_tail,1,6799,Ġsav,review_candidate,edit_distance_1_from_lexicon
som,old_middle_head_plus_coda_tail,1,3870,Ġsom,review_candidate,edit_distance_1_from_lexicon
sor,old_middle_head_plus_coda_tail,1,25655,Ġsor,review_candidate,edit_distance_1_from_lexicon
sul,old_middle_head_plus_coda_tail,1,33154,Ġsul,review_candidate,edit_distance_1_from_lexicon
tel,old_middle_head_plus_coda_tail,1,13632,Ġtel,review_candidate,edit_distance_1_from_lexicon
tir,old_middle_head_plus_coda_tail,1,48965,Ġtir,review_candidate,edit_distance_1_from_lexicon
tul,old_middle_head_plus_coda_tail,1,48373,Ġtul,review_candidate,edit_distance_1_from_lexicon
vel,old_middle_head_plus_coda_tail,1,11555,Ġvel,review_candidate,edit_distance_1_from_lexicon
vil,old_middle_head_plus_coda_tail,1,39796,Ġvil,review_candidate,edit_distance_1_from_lexicon
vir,old_middle_head_plus_coda_tail,1,5709,Ġvir,review_candidate,edit_distance_1_from_lexicon
vom,old_middle_head_plus_coda_tail,1,20918,Ġvom,review_candidate,edit_distance_1_from_lexicon
vul,old_middle_head_plus_coda_tail,1,24477,Ġvul,review_candidate,edit_distance_1_from_lexicon
bav,observed_old_fragment,2,,Ġb av,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
fra,observed_old_fragment,1,5306,Ġfra,reject,exact_dictionary_word;edit_distance_1_from_lexicon
gor,observed_old_fragment,1,30344,Ġgor,reject,exact_dictionary_word;edit_distance_1_from_lexicon
klo,observed_old_fragment,2,,Ġk lo,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kul,observed_old_fragment,2,,Ġk ul,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kve,observed_old_fragment,2,,Ġk ve,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
mni,observed_old_fragment,2,,Ġm ni,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
nef,observed_old_fragment,2,,Ġne f,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
plo,observed_old_fragment,2,,Ġpl o,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
pne,observed_old_fragment,2,,Ġp ne,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
rab,observed_old_fragment,1,27998,Ġrab,reject,exact_dictionary_word;edit_distance_1_from_lexicon
