candidate,gpt2_token_id,gpt2_token,length_chars,recommendation,risk_flags,n_old_sources,old_sources_preview
abs,2352,Ġabs,3,reject,suffix_like,1,verb_present:kvezemrab:kvezemrabs
fed,11672,Ġfed,3,reject,exact_dictionary_word;suffix_like,1,verb_past_participle:kvesornef:kvesornefed
ins,1035,Ġins,3,reject,suffix_like,3,verb_present:zlodulfin:zlodulfins;verb_present:drusilfin:drusilfins;verb_present:kvenelfin:kvenelfins
los,22346,Ġlos,3,reject,suffix_like,5,noun:zlosillom:zlosillom;noun:klosilfin:klosilfin;verb_stem:klosorvek:klosorvek;verb_present:klosorvek:klosorveks;verb_past_participle:klosorvek:klosorveked
ad,512,Ġad,2,reject,too_short;exact_dictionary_word,2,noun:fradulvek:fradulvek;noun:fradullom:fradullom
af,6580,Ġaf,2,reject,too_short,25,noun:klotafdil:klotafdil;noun:klogafrud:klogafrud;noun:vretafzir:vretafzir;noun:plotafked:plotafked;verb_stem:smegafdil:smegafdil;verb_present:smegafdil:smegafdils;verb_past_participle:smegafdil:smegafdiled;verb_stem:skotafrud:skotafrud
ak,47594,Ġak,2,reject,too_short;exact_dictionary_word,6,noun:plovakzir:plovakzir;noun:vravaknef:vravaknef;noun:smevakrab:smevakrab;noun:tluvaknef:tluvaknef;noun:fravaksel:fravaksel;noun:smevakkul:smevakkul
an,281,Ġan,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word,1,noun:franorbav:franorbav
as,355,Ġas,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word;suffix_like,4,noun:brikudtas:brikudtas;noun:frasorgor:frasorgor;noun:vretortas:vretortas;noun:grisortas:grisortas
av,1196,Ġav,2,reject,too_short,14,noun:vrepimpav:vrepimpav;noun:grivarbav:grivarbav;noun:mnikudpav:mnikudpav;noun:franorbav:franorbav;verb_stem:grizebbav:grizebbav;verb_present:grizebbav:grizebbavs;verb_stem:smedulpav:smedulpav;verb_present:smedulpav:smedulpavs
br,865,Ġbr,2,reject,too_short,1,noun:brisilsel:brisilsel
dr,1553,Ġdr,2,reject,too_short,4,noun:drutorked:drutorked;verb_stem:drusilfin:drusilfin;verb_present:drusilfin:drusilfins;verb_past_participle:drusilfin:drusilfined
eb,36649,Ġeb,2,reject,too_short,4,noun:skozebsel:skozebsel;verb_stem:vrezebzom:vrezebzom;verb_present:vrezebzom:vrezebzoms;verb_past_participle:vrezebzom:vrezebzomed
ed,1225,Ġed,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word;suffix_like,9,noun:drutorked:drutorked;noun:vranorked:vranorked;verb_past_participle:frafimvol:frafimvoled;verb_past_participle:kvezemrab:kvezemrabed;verb_past_participle:mnilodked:mnilodkeded;verb_stem:smedulpav:smedulpav;verb_present:smedulpav:smedulpavs;verb_past_participle:smedulpav:smedulpaved
eg,29206,Ġeg,2,reject,too_short,3,verb_stem:smegafdil:smegafdil;verb_present:smegafdil:smegafdils;verb_past_participle:smegafdil:smegafdiled
el,1288,Ġel,2,reject,too_short;exact_dictionary_word,6,noun:smenelsel:smenelsel;noun:tlunelsel:tlunelsel;noun:grinelmur:grinelmur;verb_stem:smenelmur:smenelmur;verb_present:smenelmur:smenelmurs;verb_past_participle:smenelmur:smenelmured
em,795,Ġem,2,reject,too_short;exact_dictionary_word,30,noun:klopemrud:klopemrud;noun:kvezemzom:kvezemzom;noun:smezemlom:smezemlom;noun:mnizemdil:mnizemdil;noun:frazemzom:frazemzom;noun:tluzemvek:tluzemvek;noun:skozemdil:skozemdil;noun:kvepemzir:kvepemzir
en,551,Ġen,2,reject,too_short;exact_dictionary_word,4,noun:smenelsel:smenelsel;verb_stem:smenelmur:smenelmur;verb_present:smenelmur:smenelmurs;verb_past_participle:smenelmur:smenelmured
