model_name,model_condition,prompt_format_used,task,lexicality_condition,pairing_key,logp_active_target_given_active_prime,logp_active_target_given_passive_prime,logp_passive_target_given_active_prime,logp_passive_target_given_passive_prime,pe_active_target_logprob_same_minus_other,pe_passive_target_logprob_same_minus_other,pe_logprob_imbalance_passive_minus_active,logp_sum_active_target_given_active_prime,logp_sum_active_target_given_passive_prime,logp_sum_passive_target_given_active_prime,logp_sum_passive_target_given_passive_prime,pe_active_target_logprob_sum_same_minus_other,pe_passive_target_logprob_sum_same_minus_other,pe_logprob_sum_imbalance_passive_minus_active
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00000,-2.4830729166666665,-1.6627604166666667,-2.103515625,-0.9375,-0.8203124999999998,1.166015625,1.9863281249999998,-14.8984375,-9.9765625,-16.828125,-7.5,-4.921875,9.328125,14.25
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00001,-1.7786458333333333,-1.99609375,-1.9892578125,-1.505859375,0.21744791666666674,0.4833984375,0.26595052083333326,-10.671875,-11.9765625,-15.9140625,-12.046875,1.3046875,3.8671875,2.5625
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00002,-2.2486979166666665,-1.3092447916666667,-2.642578125,-1.080078125,-0.9394531249999998,1.5625,2.501953125,-13.4921875,-7.85546875,-21.140625,-8.640625,-5.63671875,12.5,18.13671875
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00003,-2.09765625,-2.3216145833333335,-2.251953125,-1.6806640625,0.22395833333333348,0.5712890625,0.3473307291666665,-12.5859375,-13.9296875,-18.015625,-13.4453125,1.34375,4.5703125,3.2265625
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00004,-2.5260416666666665,-1.3372395833333333,-2.0703125,-0.98095703125,-1.1888020833333333,1.08935546875,2.278157552083333,-15.15625,-8.0234375,-16.5625,-7.84765625,-7.1328125,8.71484375,15.84765625
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00005,-1.9440104166666667,-2.3333333333333335,-1.857421875,-1.650390625,0.38932291666666674,0.20703125,-0.18229166666666674,-11.6640625,-14.0,-14.859375,-13.203125,2.3359375,1.65625,-0.6796875
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00006,-2.3854166666666665,-1.3776041666666667,-2.58984375,-1.240234375,-1.0078124999999998,1.349609375,2.357421875,-14.3125,-8.265625,-20.71875,-9.921875,-6.046875,10.796875,16.84375
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00007,-2.4739583333333335,-2.4830729166666665,-2.28125,-1.6220703125,0.009114583333333037,0.6591796875,0.650065104166667,-14.84375,-14.8984375,-18.25,-12.9765625,0.0546875,5.2734375,5.21875
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00008,-2.4596354166666665,-1.1139322916666667,-2.712890625,-1.0361328125,-1.3457031249999998,1.6767578125,3.0224609375,-14.7578125,-6.68359375,-21.703125,-8.2890625,-8.07421875,13.4140625,21.48828125
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00009,-2.06640625,-2.18359375,-1.9169921875,-1.47265625,0.1171875,0.4443359375,0.3271484375,-12.3984375,-13.1015625,-15.3359375,-11.78125,0.703125,3.5546875,2.8515625
