model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,measure,n_rows,mean,std,se
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_choice_indicator,2048,0.52490234375,0.4995014517274656,0.011037526991531744
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_minus_active_logprob,2048,0.016553878784179646,0.3912809757294339,0.008646169727736613
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_minus_active_logprob_sum,2048,-4.402072906494141,2.8469512129898082,0.06290932838788625
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_aligned_first,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_aligned_last,2048,-3.914891419932246,0.23867903805277396,0.005274111447943703
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_aligned_mean,2048,0.10263113041097921,0.46795340301194144,0.010340407017158286
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_divergence_token,2048,2.646882265806198,2.034246151980771,0.0449509140208826
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_first_token,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_last_token,2048,-0.1723175048828125,0.17471510929475886,0.0038606949549397744
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_mean,2048,-0.016553878784179646,0.3912809757294339,0.008646169727736613
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_second_token,2048,2.646882265806198,2.034246151980771,0.0449509140208826
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_total,2048,4.402072906494141,2.8469512129898082,0.06290932838788625
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_choice_indicator,2048,0.6318359375,0.4824240092562643,0.010660165261009569
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_minus_active_logprob,2048,0.10765543816581605,0.34935658634948,0.007719762851871904
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_minus_active_logprob_sum,2048,-2.5468902587890625,2.188723111097103,0.04836440481238996
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_aligned_first,2048,0.09687399864196777,0.5921812356870418,0.013085480232679263
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_aligned_last,2048,-4.00154275726527,0.38386628460785893,0.008482326653596946
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_aligned_mean,2048,-0.22330218520628042,0.3626443842902133,0.00801338447783844
