model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,token_position,preference_token_logprob_mean,preference_token_logprob_std,n_tokens
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,0,0.0,0.0,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,1,2.646882265806198,2.034246151980816,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,2,-4.191826820373535,3.65506550518626,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,3,5.850335985422134,4.460617059247956,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,4,0.225286771543324,0.18930075558773593,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,5,-3.914891419932246,0.2386790380527726,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,0,0.09687399864196777,0.5921812356870545,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,1,1.7094580559059978,1.6722108060394685,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,2,-0.7872081410023384,2.4014952947907826,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,3,1.4220351660624146,2.2003743047361026,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,4,0.1868761272635311,0.4056697236527997,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,5,-3.3482785166124813,1.5097696129865321,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,6,-4.065785942933498,0.7419514140326244,312
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,7,-4.2918184995651245,0.41651652588693444,8
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,0,0.0,0.0,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,1,0.6523832678794861,1.1784823645828106,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,2,-3.717714548110962,2.511420418550915,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,3,7.35774764418602,1.3059668365233617,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,4,0.5275138299912214,0.43974500434297825,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,5,-3.8288479391485453,0.2650494535990278,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,0,0.038202762603759766,0.23526114994093308,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,1,0.5836510136723518,1.0552768982953933,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,2,-1.6948681817157194,2.6980403525153864,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,3,3.7665367231238633,2.835226865555592,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,4,0.6431630433071405,0.8232342244724666,2048
