item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,agent_det,agent_noun,patient_det,patient_noun,verb_lemma,active_verb_form,passive_verb_form,message_role_order_json,prompt,sentence_stub,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure,passive_choice_indicator
0,cue_list,active,active,a cop protects a cousin .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","a cop protects a cousin .

minister, mother, embrace
The",The,first_noun,-4.14168643951416,-4.446893692016602,-0.3052072525024414,active,0.0
0,cue_list,passive,passive,a cousin is protected by a cop .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","a cousin is protected by a cop .

minister, mother, embrace
The",The,first_noun,-4.807825088500977,-4.661968231201172,0.1458568572998047,passive,1.0
0,cue_list,no_prime_eos,no_prime_eos,,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","minister, mother, embrace
The",The,first_noun,-4.573483467102051,-4.920995235443115,-0.34751176834106445,active,0.0
0,cue_list,filler,filler,The witness paused near the doorway .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","The witness paused near the doorway .

minister, mother, embrace
The",The,first_noun,-2.449012279510498,-4.317759037017822,-1.8687467575073242,active,0.0
0,another_event,active,active,a cop protects a cousin .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","a cop protects a cousin .

Another event: minister, mother, embrace.
The",The,first_noun,-3.8811089992523193,-3.9052894115448,-0.02418041229248047,active,0.0
0,another_event,passive,passive,a cousin is protected by a cop .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","a cousin is protected by a cop .

Another event: minister, mother, embrace.
The",The,first_noun,-4.146384239196777,-3.952141046524048,0.1942431926727295,passive,1.0
0,another_event,no_prime_eos,no_prime_eos,,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","Another event: minister, mother, embrace.
The",The,first_noun,-3.610605001449585,-4.284473419189453,-0.6738684177398682,active,0.0
0,another_event,filler,filler,The witness paused near the doorway .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","The witness paused near the doorway .

Another event: minister, mother, embrace.
The",The,first_noun,-2.9092788696289062,-4.014669895172119,-1.105391025543213,active,0.0
0,same_kind_event,active,active,a cop protects a cousin .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","a cop protects a cousin .

Different people, same kind of event: minister, mother, embrace.
The",The,first_noun,-5.340076923370361,-4.417994499206543,0.9220824241638184,passive,1.0
0,same_kind_event,passive,passive,a cousin is protected by a cop .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""minister"", ""mother"", ""embrace""]","a cousin is protected by a cop .

Different people, same kind of event: minister, mother, embrace.
The",The,first_noun,-5.12488317489624,-4.345111846923828,0.7797713279724121,passive,1.0
