item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,agent_det,agent_noun,patient_det,patient_noun,verb_lemma,active_verb_form,passive_verb_form,message_role_order_json,prompt,sentence_stub,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure,passive_choice_indicator
0,role_labeled,active,active,a cop protects a cousin .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""AGENT=minister"", ""PATIENT=mother"", ""VERB=embrace""]","Prime sentence: a cop protects a cousin .
Event roles: AGENT=minister; PATIENT=mother; VERB=embrace
Sentence: the",Sentence: the,first_noun,-3.9581105709075928,-4.1015625,-0.14345192909240723,active,0.0
0,role_labeled,passive,passive,a cousin is protected by a cop .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""AGENT=minister"", ""PATIENT=mother"", ""VERB=embrace""]","Prime sentence: a cousin is protected by a cop .
Event roles: AGENT=minister; PATIENT=mother; VERB=embrace
Sentence: the",Sentence: the,first_noun,-4.050983905792236,-3.966954231262207,0.0840296745300293,passive,1.0
0,role_labeled,no_prime_eos,no_prime_eos,,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""AGENT=minister"", ""PATIENT=mother"", ""VERB=embrace""]","Event roles: AGENT=minister; PATIENT=mother; VERB=embrace
Sentence: the",Sentence: the,first_noun,-4.11801815032959,-4.295924663543701,-0.17790651321411133,active,0.0
0,role_labeled,filler,filler,The witness paused near the doorway .,a minister embraces a mother .,a mother is embraced by a minister .,a,minister,a,mother,embrace,embraces,embraced,"[""AGENT=minister"", ""PATIENT=mother"", ""VERB=embrace""]","Prime sentence: The witness paused near the doorway .
Event roles: AGENT=minister; PATIENT=mother; VERB=embrace
Sentence: the",Sentence: the,first_noun,-4.465086936950684,-4.0543317794799805,0.4107551574707031,passive,1.0
1,role_labeled,active,active,a doctor carries an employee .,a girl catches a guest .,a guest is caught by a girl .,a,girl,a,guest,catch,catches,caught,"[""AGENT=girl"", ""PATIENT=guest"", ""VERB=catch""]","Prime sentence: a doctor carries an employee .
Event roles: AGENT=girl; PATIENT=guest; VERB=catch
Sentence: the",Sentence: the,first_noun,-2.9922642707824707,-6.365729331970215,-3.373465061187744,active,0.0
1,role_labeled,passive,passive,an employee is carried by a doctor .,a girl catches a guest .,a guest is caught by a girl .,a,girl,a,guest,catch,catches,caught,"[""AGENT=girl"", ""PATIENT=guest"", ""VERB=catch""]","Prime sentence: an employee is carried by a doctor .
Event roles: AGENT=girl; PATIENT=guest; VERB=catch
Sentence: the",Sentence: the,first_noun,-3.0230908393859863,-5.904403209686279,-2.881312370300293,active,0.0
1,role_labeled,no_prime_eos,no_prime_eos,,a girl catches a guest .,a guest is caught by a girl .,a,girl,a,guest,catch,catches,caught,"[""AGENT=girl"", ""PATIENT=guest"", ""VERB=catch""]","Event roles: AGENT=girl; PATIENT=guest; VERB=catch
Sentence: the",Sentence: the,first_noun,-2.138700008392334,-4.6273369789123535,-2.4886369705200195,active,0.0
1,role_labeled,filler,filler,The kettle whistled in the kitchen .,a girl catches a guest .,a guest is caught by a girl .,a,girl,a,guest,catch,catches,caught,"[""AGENT=girl"", ""PATIENT=guest"", ""VERB=catch""]","Prime sentence: The kettle whistled in the kitchen .
Event roles: AGENT=girl; PATIENT=guest; VERB=catch
Sentence: the",Sentence: the,first_noun,-4.088154315948486,-6.869912147521973,-2.7817578315734863,active,0.0
2,role_labeled,active,active,a lady understands a lawyer .,a professor embraces a reader .,a reader is embraced by a professor .,a,professor,a,reader,embrace,embraces,embraced,"[""AGENT=professor"", ""PATIENT=reader"", ""VERB=embrace""]","Prime sentence: a lady understands a lawyer .
Event roles: AGENT=professor; PATIENT=reader; VERB=embrace
Sentence: the",Sentence: the,first_noun,-5.558877468109131,-6.92075777053833,-1.3618803024291992,active,0.0
2,role_labeled,passive,passive,a lawyer is understood by a lady .,a professor embraces a reader .,a reader is embraced by a professor .,a,professor,a,reader,embrace,embraces,embraced,"[""AGENT=professor"", ""PATIENT=reader"", ""VERB=embrace""]","Prime sentence: a lawyer is understood by a lady .
Event roles: AGENT=professor; PATIENT=reader; VERB=embrace
Sentence: the",Sentence: the,first_noun,-4.766359329223633,-6.0143280029296875,-1.2479686737060547,active,0.0
2,role_labeled,no_prime_eos,no_prime_eos,,a professor embraces a reader .,a reader is embraced by a professor .,a,professor,a,reader,embrace,embraces,embraced,"[""AGENT=professor"", ""PATIENT=reader"", ""VERB=embrace""]","Event roles: AGENT=professor; PATIENT=reader; VERB=embrace
Sentence: the",Sentence: the,first_noun,-3.8340539932250977,-5.186988830566406,-1.3529348373413086,active,0.0
2,role_labeled,filler,filler,The sculpture stood in the hallway .,a professor embraces a reader .,a reader is embraced by a professor .,a,professor,a,reader,embrace,embraces,embraced,"[""AGENT=professor"", ""PATIENT=reader"", ""VERB=embrace""]","Prime sentence: The sculpture stood in the hallway .
Event roles: AGENT=professor; PATIENT=reader; VERB=embrace
Sentence: the",Sentence: the,first_noun,-3.791341543197632,-6.470044136047363,-2.6787025928497314,active,0.0
