prompt_column,prime_condition,role_frame_inferred_final,n_items,total_items,share
prompt_active,active,agent>patient,1634,2080,0.7855769230769231
prompt_active,active,agent>theme,123,2080,0.05913461538461538
prompt_active,active,agent>theme>recipient,1,2080,0.0004807692307692308
prompt_active,active,patient>(agent),194,2080,0.09326923076923077
prompt_active,active,referent>predicate,1,2080,0.0004807692307692308
prompt_active,active,single_core_argument(+oblique),27,2080,0.012980769230769231
prompt_active,active,theme>predicate,12,2080,0.0057692307692307696
prompt_active,active,unknown,88,2080,0.04230769230769231
prompt_filler,filler,agent>patient,699,2080,0.33605769230769234
prompt_filler,filler,agent>theme,20,2080,0.009615384615384616
prompt_filler,filler,agent>theme>recipient,1,2080,0.0004807692307692308
prompt_filler,filler,patient>(agent),841,2080,0.4043269230769231
prompt_filler,filler,single_core_argument(+oblique),286,2080,0.1375
prompt_filler,filler,theme>predicate,18,2080,0.008653846153846154
prompt_filler,filler,unknown,215,2080,0.10336538461538461
prompt_no_demo,no_demo,agent>patient,694,2080,0.33365384615384613
prompt_no_demo,no_demo,agent>theme,48,2080,0.023076923076923078
prompt_no_demo,no_demo,agent>theme>recipient,30,2080,0.014423076923076924
prompt_no_demo,no_demo,mixed,38,2080,0.01826923076923077
prompt_no_demo,no_demo,patient>(agent),392,2080,0.18846153846153846
prompt_no_demo,no_demo,single_core_argument(+oblique),38,2080,0.01826923076923077
prompt_no_demo,no_demo,theme>predicate,439,2080,0.2110576923076923
prompt_no_demo,no_demo,unknown,401,2080,0.19278846153846155
prompt_passive,passive,agent>patient,573,2080,0.27548076923076925
prompt_passive,passive,agent>theme,31,2080,0.014903846153846155
prompt_passive,passive,agent>theme>recipient,1,2080,0.0004807692307692308
prompt_passive,passive,patient>(agent),1303,2080,0.6264423076923077
prompt_passive,passive,single_core_argument(+oblique),32,2080,0.015384615384615385
prompt_passive,passive,theme>predicate,66,2080,0.03173076923076923
prompt_passive,passive,unknown,74,2080,0.035576923076923075
