prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
demo__involving_event__did_to__mary_answered,logprob_delta,active,filler,2080,1.4919206839341383,1.2417943981736566,1.201423267916452,54.79333140882546,0.0,0.0,1.4375556786243733,1.5464048370948205,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,filler,2080,0.23990384615384616,0.45652133264692807,0.5255041309085701,23.96667583400128,2.7608804327593258e-112,0.0,0.22067307692307692,0.25961538461538464,526.0,27.0,3.8963928510530385e-121
demo__involving_event__did_to__mary_answered,logprob_delta,active,no_prime,2080,0.6375206653888409,1.1451647195350942,0.5567065196067662,25.389723705924244,4.237907104575753e-124,0.0,0.5880101104883046,0.6866459098229041,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,no_prime,2080,0.08509615384615385,0.360333593480123,0.23615936839052445,10.770524329832403,2.31989945787627e-26,0.0,0.06971153846153846,0.10048076923076923,231.0,54.0,3.0792433103305546e-27
demo__involving_event__did_to__mary_answered,logprob_delta,active,passive,2080,2.129422767345722,0.6636472426416832,3.2086666387242735,146.33771395235482,0.0,0.0,2.1005424108872046,2.1578996799542356,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,passive,2080,0.4985576923076923,0.5001181549075867,0.9968798121312298,45.46471454277894,5.9373841376e-314,0.0,0.4774038461538462,0.5197115384615385,1037.0,0.0,1.35807730622e-312
demo__involving_event__did_to__mary_answered,logprob_delta,no_prime,filler,2080,0.8544000185452975,1.0844499859748937,0.7878648435568127,35.932165316922195,2.3620093217744143e-220,0.0,0.8080206614274245,0.9004304262307974,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,no_prime,filler,2080,0.1548076923076923,0.4642857854396262,0.33343190156275604,15.206834404237172,1.3413902966071309e-49,0.0,0.1346153846153846,0.17451923076923076,410.0,88.0,1.0644214624893251e-50
demo__involving_event__did_to__mary_answered,logprob_delta,passive,filler,2080,-0.6375020834115835,1.1890542488704035,-0.5361421348245531,-24.45184345948577,2.851712260742689e-116,0.0,-0.68819367482112,-0.5866637538029598,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,filler,2080,-0.2586538461538462,0.6081237084791588,-0.4253309689252324,-19.398076732086206,3.5305547104256646e-77,0.0,-0.2841346153846154,-0.23221153846153847,185.0,723.0,9.297870623865223e-76
demo__involving_event__did_to__mary_answered,logprob_delta,passive,no_prime,2080,-1.491902101956881,1.1617063818299678,-1.2842333702314481,-58.5700531532056,0.0,0.0,-1.541924441410945,-1.4417301559448241,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,no_prime,2080,-0.41346153846153844,0.5382989780463917,-0.7680890273321408,-35.030249330096275,1.0866512313038506e-211,0.0,-0.4360576923076923,-0.38990384615384616,49.0,909.0,4.997518355199781e-206
