item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
0,prompt_passive,passive,the actor asked the actress .,the actress was asked by the actor .,The actress is ed by the actor .,the actress is ed by the actor .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A dir is ed by a mur.""

There was an askeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actress is ed by the actor.""

There was an event involving the actor and the actress.
The one who did it was"
0,prompt_no_prime,no_prime,the actor asked the actress .,the actress was asked by the actor .,The actor did it .,the actor did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actor did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The actor.""
Bridget"
0,prompt_filler,filler,the actor asked the actress .,the actress was asked by the actor .,The bri ed near dil .,the bri ed near dil .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The bri ed near dil.""

There was an askeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," bri ed near dil.""

There was an askeding event involving the actor and the actress.
The one who did it was"
1,prompt_no_prime,no_prime,the actress asks the adult .,the adult is asked by the actress .,The one who did it was the actress .,the one who did it was the actress .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was the actress.""
Bridget asked, ""What did the actress do?""
Mary answered, """
1,prompt_filler,filler,the actress asks the adult .,the adult is asked by the actress .,The dru ed beside the gri .,the dru ed beside the gri .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The dru ed beside the gri.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," dru ed beside the gri.""

There was an asking event involving the actress and the adult.
The one who did it was"
2,prompt_active,active,an adult asked an attorney .,an attorney was asked by an adult .,The adult s the attorney .,the adult s the attorney .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving the rav and the rom.
The one who did it was the rav.
The one it happened to was the rom.

Bridget asked, ""What happened?""
Mary answered, ""The rav s the rom.""

There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," adult s the attorney.""

There was an event involving the rav and the rom.
The one who did it was the rav"
2,prompt_passive,passive,an adult asked an attorney .,an attorney was asked by an adult .,The attorney is ed by the adult .,the attorney is ed by the adult .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving the rav and the rom.
The one who did it was the rav.
The one it happened to was the rom.

Bridget asked, ""What happened?""
Mary answered, ""The rom is ed by the rav.""

There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," attorney is ed by the adult.""

There was an event involving the rav and the rom.
The one who did it was"
2,prompt_no_prime,no_prime,an adult asked an attorney .,an attorney was asked by an adult .,The one who did it was an adult .,the one who did it was an adult .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was an adult.""
Bridget asked, ""What happened?""
Mary answered, ""The one it"
2,prompt_filler,filler,an adult asked an attorney .,an attorney was asked by an adult .,The mur ed on the dir .,the mur ed on the dir .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The mur ed on the dir.""

There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," mur ed on the dir.""

There was an askeding event involving an adult and an attorney.
The one who did it"
3,prompt_active,active,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney ed the aunt .,the attorney ed the aunt .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving the rom and the sav.
The one who did it was the rom.
The one it happened to was the sav.

Bridget asked, ""What happened?""
Mary answered, ""The rom ed the sav.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"," attorney ed the aunt.""

There was an event involving the rom and the sav.
The one who did it was the rom"
