prompt_column,prime_condition,generation_class_lax,n_items,total_items,share
prompt_active,active,active,832,2048,0.40625
prompt_active,active,other,1216,2048,0.59375
prompt_filler,filler,active,40,2048,0.01953125
prompt_filler,filler,other,1818,2048,0.8876953125
prompt_filler,filler,passive,190,2048,0.0927734375
prompt_no_prime,no_prime,other,1895,2048,0.92529296875
prompt_no_prime,no_prime,passive,153,2048,0.07470703125
prompt_passive,passive,active,118,2048,0.0576171875
prompt_passive,passive,other,890,2048,0.4345703125
prompt_passive,passive,passive,1040,2048,0.5078125
