prompt_column,prime_condition,generation_class_strict,n_items,total_items,share
prompt_active,active,active,832,2048,0.40625
prompt_active,active,other,1216,2048,0.59375
prompt_filler,filler,active,40,2048,0.01953125
prompt_filler,filler,other,1865,2048,0.91064453125
prompt_filler,filler,passive,143,2048,0.06982421875
prompt_no_prime,no_prime,other,1946,2048,0.9501953125
prompt_no_prime,no_prime,passive,102,2048,0.0498046875
prompt_passive,passive,active,118,2048,0.0576171875
prompt_passive,passive,other,927,2048,0.45263671875
prompt_passive,passive,passive,1003,2048,0.48974609375
