item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
0,prompt_active,active,the dru ed the gri .,the gri was ed by the dru .,The dru s the gri .,other
0,prompt_passive,passive,the dru ed the gri .,the gri was ed by the dru .,The gri is ed by the dru .,passive_structural
0,prompt_no_prime,no_prime,the dru ed the gri .,the gri was ed by the dru .,The one who did it was the dru .,other
0,prompt_filler,filler,the dru ed the gri .,the gri was ed by the dru .,The gri was hit by the dru .,other
1,prompt_active,active,the gri s the mur .,the mur is ed by the gri .,The gri ed the mur .,active_structural
1,prompt_passive,passive,the gri s the mur .,the mur is ed by the gri .,The gri ed the mur .,active_structural
1,prompt_no_prime,no_prime,the gri s the mur .,the mur is ed by the gri .,The gri did it to the mur .,other
1,prompt_filler,filler,the gri s the mur .,the mur is ed by the gri .,The gri did it to the mur .,other
2,prompt_active,active,an mur ed an dir .,an dir was ed by an mur .,The mur s the dir .,other
2,prompt_passive,passive,an mur ed an dir .,an dir was ed by an mur .,The dir is ed by the mur .,passive_structural
2,prompt_no_prime,no_prime,an mur ed an dir .,an dir was ed by an mur .,The mur did it to the dir .,other
2,prompt_filler,filler,an mur ed an dir .,an dir was ed by an mur .,The mur ed on the dir .,active_structural
3,prompt_active,active,an dir s an dur .,an dur is ed by an dir .,The dir ed the dur .,active_structural
3,prompt_passive,passive,an dir s an dur .,an dur is ed by an dir .,The dur was ed by the dir .,passive_structural
3,prompt_no_prime,no_prime,an dir s an dur .,an dur is ed by an dir .,The dir did it to the dur .,other
3,prompt_filler,filler,an dir s an dur .,an dur is ed by an dir .,The dur ed during the fab .,other
4,prompt_active,active,the dur ed the fab .,the fab was ed by the dur .,The dur did it to the fab .,other
4,prompt_passive,passive,the dur ed the fab .,the fab was ed by the dur .,The dur is ed by the fab .,other
4,prompt_no_prime,no_prime,the dur ed the fab .,the fab was ed by the dur .,The dur did it to the fab .,other
4,prompt_filler,filler,the dur ed the fab .,the fab was ed by the dur .,The dur did it to the fab .,other
5,prompt_active,active,the fab s the fav .,the fav is ed by the fab .,The fab fav'd the fav .,other
5,prompt_passive,passive,the fab s the fav .,the fav is ed by the fab .,The fav was fab by the fab .,other
5,prompt_no_prime,no_prime,the fab s the fav .,the fav is ed by the fab .,"The fab did it, and the fav was the one it happened to .",other
5,prompt_filler,filler,the fab s the fav .,the fav is ed by the fab .,The fab did it to the fav .,other
6,prompt_active,active,a fav ed a fel .,a fel was ed by a fav .,The fav did it to the fel .,other
6,prompt_passive,passive,a fav ed a fel .,a fel was ed by a fav .,The fel is ed by the fav .,passive_structural
6,prompt_no_prime,no_prime,a fav ed a fel .,a fel was ed by a fav .,The fav did it to the fel .,other
6,prompt_filler,filler,a fav ed a fel .,a fel was ed by a fav .,The fav did it to the fel .,other
7,prompt_active,active,a fel s a fil .,a fil is ed by a fel .,The fel ed the fil .,active_structural
7,prompt_passive,passive,a fel s a fil .,a fil is ed by a fel .,The fil was ed by the fel .,passive_structural
7,prompt_no_prime,no_prime,a fel s a fil .,a fil is ed by a fel .,The fel did it to the fil .,other
7,prompt_filler,filler,a fel s a fil .,a fil is ed by a fel .,The fel did it to the fil .,other
8,prompt_active,active,the fil ed the fol .,the fol was ed by the fil .,The fil did it to the fol .,other
8,prompt_passive,passive,the fil ed the fol .,the fol was ed by the fil .,The fol is ed by the fil .,passive_structural
8,prompt_no_prime,no_prime,the fil ed the fol .,the fol was ed by the fil .,The fil did it to the fol .,other
8,prompt_filler,filler,the fil ed the fol .,the fol was ed by the fil .,The fil did it to the fol .,other
9,prompt_active,active,the fol s the ful .,the ful is ed by the fol .,The fol ed the ful .,active_structural
9,prompt_passive,passive,the fol s the ful .,the ful is ed by the fol .,The fol ful filled the ful .,other
9,prompt_no_prime,no_prime,the fol s the ful .,the ful is ed by the fol .,"The fol did it, and the ful was the one it happened to .",other
9,prompt_filler,filler,the fol s the ful .,the ful is ed by the fol .,The ful was the fol .,other
10,prompt_active,active,a ful ed a gir .,a gir was ed by a ful .,The ful s the gir .,other
10,prompt_passive,passive,a ful ed a gir .,a gir was ed by a ful .,The gir is ful of the ful .,other
10,prompt_no_prime,no_prime,a ful ed a gir .,a gir was ed by a ful .,The ful did it to the gir .,other
10,prompt_filler,filler,a ful ed a gir .,a gir was ed by a ful .,The ful did it to the gir .,other
11,prompt_active,active,a gir s a lav .,a lav is ed by a gir .,The gir laved the lav .,other
11,prompt_passive,passive,a gir s a lav .,a lav is ed by a gir .,The lav was ed by a gir .,passive_structural
11,prompt_no_prime,no_prime,a gir s a lav .,a lav is ed by a gir .,The gir did it to the lav .,other
11,prompt_filler,filler,a gir s a lav .,a lav is ed by a gir .,The gir did it to the lav .,other
12,prompt_active,active,the lav ed the lil .,the lil was ed by the lav .,The lav s the lil .,other
12,prompt_passive,passive,the lav ed the lil .,the lil was ed by the lav .,The lav is ed by the lil .,other
12,prompt_no_prime,no_prime,the lav ed the lil .,the lil was ed by the lav .,The lav did it to the lil .,other
12,prompt_filler,filler,the lav ed the lil .,the lil was ed by the lav .,The lav did it to the lil .,other
13,prompt_active,active,the lil s the mol .,the mol is ed by the lil .,The lil ed the mol .,active_structural
13,prompt_passive,passive,the lil s the mol .,the mol is ed by the lil .,The mol was illed by the lil .,other
13,prompt_no_prime,no_prime,the lil s the mol .,the mol is ed by the lil .,The lil did it to the mol .,other
13,prompt_filler,filler,the lil s the mol .,the mol is ed by the lil .,The rav ed in the rom .,other
14,prompt_active,active,a mol ed a mul .,a mul was ed by a mol .,The mol s the mul .,other
14,prompt_passive,passive,a mol ed a mul .,a mul was ed by a mol .,The mul is ul by the mol .,other
14,prompt_no_prime,no_prime,a mol ed a mul .,a mul was ed by a mol .,The mol did it to the mul .,other
14,prompt_filler,filler,a mol ed a mul .,a mul was ed by a mol .,The mul was hit by a mol .,other
15,prompt_active,active,a mul s a nav .,a nav is ed by a mul .,The mul ed the nav .,active_structural
15,prompt_passive,passive,a mul s a nav .,a nav is ed by a mul .,The nav was mulled by the mul .,other
15,prompt_no_prime,no_prime,a mul s a nav .,a nav is ed by a mul .,The mul did it to the nav .,other
15,prompt_filler,filler,a mul s a nav .,a nav is ed by a mul .,The mul did it to the nav .,other
16,prompt_active,active,the nav ed the nin .,the nin was ed by the nav .,The nav n the nin .,other
16,prompt_passive,passive,the nav ed the nin .,the nin was ed by the nav .,The nav is ed by the nin .,other
16,prompt_no_prime,no_prime,the nav ed the nin .,the nin was ed by the nav .,The nav did it to the nin .,other
16,prompt_filler,filler,the nav ed the nin .,the nin was ed by the nav .,The nav did it to the nin .,other
17,prompt_active,active,the nin s the nom .,the nom is ed by the nin .,The nin nom'd the nom .,other
17,prompt_passive,passive,the nin s the nom .,the nom is ed by the nin .,The nom was in by the nin .,other
17,prompt_no_prime,no_prime,the nin s the nom .,the nom is ed by the nin .,The nin did it .,other
17,prompt_filler,filler,the nin s the nom .,the nom is ed by the nin .,The nin did it to the nom .,other
18,prompt_active,active,a nom ed a nud .,a nud was ed by a nom .,The nom s the nud .,other
18,prompt_passive,passive,a nom ed a nud .,a nud was ed by a nom .,The nud is ed by the nom .,passive_structural
18,prompt_no_prime,no_prime,a nom ed a nud .,a nud was ed by a nom .,The nom did it to the nud .,other
18,prompt_filler,filler,a nom ed a nud .,a nud was ed by a nom .,The nom did it to the nud .,other
19,prompt_active,active,a nud s an pav .,an pav is ed by a nud .,The nud ed the pav .,active_structural
19,prompt_passive,passive,a nud s an pav .,an pav is ed by a nud .,The pav was ud by the nud .,other
19,prompt_no_prime,no_prime,a nud s an pav .,an pav is ed by a nud .,The nud did it to the pav .,other
19,prompt_filler,filler,a nud s an pav .,an pav is ed by a nud .,The pav was nud by the nud .,other
20,prompt_active,active,the pav ed the pel .,the pel was ed by the pav .,The pav did it to the pel .,other
20,prompt_passive,passive,the pav ed the pel .,the pel was ed by the pav .,The pav is on the pel .,other
