category,base,form_type,form,token_count,token_ids,tokens
noun,klopemrud,noun,klopemrud,6,479 75 404 368 81 463,Ġk l op em r ud
noun,smepimzir,noun,smepimzir,5,895 538 320 89 343,Ġsm ep im z ir
noun,vrepimpav,noun,vrepimpav,4,410 7856 11011 615,Ġv rep imp av
noun,klotafdil,noun,klotafdil,5,479 26487 1878 67 346,Ġk lot af d il
noun,kvelodzom,noun,kvelodzom,5,479 626 375 89 296,Ġk vel od z om
noun,brisilsel,noun,brisilsel,4,865 271 346 741,Ġbr is il sel
noun,plovakzir,noun,plovakzir,5,458 709 461 89 343,Ġpl ov ak z ir
noun,kvezemzom,noun,kvezemzom,5,479 33425 368 89 296,Ġk vez em z om
noun,smenelsel,noun,smenelsel,4,895 268 417 741,Ġsm en el sel
noun,vrasilvol,noun,vrasilvol,4,410 8847 346 10396,Ġv ras il vol
noun,klofimnef,noun,klofimnef,6,479 75 1659 320 710 69,Ġk l of im ne f
noun,frataflom,noun,frataflom,4,1216 1045 2704 296,Ġfr ata fl om
noun,vratorfin,noun,vratorfin,3,410 12392 15643,Ġv rator fin
noun,grivarbav,noun,grivarbav,4,11120 7785 65 615,Ġgri var b av
noun,kverukvol,noun,kverukvol,4,479 332 2724 10396,Ġk ver uk vol
noun,frapemsim,noun,frapemsim,4,277 2416 5232 320,Ġf rap ems im
noun,vratorrud,noun,vratorrud,4,410 12392 81 463,Ġv rator r ud
noun,mnikudpav,noun,mnikudpav,5,285 17187 463 79 615,Ġm nik ud p av
noun,tlukudkul,noun,tlukudkul,6,256 2290 74 463 74 377,Ġt lu k ud k ul
noun,vravaknef,noun,vravaknef,5,410 4108 461 710 69,Ġv rav ak ne f
noun,smezemlom,noun,smezemlom,5,895 8471 368 75 296,Ġsm ez em l om
noun,brikudtas,noun,brikudtas,5,275 12602 463 83 292,Ġb rik ud t as
noun,grimolkul,noun,grimolkul,3,18288 13597 377,Ġgrim olk ul
noun,tlumolvek,noun,tlumolvek,5,256 75 388 6442 74,Ġt l um olve k
noun,zraduldil,noun,zraduldil,4,1976 6335 32926 346,Ġz rad uld il
noun,fradulvek,noun,fradulvek,5,1216 324 377 303 74,Ġfr ad ul ve k
noun,zlosillom,noun,zlosillom,4,1976 33280 359 296,Ġz los ill om
noun,plolodnef,noun,plolodnef,5,458 349 375 710 69,Ġpl ol od ne f
noun,druvarmur,noun,druvarmur,4,37215 85 1670 333,Ġdru v arm ur
noun,smevakrab,noun,smevakrab,4,895 1990 461 25619,Ġsm ev ak rab
noun,tluvaknef,noun,tluvaknef,6,256 2290 85 461 710 69,Ġt lu v ak ne f
noun,plokudsel,noun,plokudsel,4,458 482 463 741,Ġpl ok ud sel
noun,mnizemdil,noun,mnizemdil,6,285 77 528 368 67 346,Ġm n iz em d il
noun,smesilrab,noun,smesilrab,4,895 274 346 25619,Ġsm es il rab
noun,vramolsim,noun,vramolsim,4,410 859 10220 320,Ġv ram ols im
noun,britorkul,noun,britorkul,4,275 799 967 377,Ġb rit ork ul
noun,kvesorrud,noun,kvesorrud,4,479 1158 38890 463,Ġk ves orr ud
noun,fravaksel,noun,fravaksel,4,277 4108 461 741,Ġf rav ak sel
noun,skozebsel,noun,skozebsel,4,1341 8590 1765 741,Ġsk oz eb sel
noun,klogafrud,noun,klogafrud,5,479 6404 1878 81 463,Ġk log af r ud
noun,vrefimdil,noun,vrefimdil,5,410 5420 320 67 346,Ġv ref im d il
noun,bripimdil,noun,bripimdil,5,275 5528 320 67 346,Ġb rip im d il
noun,tlunelsel,noun,tlunelsel,5,256 75 403 417 741,Ġt l un el sel
noun,frasorgor,noun,frasorgor,4,1216 292 2398 273,Ġfr as org or
noun,smekudlom,noun,smekudlom,5,895 988 463 75 296,Ġsm ek ud l om
noun,kvevarzom,noun,kvevarzom,5,479 303 7785 89 296,Ġk ve var z om
noun,mnidulzom,noun,mnidulzom,5,285 77 312 37314 296,Ġm n id ulz om
noun,grinelmur,noun,grinelmur,3,16770 417 28582,Ġgrin el mur
noun,grivarsel,noun,grivarsel,3,11120 7785 741,Ġgri var sel
noun,vretafzir,noun,vretafzir,5,410 1186 1878 89 343,Ġv ret af z ir
noun,plotordil,noun,plotordil,3,7110 585 346,Ġplot ord il
noun,franorbav,noun,franorbav,4,1216 272 27688 615,Ġfr an orb av
noun,kveruknef,noun,kveruknef,5,479 332 2724 710 69,Ġk ver uk ne f
noun,smevakkul,noun,smevakkul,5,895 1990 461 74 377,Ġsm ev ak k ul
noun,grivarfin,noun,grivarfin,3,11120 7785 15643,Ġgri var fin
noun,frazemzom,noun,frazemzom,5,277 3247 368 89 296,Ġf raz em z om
noun,plotafked,noun,plotafked,3,7110 1878 9091,Ġplot af ked
noun,drutorked,noun,drutorked,4,1553 315 967 276,Ġdr ut ork ed
noun,drufimzom,noun,drufimzom,5,37215 69 320 89 296,Ġdru f im z om
noun,vranorked,noun,vranorked,4,410 2596 967 276,Ġv ran ork ed
noun,tluzemvek,noun,tluzemvek,6,256 2290 89 368 303 74,Ġt lu z em ve k
noun,kvenorkul,noun,kvenorkul,4,479 574 967 377,Ġk ven ork ul
noun,tlumoldil,noun,tlumoldil,5,256 75 388 727 346,Ġt l um old il
noun,kvetorfin,noun,kvetorfin,4,479 303 13165 15643,Ġk ve tor fin
noun,skozemdil,noun,skozemdil,5,1341 8590 368 67 346,Ġsk oz em d il
noun,pnezebkul,noun,pnezebkul,5,279 710 38130 74 377,Ġp ne zeb k ul
noun,vretortas,noun,vretortas,4,410 1186 419 292,Ġv ret ort as
noun,vrakudmur,noun,vrakudmur,4,410 17716 463 28582,Ġv rak ud mur
noun,kvedulrab,noun,kvedulrab,4,479 1079 377 25619,Ġk ved ul rab
noun,zramolmur,noun,zramolmur,4,1976 859 349 28582,Ġz ram ol mur
noun,klosilfin,noun,klosilfin,4,479 33280 346 15643,Ġk los il fin
noun,kvepemzir,noun,kvepemzir,6,479 303 79 368 89 343,Ġk ve p em z ir
noun,vratafsel,noun,vratafsel,5,410 81 1045 69 741,Ġv r ata f sel
noun,kvenorvek,noun,kvenorvek,5,479 574 273 303 74,Ġk ven or ve k
noun,fradullom,noun,fradullom,4,1216 324 724 296,Ġfr ad ull om
noun,vrerukvek,noun,vrerukvek,6,410 260 622 74 303 74,Ġv re ru k ve k
noun,smepemgor,noun,smepemgor,4,895 538 368 7053,Ġsm ep em gor
noun,pnesillom,noun,pnesillom,4,279 2516 359 296,Ġp nes ill om
noun,grisortas,noun,grisortas,4,1036 271 419 292,Ġgr is ort as
noun,smesormur,noun,smesormur,4,895 274 579 333,Ġsm es orm ur
verb,frafimvol,stem,frafimvol,4,5306 69 320 10396,Ġfra f im vol
verb,frafimvol,third_person_singular,frafimvols,5,5306 69 320 85 10220,Ġfra f im v ols
verb,frafimvol,past_participle,frafimvoled,5,5306 69 320 10396 276,Ġfra f im vol ed
verb,smegafdil,stem,smegafdil,5,895 1533 1878 67 346,Ġsm eg af d il
verb,smegafdil,third_person_singular,smegafdils,5,895 1533 1878 67 4487,Ġsm eg af d ils
verb,smegafdil,past_participle,smegafdiled,5,895 1533 1878 67 3902,Ġsm eg af d iled
verb,vrezebzom,stem,vrezebzom,5,410 21107 1765 89 296,Ġv rez eb z om
verb,vrezebzom,third_person_singular,vrezebzoms,5,410 21107 1765 89 3150,Ġv rez eb z oms
verb,vrezebzom,past_participle,vrezebzomed,5,410 21107 1765 89 12657,Ġv rez eb z omed
verb,bripemlom,stem,bripemlom,5,275 5528 368 75 296,Ġb rip em l om
verb,bripemlom,third_person_singular,bripemloms,5,275 5528 368 75 3150,Ġb rip em l oms
verb,bripemlom,past_participle,bripemlomed,5,275 5528 368 75 12657,Ġb rip em l omed
verb,kvezemrab,stem,kvezemrab,4,479 33425 368 25619,Ġk vez em rab
verb,kvezemrab,third_person_singular,kvezemrabs,5,479 33425 368 81 8937,Ġk vez em r abs
verb,kvezemrab,past_participle,kvezemrabed,5,479 33425 368 25619 276,Ġk vez em rab ed
verb,zlorukrud,stem,zlorukrud,5,1976 4685 2724 81 463,Ġz lor uk r ud
verb,zlorukrud,third_person_singular,zlorukruds,5,1976 4685 2724 81 24786,Ġz lor uk r uds
verb,zlorukrud,past_participle,zlorukruded,5,1976 4685 2724 81 19289,Ġz lor uk r uded
verb,skotafrud,stem,skotafrud,5,1341 313 1878 81 463,Ġsk ot af r ud
verb,skotafrud,third_person_singular,skotafruds,5,1341 313 1878 81 24786,Ġsk ot af r uds
verb,skotafrud,past_participle,skotafruded,5,1341 313 1878 81 19289,Ġsk ot af r uded
verb,vragafmur,stem,vragafmur,4,410 22562 1878 28582,Ġv rag af mur
verb,vragafmur,third_person_singular,vragafmurs,5,410 22562 1878 76 1834,Ġv rag af m urs
verb,vragafmur,past_participle,vragafmured,5,410 22562 1878 76 1522,Ġv rag af m ured
verb,klosorvek,stem,klosorvek,5,479 33280 273 303 74,Ġk los or ve k
verb,klosorvek,third_person_singular,klosorveks,5,479 33280 273 303 591,Ġk los or ve ks
verb,klosorvek,past_participle,klosorveked,5,479 33280 273 303 9091,Ġk los or ve ked
verb,grineldil,stem,grineldil,4,1036 500 335 346,Ġgr ine ld il
verb,grineldil,third_person_singular,grineldils,4,1036 500 335 4487,Ġgr ine ld ils
verb,grineldil,past_participle,grineldiled,4,1036 500 335 3902,Ġgr ine ld iled
verb,zlodulfin,stem,zlodulfin,5,1976 75 375 4754 259,Ġz l od ulf in
verb,zlodulfin,third_person_singular,zlodulfins,5,1976 75 375 4754 1040,Ġz l od ulf ins
verb,zlodulfin,past_participle,zlodulfined,5,1976 75 375 4754 1389,Ġz l od ulf ined
verb,mnilodked,stem,mnilodked,4,285 45991 375 9091,Ġm nil od ked
verb,mnilodked,third_person_singular,mnilodkeds,5,285 45991 375 74 5379,Ġm nil od k eds
verb,mnilodked,past_participle,mnilodkeded,5,285 45991 375 9091 276,Ġm nil od ked ed
verb,kvesornef,stem,kvesornef,4,479 1158 8553 69,Ġk ves orne f
verb,kvesornef,third_person_singular,kvesornefs,4,479 1158 8553 9501,Ġk ves orne fs
verb,kvesornef,past_participle,kvesornefed,4,479 1158 8553 19082,Ġk ves orne fed
verb,vrerukgor,stem,vrerukgor,5,410 260 622 74 7053,Ġv re ru k gor
verb,vrerukgor,third_person_singular,vrerukgors,5,410 260 622 10025 669,Ġv re ru kg ors
verb,vrerukgor,past_participle,vrerukgored,5,410 260 622 10025 1850,Ġv re ru kg ored
verb,zlopimtul,stem,zlopimtul,6,1976 75 404 320 83 377,Ġz l op im t ul
verb,zlopimtul,third_person_singular,zlopimtuls,6,1976 75 404 320 83 5753,Ġz l op im t uls
verb,zlopimtul,past_participle,zlopimtuled,6,1976 75 404 320 83 6309,Ġz l op im t uled
verb,grizebbav,stem,grizebbav,4,11120 38130 65 615,Ġgri zeb b av
verb,grizebbav,third_person_singular,grizebbavs,5,11120 38130 65 615 82,Ġgri zeb b av s
verb,grizebbav,past_participle,grizebbaved,4,11120 38130 65 9586,Ġgri zeb b aved
verb,kvevarmur,stem,kvevarmur,5,479 303 85 1670 333,Ġk ve v arm ur
verb,kvevarmur,third_person_singular,kvevarmurs,5,479 303 85 1670 1834,Ġk ve v arm urs
verb,kvevarmur,past_participle,kvevarmured,5,479 303 85 1670 1522,Ġk ve v arm ured
verb,drusilfin,stem,drusilfin,4,1553 385 346 15643,Ġdr us il fin
verb,drusilfin,third_person_singular,drusilfins,5,1553 385 346 69 1040,Ġdr us il f ins
verb,drusilfin,past_participle,drusilfined,5,1553 385 346 69 1389,Ġdr us il f ined
verb,smedulpav,stem,smedulpav,4,895 276 29528 615,Ġsm ed ulp av
verb,smedulpav,third_person_singular,smedulpavs,5,895 276 29528 615 82,Ġsm ed ulp av s
verb,smedulpav,past_participle,smedulpaved,4,895 276 29528 9586,Ġsm ed ulp aved
verb,smenelmur,stem,smenelmur,4,895 268 417 28582,Ġsm en el mur
verb,smenelmur,third_person_singular,smenelmurs,5,895 268 417 76 1834,Ġsm en el m urs
