item_index,prompt_template,prime_condition,prompt,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,quote_style,event_style,role_style,raw_generation,generated_first_sentence,generation_class,has_extra_text_after_first_sentence
0,demo__there_was_event__responsible_affected__mary_answered,active,"A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A minister discovers a mother.""

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,mary_answered,there_was_event,responsible_affected," responsible person discovered a kid.""

A minister and a mother were involved in the same",The responsible person discovered a kid .,other,True
0,demo__there_was_event__responsible_affected__mary_answered,passive,"A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A mother is discovered by a minister.""

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,mary_answered,there_was_event,responsible_affected," responsible person was a husband.""

A husband and a kid were involved in the same",The responsible person was a husband .,other,True
0,demo__there_was_event__responsible_affected__mary_answered,no_demo,"A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,mary_answered,there_was_event,responsible_affected," husband was drunk.""

Bridget asked, ""What happened?""

Mary",The husband was drunk .,agent_start_other,True
0,demo__there_was_event__responsible_affected__mary_answered,filler,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,mary_answered,there_was_event,responsible_affected," lantern glowed near sunset.""

A husband and a kid were involved in the same",The lantern glowed near sunset .,other,True
0,demo__there_was_event__responsible_affected__said_mary,active,"A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
""A minister discovers a mother."" said Mary.

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,said_mary,there_was_event,responsible_affected," responsible person discovered a husband."" said Mary.

A husband and a kid were involved",The responsible person discovered a husband .,other,True
0,demo__there_was_event__responsible_affected__said_mary,passive,"A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
""A mother is discovered by a minister."" said Mary.

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,said_mary,there_was_event,responsible_affected," responsible person was a husband."" said Mary.

A husband and a kid were involved",The responsible person was a husband .,other,True
0,demo__there_was_event__responsible_affected__said_mary,no_demo,"A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,said_mary,there_was_event,responsible_affected," husband and the kid were involved in a car accident.

""The husband was driving",The husband and the kid were involved in a car accident .,agent_start_other,True
0,demo__there_was_event__responsible_affected__said_mary,filler,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
""The lantern glowed near sunset."" said Mary.

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,said_mary,there_was_event,responsible_affected," lantern glowed near sunset."" said Mary.

A husband and a kid were involved",The lantern glowed near sunset .,other,True
0,demo__there_was_event__did_to__mary_answered,active,"A minister and a mother were involved in the same event.
There was a discovering event.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A minister discovers a mother.""

A husband and a kid were involved in the same event.
There was a striking event.
The one who did it was a husband.
The one it happened to was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,mary_answered,there_was_event,did_to," minister discovers a husband.""

A husband and a kid were involved in the same event",The minister discovers a husband .,other,True
0,demo__there_was_event__did_to__mary_answered,passive,"A minister and a mother were involved in the same event.
There was a discovering event.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A mother is discovered by a minister.""

A husband and a kid were involved in the same event.
There was a striking event.
The one who did it was a husband.
The one it happened to was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The",a husband strikes a kid .,a kid is struck by a husband .,husband,kid,strikes,struck,mary_answered,there_was_event,did_to," husband was discovered by a minister.""

A husband and a kid were involved in the",The husband was discovered by a minister .,agent_start_other,True
