prompt_column,prime_condition,generation_class_detailed_final,n_items,total_items,share
prompt_active,active,active_intransitive,9,2048,0.00439453125
prompt_active,active,active_intransitive_prepositional,1,2048,0.00048828125
prompt_active,active,active_other,1,2048,0.00048828125
prompt_active,active,active_progressive_intransitive,1,2048,0.00048828125
prompt_active,active,active_target_transitive_like,1706,2048,0.8330078125
prompt_active,active,active_transitive,244,2048,0.119140625
prompt_active,active,other_prepositional_misc,7,2048,0.00341796875
prompt_active,active,other_unclassified,74,2048,0.0361328125
prompt_active,active,passive_by,2,2048,0.0009765625
prompt_active,active,passive_short,1,2048,0.00048828125
prompt_active,active,passive_target_by,2,2048,0.0009765625
prompt_filler,filler,active_ditransitive_prepositional,3,2048,0.00146484375
prompt_filler,filler,active_intransitive,17,2048,0.00830078125
prompt_filler,filler,active_intransitive_prepositional,310,2048,0.1513671875
prompt_filler,filler,active_other,44,2048,0.021484375
prompt_filler,filler,active_progressive_intransitive,9,2048,0.00439453125
prompt_filler,filler,active_progressive_intransitive_pp,1,2048,0.00048828125
prompt_filler,filler,active_progressive_transitive,3,2048,0.00146484375
prompt_filler,filler,active_target_transitive_like,384,2048,0.1875
prompt_filler,filler,active_transitive,256,2048,0.125
prompt_filler,filler,active_transitive_with_pp,6,2048,0.0029296875
prompt_filler,filler,copular_adjectival,4,2048,0.001953125
prompt_filler,filler,copular_nominal,2,2048,0.0009765625
prompt_filler,filler,copular_participial,9,2048,0.00439453125
prompt_filler,filler,copular_prepositional,5,2048,0.00244140625
prompt_filler,filler,other_prepositional_misc,75,2048,0.03662109375
prompt_filler,filler,other_unclassified,125,2048,0.06103515625
prompt_filler,filler,passive_by,193,2048,0.09423828125
prompt_filler,filler,passive_short,541,2048,0.26416015625
prompt_filler,filler,passive_target_by,61,2048,0.02978515625
prompt_no_prime,no_prime,active_ditransitive_prepositional,3,2048,0.00146484375
prompt_no_prime,no_prime,active_other,2,2048,0.0009765625
prompt_no_prime,no_prime,active_progressive_ditransitive,1,2048,0.00048828125
prompt_no_prime,no_prime,active_progressive_intransitive,12,2048,0.005859375
prompt_no_prime,no_prime,active_progressive_intransitive_pp,6,2048,0.0029296875
prompt_no_prime,no_prime,active_progressive_transitive,30,2048,0.0146484375
prompt_no_prime,no_prime,active_target_ditransitive_like,45,2048,0.02197265625
prompt_no_prime,no_prime,active_target_progressive_like,1,2048,0.00048828125
prompt_no_prime,no_prime,active_target_transitive_like,670,2048,0.3271484375
prompt_no_prime,no_prime,active_transitive,65,2048,0.03173828125
prompt_no_prime,no_prime,active_transitive_with_pp,1,2048,0.00048828125
prompt_no_prime,no_prime,copular_adjectival,10,2048,0.0048828125
prompt_no_prime,no_prime,copular_nominal,51,2048,0.02490234375
prompt_no_prime,no_prime,copular_participial,62,2048,0.0302734375
prompt_no_prime,no_prime,copular_prepositional,25,2048,0.01220703125
prompt_no_prime,no_prime,other_coordinate_multiclause,169,2048,0.08251953125
prompt_no_prime,no_prime,other_prepositional_misc,237,2048,0.11572265625
prompt_no_prime,no_prime,other_relative_identity_clause,112,2048,0.0546875
prompt_no_prime,no_prime,other_unclassified,279,2048,0.13623046875
prompt_no_prime,no_prime,passive_by,186,2048,0.0908203125
prompt_no_prime,no_prime,passive_short,47,2048,0.02294921875
prompt_no_prime,no_prime,passive_target_by,34,2048,0.0166015625
prompt_passive,passive,active_intransitive,2,2048,0.0009765625
prompt_passive,passive,active_intransitive_prepositional,1,2048,0.00048828125
prompt_passive,passive,active_progressive_intransitive,2,2048,0.0009765625
prompt_passive,passive,active_progressive_intransitive_pp,4,2048,0.001953125
prompt_passive,passive,active_progressive_transitive,1,2048,0.00048828125
prompt_passive,passive,active_target_transitive_like,376,2048,0.18359375
prompt_passive,passive,active_transitive,45,2048,0.02197265625
prompt_passive,passive,copular_nominal,1,2048,0.00048828125
prompt_passive,passive,other_prepositional_misc,5,2048,0.00244140625
prompt_passive,passive,other_unclassified,18,2048,0.0087890625
prompt_passive,passive,passive_by,189,2048,0.09228515625
prompt_passive,passive,passive_progressive_by,1,2048,0.00048828125
prompt_passive,passive,passive_short,20,2048,0.009765625
prompt_passive,passive,passive_target_by,1383,2048,0.67529296875
