prompt_column,prime_condition,generation_class_lax,n_items,total_items,share
prompt_active,active,active,1951,2048,0.95263671875
prompt_active,active,other,97,2048,0.04736328125
prompt_filler,filler,active,690,2048,0.3369140625
prompt_filler,filler,other,600,2048,0.29296875
prompt_filler,filler,passive,758,2048,0.3701171875
prompt_no_prime,no_prime,active,818,2048,0.3994140625
prompt_no_prime,no_prime,other,908,2048,0.443359375
prompt_no_prime,no_prime,passive,322,2048,0.1572265625
prompt_passive,passive,active,377,2048,0.18408203125
prompt_passive,passive,other,32,2048,0.015625
prompt_passive,passive,passive,1639,2048,0.80029296875
