prompt_column,prime_condition,generation_class,n_items,total_items,share
prompt_active,active,active_exact,344,2048,0.16796875
prompt_active,active,active_structural,1356,2048,0.662109375
prompt_active,active,other,348,2048,0.169921875
prompt_filler,filler,active_exact,93,2048,0.04541015625
prompt_filler,filler,active_structural,315,2048,0.15380859375
prompt_filler,filler,other,1578,2048,0.7705078125
prompt_filler,filler,passive_exact,9,2048,0.00439453125
prompt_filler,filler,passive_structural,53,2048,0.02587890625
prompt_no_prime,no_prime,active_exact,127,2048,0.06201171875
prompt_no_prime,no_prime,active_structural,602,2048,0.2939453125
prompt_no_prime,no_prime,other,1268,2048,0.619140625
prompt_no_prime,no_prime,passive_exact,2,2048,0.0009765625
prompt_no_prime,no_prime,passive_structural,49,2048,0.02392578125
prompt_passive,passive,active_exact,150,2048,0.0732421875
prompt_passive,passive,active_structural,184,2048,0.08984375
prompt_passive,passive,other,296,2048,0.14453125
prompt_passive,passive,passive_exact,159,2048,0.07763671875
prompt_passive,passive,passive_structural,1259,2048,0.61474609375
