prompt_column,prime_condition,argument_structure_inferred_final,n_items,total_items,share
prompt_active,active,active_monotransitive_patient,1796,2048,0.876953125
prompt_active,active,active_monotransitive_theme,73,2048,0.03564453125
prompt_active,active,active_nonobject,13,2048,0.00634765625
prompt_active,active,copular_like,3,2048,0.00146484375
prompt_active,active,unknown,163,2048,0.07958984375
prompt_filler,filler,active_ditransitive_prepositional,1,2048,0.00048828125
prompt_filler,filler,active_monotransitive_patient,629,2048,0.30712890625
prompt_filler,filler,active_monotransitive_theme,12,2048,0.005859375
prompt_filler,filler,active_nonobject,418,2048,0.2041015625
prompt_filler,filler,copular_like,19,2048,0.00927734375
prompt_filler,filler,passive_like,760,2048,0.37109375
prompt_filler,filler,unknown,209,2048,0.10205078125
prompt_no_prime,no_prime,active_ditransitive_prepositional,16,2048,0.0078125
prompt_no_prime,no_prime,active_monotransitive_patient,595,2048,0.29052734375
prompt_no_prime,no_prime,active_monotransitive_theme,19,2048,0.00927734375
prompt_no_prime,no_prime,active_nonobject,17,2048,0.00830078125
prompt_no_prime,no_prime,copular_like,323,2048,0.15771484375
prompt_no_prime,no_prime,multiclause,24,2048,0.01171875
prompt_no_prime,no_prime,passive_like,437,2048,0.21337890625
prompt_no_prime,no_prime,unknown,617,2048,0.30126953125
prompt_passive,passive,active_ditransitive_prepositional,1,2048,0.00048828125
prompt_passive,passive,active_monotransitive_patient,338,2048,0.1650390625
prompt_passive,passive,active_monotransitive_theme,13,2048,0.00634765625
prompt_passive,passive,active_nonobject,10,2048,0.0048828125
prompt_passive,passive,copular_like,3,2048,0.00146484375
prompt_passive,passive,passive_like,1637,2048,0.79931640625
prompt_passive,passive,unknown,46,2048,0.0224609375
