model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,measure,n_rows,mean,std,se
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_choice_indicator,2048,0.1923828125,0.3942683960038454,0.008712183013183192
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_minus_active_logprob,2048,-0.27813148498535156,0.39451618178024,0.00871765835701976
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_minus_active_logprob_sum,2048,-6.991302490234375,2.7644769349155336,0.06108688709726799
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_aligned_first,2048,0.20747137069702148,0.9873872478524746,0.02181838183167522
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_aligned_last,2048,-2.814893091097474,0.41518592807527327,0.009174399537351746
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_aligned_mean,2048,0.6740984260880699,0.46449078774071106,0.010263893306566813
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_divergence_token,2048,4.496088568121195,1.709071334054046,0.037765497807536096
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_first_token,2048,0.20747137069702148,0.9873872478524746,0.02181838183167522
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_last_token,2048,0.08408164978027344,0.3635842809390787,0.008034153455776792
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_mean,2048,0.27813148498535156,0.39451618178024,0.00871765835701976
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_second_token,2048,4.397227540612221,1.76067790098508,0.03890585260224521
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,preference_total,2048,6.991302490234375,2.7644769349155336,0.06108688709726799
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_choice_indicator,2048,0.28173828125,0.4499563088591431,0.009942723663499022
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_minus_active_logprob,2048,-0.16939975572010826,0.3436451936945938,0.0075935577119878705
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_minus_active_logprob_sum,2048,-4.316895484924316,2.0441388086044627,0.045169512914087676
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_aligned_first,2048,0.14182186126708984,0.6807913662932985,0.015043505989976442
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_aligned_last,2048,-2.4227363535319455,0.474393712540682,0.01048271909655556
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_aligned_mean,2048,0.27455476882425417,0.3229149568967892,0.007135479867758791
