prompt_column,prime_condition,generation_class_detailed_final,n_items,total_items,share
prompt_active,active,active_ditransitive_prepositional,1,2048,0.00048828125
prompt_active,active,active_intransitive,6,2048,0.0029296875
prompt_active,active,active_intransitive_prepositional,5,2048,0.00244140625
prompt_active,active,active_target_transitive_like,1708,2048,0.833984375
prompt_active,active,active_transitive,237,2048,0.11572265625
prompt_active,active,copular_nominal,2,2048,0.0009765625
prompt_active,active,other_prepositional_misc,14,2048,0.0068359375
prompt_active,active,other_unclassified,74,2048,0.0361328125
prompt_active,active,passive_short,1,2048,0.00048828125
prompt_filler,filler,active_ditransitive_prepositional,1,2048,0.00048828125
prompt_filler,filler,active_intransitive,1,2048,0.00048828125
prompt_filler,filler,active_intransitive_prepositional,339,2048,0.16552734375
prompt_filler,filler,active_other,31,2048,0.01513671875
prompt_filler,filler,active_progressive_intransitive,2,2048,0.0009765625
prompt_filler,filler,active_progressive_intransitive_pp,1,2048,0.00048828125
prompt_filler,filler,active_target_ditransitive_like,2,2048,0.0009765625
prompt_filler,filler,active_target_transitive_like,462,2048,0.2255859375
prompt_filler,filler,active_transitive,289,2048,0.14111328125
prompt_filler,filler,active_transitive_with_pp,1,2048,0.00048828125
prompt_filler,filler,copular_nominal,2,2048,0.0009765625
prompt_filler,filler,copular_participial,6,2048,0.0029296875
prompt_filler,filler,copular_prepositional,2,2048,0.0009765625
prompt_filler,filler,other_coordinate_multiclause,4,2048,0.001953125
prompt_filler,filler,other_prepositional_misc,205,2048,0.10009765625
prompt_filler,filler,other_relative_identity_clause,8,2048,0.00390625
prompt_filler,filler,other_unclassified,76,2048,0.037109375
prompt_filler,filler,passive_by,351,2048,0.17138671875
prompt_filler,filler,passive_short,209,2048,0.10205078125
prompt_filler,filler,passive_target_by,56,2048,0.02734375
prompt_no_prime,no_prime,active_ditransitive_prepositional,3,2048,0.00146484375
prompt_no_prime,no_prime,active_other,2,2048,0.0009765625
prompt_no_prime,no_prime,active_progressive_ditransitive,1,2048,0.00048828125
prompt_no_prime,no_prime,active_progressive_intransitive,13,2048,0.00634765625
prompt_no_prime,no_prime,active_progressive_intransitive_pp,6,2048,0.0029296875
prompt_no_prime,no_prime,active_progressive_transitive,29,2048,0.01416015625
prompt_no_prime,no_prime,active_target_ditransitive_like,41,2048,0.02001953125
prompt_no_prime,no_prime,active_target_progressive_like,1,2048,0.00048828125
prompt_no_prime,no_prime,active_target_transitive_like,670,2048,0.3271484375
prompt_no_prime,no_prime,active_transitive,65,2048,0.03173828125
prompt_no_prime,no_prime,active_transitive_with_pp,1,2048,0.00048828125
prompt_no_prime,no_prime,copular_adjectival,10,2048,0.0048828125
prompt_no_prime,no_prime,copular_nominal,52,2048,0.025390625
prompt_no_prime,no_prime,copular_participial,62,2048,0.0302734375
prompt_no_prime,no_prime,copular_prepositional,25,2048,0.01220703125
prompt_no_prime,no_prime,other_coordinate_multiclause,169,2048,0.08251953125
prompt_no_prime,no_prime,other_prepositional_misc,239,2048,0.11669921875
prompt_no_prime,no_prime,other_relative_identity_clause,112,2048,0.0546875
prompt_no_prime,no_prime,other_unclassified,278,2048,0.1357421875
prompt_no_prime,no_prime,passive_by,186,2048,0.0908203125
prompt_no_prime,no_prime,passive_short,49,2048,0.02392578125
prompt_no_prime,no_prime,passive_target_by,34,2048,0.0166015625
prompt_passive,passive,active_progressive_intransitive,2,2048,0.0009765625
prompt_passive,passive,active_progressive_intransitive_pp,38,2048,0.0185546875
prompt_passive,passive,active_progressive_transitive,14,2048,0.0068359375
prompt_passive,passive,active_target_transitive_like,433,2048,0.21142578125
prompt_passive,passive,active_transitive,31,2048,0.01513671875
prompt_passive,passive,copular_adjectival,3,2048,0.00146484375
prompt_passive,passive,copular_nominal,1,2048,0.00048828125
prompt_passive,passive,copular_participial,1,2048,0.00048828125
prompt_passive,passive,other_prepositional_misc,8,2048,0.00390625
prompt_passive,passive,other_unclassified,13,2048,0.00634765625
prompt_passive,passive,passive_by,206,2048,0.1005859375
prompt_passive,passive,passive_short,3,2048,0.00146484375
prompt_passive,passive,passive_target_by,1295,2048,0.63232421875
