prompt_column,prime_condition,generation_class,n_items,total_items,share
prompt_active,active,active_exact,749,2048,0.36572265625
prompt_active,active,active_structural,959,2048,0.46826171875
prompt_active,active,other,340,2048,0.166015625
prompt_filler,filler,active_exact,216,2048,0.10546875
prompt_filler,filler,active_structural,248,2048,0.12109375
prompt_filler,filler,other,1528,2048,0.74609375
prompt_filler,filler,passive_exact,24,2048,0.01171875
prompt_filler,filler,passive_structural,32,2048,0.015625
prompt_no_prime,no_prime,active_exact,263,2048,0.12841796875
prompt_no_prime,no_prime,active_structural,449,2048,0.21923828125
prompt_no_prime,no_prime,other,1302,2048,0.6357421875
prompt_no_prime,no_prime,passive_exact,4,2048,0.001953125
prompt_no_prime,no_prime,passive_structural,30,2048,0.0146484375
prompt_passive,passive,active_exact,405,2048,0.19775390625
prompt_passive,passive,active_structural,28,2048,0.013671875
prompt_passive,passive,other,320,2048,0.15625
prompt_passive,passive,passive_exact,306,2048,0.1494140625
prompt_passive,passive,passive_structural,989,2048,0.48291015625
