item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
0,prompt_active,active,the brother understood the buddy .,the buddy was understood by the brother .,The brother mninorkuls a buddy .,other
0,prompt_passive,passive,the brother understood the buddy .,the buddy was understood by the brother .,The brother mninorkuled the buddy .,other
0,prompt_no_prime,no_prime,the brother understood the buddy .,the buddy was understood by the brother .,The brother did it .,other
0,prompt_filler,filler,the brother understood the buddy .,the buddy was understood by the brother .,The noster glimmed near varset .,other
1,prompt_active,active,a princess raises a professor .,a professor is raised by a princess .,The princess raised the professor .,active_structural
1,prompt_passive,passive,a princess raises a professor .,a professor is raised by a princess .,The professor was raised by the princess .,passive_structural
1,prompt_no_prime,no_prime,a princess raises a professor .,a professor is raised by a princess .,The princess was raised by the professor .,other
1,prompt_filler,filler,a princess raises a professor .,a professor is raised by a princess .,The princess was crowned .,other
2,prompt_active,active,a pilot destroys a president .,a president is destroyed by a pilot .,The pilot destroyed the president .,active_structural
2,prompt_passive,passive,a pilot destroys a president .,a president is destroyed by a pilot .,The president was destroyed by the pilot .,passive_structural
2,prompt_no_prime,no_prime,a pilot destroys a president .,a president is destroyed by a pilot .,The pilot was destroyed by the president .,other
2,prompt_filler,filler,a pilot destroys a president .,a president is destroyed by a pilot .,The president was destroyed by the pilot .,passive_structural
3,prompt_active,active,a teacher raises an uncle .,an uncle is raised by a teacher .,The teacher raised the uncle .,active_structural
3,prompt_passive,passive,a teacher raises an uncle .,an uncle is raised by a teacher .,The uncle was raised by the teacher .,passive_structural
3,prompt_no_prime,no_prime,a teacher raises an uncle .,an uncle is raised by a teacher .,The teacher raised the money .,other
3,prompt_filler,filler,a teacher raises an uncle .,an uncle is raised by a teacher .,The teacher was hit by the uncle .,other
4,prompt_active,active,the mother taught the nurse .,the nurse was taught by the mother .,The mother taught the nurse .,active_exact
4,prompt_passive,passive,the mother taught the nurse .,the nurse was taught by the mother .,The nurse was taught by the mother .,passive_exact
4,prompt_no_prime,no_prime,the mother taught the nurse .,the nurse was taught by the mother .,The mother was the one who taught the nurse .,active_structural
4,prompt_filler,filler,the mother taught the nurse .,the nurse was taught by the mother .,The nurse was taught .,other
5,prompt_active,active,the cop punched the cousin .,the cousin was punched by the cop .,The cop punched the cousin .,active_exact
5,prompt_passive,passive,the cop punched the cousin .,the cousin was punched by the cop .,The cop punched the cousin .,active_exact
5,prompt_no_prime,no_prime,the cop punched the cousin .,the cousin was punched by the cop .,The cop punched the cousin .,active_exact
5,prompt_filler,filler,the cop punched the cousin .,the cousin was punched by the cop .,The cop punched the cousin .,active_exact
6,prompt_active,active,a priest washes a prince .,a prince is washed by a priest .,The priest washed the prince .,active_structural
6,prompt_passive,passive,a priest washes a prince .,a prince is washed by a priest .,The prince was washed by the priest .,passive_structural
6,prompt_no_prime,no_prime,a priest washes a prince .,a prince is washed by a priest .,The priest washed the prince .,active_structural
6,prompt_filler,filler,a priest washes a prince .,a prince is washed by a priest .,The priest washed the prince .,active_structural
7,prompt_active,active,an employer selects a father .,a father is selected by an employer .,The employer selected the father .,active_structural
7,prompt_passive,passive,an employer selects a father .,a father is selected by an employer .,The father was selected by the employer .,passive_structural
7,prompt_no_prime,no_prime,an employer selects a father .,a father is selected by an employer .,The employer did it to the father .,other
7,prompt_filler,filler,an employer selects a father .,a father is selected by an employer .,The tharner plested after zolven .,other
8,prompt_active,active,a teacher helps an uncle .,an uncle is helped by a teacher .,The teacher helped the uncle .,active_structural
8,prompt_passive,passive,a teacher helps an uncle .,an uncle is helped by a teacher .,The uncle was helped by the teacher .,passive_structural
8,prompt_no_prime,no_prime,a teacher helps an uncle .,an uncle is helped by a teacher .,The teacher helped the uncle .,active_structural
8,prompt_filler,filler,a teacher helps an uncle .,an uncle is helped by a teacher .,The teacher helped the uncle .,active_structural
9,prompt_active,active,a buddy beats a candidate .,a candidate is beaten by a buddy .,The buddy beat the candidate .,active_structural
9,prompt_passive,passive,a buddy beats a candidate .,a candidate is beaten by a buddy .,The candidate was beaten by the buddy .,passive_structural
9,prompt_no_prime,no_prime,a buddy beats a candidate .,a candidate is beaten by a buddy .,The one who did it was a buddy .,other
9,prompt_filler,filler,a buddy beats a candidate .,a candidate is beaten by a buddy .,The glarnet shummed above torven .,other
10,prompt_active,active,an author embraces a bishop .,a bishop is embraced by an author .,The author embraced the bishop .,active_structural
10,prompt_passive,passive,an author embraces a bishop .,a bishop is embraced by an author .,The bishop was embraced by the author .,passive_structural
10,prompt_no_prime,no_prime,an author embraces a bishop .,a bishop is embraced by an author .,The author was embracing the bishop .,active_structural
10,prompt_filler,filler,an author embraces a bishop .,a bishop is embraced by an author .,The author embraced the bishop .,active_structural
11,prompt_active,active,an attorney carries an aunt .,an aunt is carried by an attorney .,The attorney carried the aunt .,active_structural
11,prompt_passive,passive,an attorney carries an aunt .,an aunt is carried by an attorney .,The aunt was carried by the attorney .,passive_structural
11,prompt_no_prime,no_prime,an attorney carries an aunt .,an aunt is carried by an attorney .,The attorney was carrying the aunt .,active_structural
11,prompt_filler,filler,an attorney carries an aunt .,an aunt is carried by an attorney .,The attorney carried the aunt .,active_structural
12,prompt_active,active,the lawyer taught the leader .,the leader was taught by the lawyer .,The lawyer taught the leader .,active_exact
12,prompt_passive,passive,the lawyer taught the leader .,the leader was taught by the lawyer .,The leader was taught by the lawyer .,passive_exact
12,prompt_no_prime,no_prime,the lawyer taught the leader .,the leader was taught by the lawyer .,The lawyer did it .,other
12,prompt_filler,filler,the lawyer taught the leader .,the leader was taught by the lawyer .,The lawyer taught the leader .,active_exact
13,prompt_active,active,a writer bothers an actor .,an actor is bothered by a writer .,The writer bothered the actor .,active_structural
13,prompt_passive,passive,a writer bothers an actor .,an actor is bothered by a writer .,The actor was bothered by the writer .,passive_structural
13,prompt_no_prime,no_prime,a writer bothers an actor .,an actor is bothered by a writer .,The writer was angry with the actor and wrote a scathing review of him .,other
13,prompt_filler,filler,a writer bothers an actor .,an actor is bothered by a writer .,The writer was involved in a fight with the actor .,other
14,prompt_active,active,a chief judges a child .,a child is judged by a chief .,The chief judged the child .,active_structural
14,prompt_passive,passive,a chief judges a child .,a child is judged by a chief .,The child was judged by the chief .,passive_structural
14,prompt_no_prime,no_prime,a chief judges a child .,a child is judged by a chief .,The chief was judged by the child .,other
14,prompt_filler,filler,a chief judges a child .,a child is judged by a chief .,The chief was judged by the child .,other
15,prompt_active,active,a friend raises a girl .,a girl is raised by a friend .,The friend raised the girl .,active_structural
15,prompt_passive,passive,a friend raises a girl .,a girl is raised by a friend .,The girl was raised by a friend .,passive_structural
15,prompt_no_prime,no_prime,a friend raises a girl .,a girl is raised by a friend .,The one who did it was a friend .,other
15,prompt_filler,filler,a friend raises a girl .,a girl is raised by a friend .,The prantel staved behind nulven .,other
16,prompt_active,active,an actress forgives an adult .,an adult is forgiven by an actress .,The actress forgave the adult .,other
16,prompt_passive,passive,an actress forgives an adult .,an adult is forgiven by an actress .,The adult was forgivably acted by the actress .,other
16,prompt_no_prime,no_prime,an actress forgives an adult .,an adult is forgiven by an actress .,The actress was in a movie and she was in a car accident .,other
16,prompt_filler,filler,an actress forgives an adult .,an adult is forgiven by an actress .,The glimmer farned in jasken .,other
17,prompt_active,active,a secretary catches a sheriff .,a sheriff is caught by a secretary .,The secretary caught the sheriff .,active_structural
17,prompt_passive,passive,a secretary catches a sheriff .,a sheriff is caught by a secretary .,The sheriff was caught by the secretary .,passive_structural
17,prompt_no_prime,no_prime,a secretary catches a sheriff .,a sheriff is caught by a secretary .,The sheriff was caught by the secretary .,passive_structural
17,prompt_filler,filler,a secretary catches a sheriff .,a sheriff is caught by a secretary .,The sheriff was caught .,other
18,prompt_active,active,a lady kisses a lawyer .,a lawyer is kissed by a lady .,The lady kissed the lawyer .,active_structural
18,prompt_passive,passive,a lady kisses a lawyer .,a lawyer is kissed by a lady .,The lawyer was kissed by the lady .,passive_structural
18,prompt_no_prime,no_prime,a lady kisses a lawyer .,a lawyer is kissed by a lady .,The lady kissed the lawyer .,active_structural
18,prompt_filler,filler,a lady kisses a lawyer .,a lawyer is kissed by a lady .,The lady kissed the lawyer .,active_structural
19,prompt_active,active,a lady forgets a lawyer .,a lawyer is forgotten by a lady .,The lady forgot the lawyer .,other
19,prompt_passive,passive,a lady forgets a lawyer .,a lawyer is forgotten by a lady .,The lawyer was forgotten by the lady .,passive_structural
19,prompt_no_prime,no_prime,a lady forgets a lawyer .,a lawyer is forgotten by a lady .,The lady forgot to give the lawyer the papers .,other
19,prompt_filler,filler,a lady forgets a lawyer .,a lawyer is forgotten by a lady .,The lady did it to the lawyer .,other
20,prompt_active,active,the president taught the priest .,the priest was taught by the president .,The president taught the priest .,active_exact
20,prompt_passive,passive,the president taught the priest .,the priest was taught by the president .,The president taught the priest .,active_exact
20,prompt_no_prime,no_prime,the president taught the priest .,the priest was taught by the president .,The president was the one who taught the priest .,active_structural
20,prompt_filler,filler,the president taught the priest .,the priest was taught by the president .,The president was taught by the priest .,other
21,prompt_active,active,the girl comforted the guest .,the guest was comforted by the girl .,The girl comforted the guest .,active_exact
21,prompt_passive,passive,the girl comforted the guest .,the guest was comforted by the girl .,The girl comforted the guest .,active_exact
21,prompt_no_prime,no_prime,the girl comforted the guest .,the guest was comforted by the girl .,The girl did it .,other
21,prompt_filler,filler,the girl comforted the guest .,the guest was comforted by the girl .,The girl gave the guest a hug .,other
22,prompt_active,active,the soldier destroyed the son .,the son was destroyed by the soldier .,The soldier destroyed the son .,active_exact
22,prompt_passive,passive,the soldier destroyed the son .,the son was destroyed by the soldier .,The son is destroyeding by the soldier .,other
22,prompt_no_prime,no_prime,the soldier destroyed the son .,the son was destroyed by the soldier .,The soldier killed the son .,other
22,prompt_filler,filler,the soldier destroyed the son .,the son was destroyed by the soldier .,The soldier was killed by the son .,other
23,prompt_active,active,the actor carried the actress .,the actress was carried by the actor .,The actor carried the actress .,active_exact
23,prompt_passive,passive,the actor carried the actress .,the actress was carried by the actor .,The actress was carried by the actor .,passive_exact
23,prompt_no_prime,no_prime,the actor carried the actress .,the actress was carried by the actor .,The actor was involved in a carrieding event with the actress .,other
23,prompt_filler,filler,the actor carried the actress .,the actress was carried by the actor .,The actor did it to the actress .,other
24,prompt_active,active,the winner kissed the woman .,the woman was kissed by the winner .,The winner kisssed the woman .,other
24,prompt_passive,passive,the winner kissed the woman .,the woman was kissed by the winner .,The woman was kissed by the winner .,passive_exact
24,prompt_no_prime,no_prime,the winner kissed the woman .,the woman was kissed by the winner .,The winner kissed the woman .,active_exact
24,prompt_filler,filler,the winner kissed the woman .,the woman was kissed by the winner .,The noster glimmed near varset .,other
25,prompt_active,active,a cousin helps a daughter .,a daughter is helped by a cousin .,The cousin helped the daughter .,active_structural
25,prompt_passive,passive,a cousin helps a daughter .,a daughter is helped by a cousin .,The daughter was helped by a cousin .,passive_structural
25,prompt_no_prime,no_prime,a cousin helps a daughter .,a daughter is helped by a cousin .,The one who did it was a cousin .,other
25,prompt_filler,filler,a cousin helps a daughter .,a daughter is helped by a cousin .,The cousin helped the daughter .,active_structural
