prompt_column,prime_condition,role_frame_inferred_final,n_items,total_items,share
prompt_active,active,agent>patient,1799,2048,0.87841796875
prompt_active,active,agent>theme,64,2048,0.03125
prompt_active,active,agent>theme>recipient,1,2048,0.00048828125
prompt_active,active,patient>(agent),1,2048,0.00048828125
prompt_active,active,single_core_argument(+oblique),12,2048,0.005859375
prompt_active,active,theme>predicate,2,2048,0.0009765625
prompt_active,active,unknown,169,2048,0.08251953125
prompt_filler,filler,agent>patient,698,2048,0.3408203125
prompt_filler,filler,agent>theme,5,2048,0.00244140625
prompt_filler,filler,agent>theme>recipient,1,2048,0.00048828125
prompt_filler,filler,patient>(agent),619,2048,0.30224609375
prompt_filler,filler,single_core_argument(+oblique),374,2048,0.1826171875
prompt_filler,filler,theme>predicate,23,2048,0.01123046875
prompt_filler,filler,unknown,328,2048,0.16015625
prompt_no_prime,no_prime,agent>patient,578,2048,0.2822265625
prompt_no_prime,no_prime,agent>theme,24,2048,0.01171875
prompt_no_prime,no_prime,agent>theme>recipient,16,2048,0.0078125
prompt_no_prime,no_prime,mixed,30,2048,0.0146484375
prompt_no_prime,no_prime,patient>(agent),402,2048,0.1962890625
prompt_no_prime,no_prime,single_core_argument(+oblique),21,2048,0.01025390625
prompt_no_prime,no_prime,theme>predicate,382,2048,0.1865234375
prompt_no_prime,no_prime,unknown,595,2048,0.29052734375
prompt_passive,passive,agent>patient,440,2048,0.21484375
prompt_passive,passive,agent>theme,11,2048,0.00537109375
prompt_passive,passive,patient>(agent),1470,2048,0.7177734375
prompt_passive,passive,single_core_argument(+oblique),73,2048,0.03564453125
prompt_passive,passive,theme>predicate,5,2048,0.00244140625
prompt_passive,passive,unknown,49,2048,0.02392578125
