prompt_template,condition_a,condition_b,passive_choice_rate_a,passive_choice_rate_b,passive_choice_rate_diff_b_minus_a,active_choice_rate_a,active_choice_rate_b,active_choice_rate_diff_b_minus_a,mean_logprob_a,mean_logprob_b,mean_logprob_diff_b_minus_a
demo__involving_event__did_to__mary_answered,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.3243756294250488,0.592133641242981,1.9165092706680298
demo__involving_event__did_to__mary_answered,active,no_demo,0.25,0.25,0.0,0.75,0.75,0.0,-1.3243756294250488,-0.5640287697315216,0.7603468596935272
demo__involving_event__did_to__mary_answered,active,passive,0.25,0.5,0.25,0.75,0.5,-0.25,-1.3243756294250488,-0.19497227668762207,1.1294033527374268
demo__involving_event__did_to__mary_answered,no_demo,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-0.5640287697315216,0.592133641242981,1.1561624109745026
demo__involving_event__did_to__mary_answered,passive,filler,0.5,0.5,0.0,0.5,0.5,0.0,-0.19497227668762207,0.592133641242981,0.787105917930603
demo__involving_event__did_to__mary_answered,passive,no_demo,0.5,0.25,-0.25,0.5,0.75,0.25,-0.19497227668762207,-0.5640287697315216,-0.36905649304389954
demo__involving_event__did_to__said_mary,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.668186604976654,0.2016221582889557,1.8698087632656097
demo__involving_event__did_to__said_mary,active,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.668186604976654,-0.7443444132804871,0.923842191696167
demo__involving_event__did_to__said_mary,active,passive,0.25,0.5,0.25,0.75,0.5,-0.25,-1.668186604976654,-0.501302495598793,1.166884109377861
demo__involving_event__did_to__said_mary,no_demo,filler,0.0,0.5,0.5,1.0,0.5,-0.5,-0.7443444132804871,0.2016221582889557,0.9459665715694427
demo__involving_event__did_to__said_mary,passive,filler,0.5,0.5,0.0,0.5,0.5,0.0,-0.501302495598793,0.2016221582889557,0.7029246538877487
demo__involving_event__did_to__said_mary,passive,no_demo,0.5,0.0,-0.5,0.5,1.0,0.5,-0.501302495598793,-0.7443444132804871,-0.24304191768169403
demo__involving_event__responsible_affected__mary_answered,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.6015594154596329,0.6645179092884064,2.2660773247480392
demo__involving_event__responsible_affected__mary_answered,active,no_demo,0.25,0.25,0.0,0.75,0.75,0.0,-1.6015594154596329,-0.6239900290966034,0.9775693863630295
demo__involving_event__responsible_affected__mary_answered,active,passive,0.25,0.25,0.0,0.75,0.75,0.0,-1.6015594154596329,-0.25342583656311035,1.3481335788965225
demo__involving_event__responsible_affected__mary_answered,no_demo,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-0.6239900290966034,0.6645179092884064,1.2885079383850098
demo__involving_event__responsible_affected__mary_answered,passive,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-0.25342583656311035,0.6645179092884064,0.9179437458515167
demo__involving_event__responsible_affected__mary_answered,passive,no_demo,0.25,0.25,0.0,0.75,0.75,0.0,-0.25342583656311035,-0.6239900290966034,-0.37056419253349304
demo__involving_event__responsible_affected__said_mary,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-2.152313396334648,0.2957094609737396,2.4480228573083878
demo__involving_event__responsible_affected__said_mary,active,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-2.152313396334648,-0.7773719131946564,1.3749414831399918
demo__involving_event__responsible_affected__said_mary,active,passive,0.25,0.25,0.0,0.75,0.75,0.0,-2.152313396334648,-0.7790694236755371,1.373243972659111
demo__involving_event__responsible_affected__said_mary,no_demo,filler,0.0,0.5,0.5,1.0,0.5,-0.5,-0.7773719131946564,0.2957094609737396,1.073081374168396
demo__involving_event__responsible_affected__said_mary,passive,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-0.7790694236755371,0.2957094609737396,1.0747788846492767
demo__involving_event__responsible_affected__said_mary,passive,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-0.7790694236755371,-0.7773719131946564,0.0016975104808807373
demo__there_was_event__did_to__mary_answered,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.7597913146018982,-0.19534343481063843,1.5644478797912598
demo__there_was_event__did_to__mary_answered,active,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.7597913146018982,-1.2822191715240479,0.47757214307785034
demo__there_was_event__did_to__mary_answered,active,passive,0.25,0.25,0.0,0.75,0.75,0.0,-1.7597913146018982,-1.0413861274719238,0.7184051871299744
demo__there_was_event__did_to__mary_answered,no_demo,filler,0.0,0.5,0.5,1.0,0.5,-0.5,-1.2822191715240479,-0.19534343481063843,1.0868757367134094
demo__there_was_event__did_to__mary_answered,passive,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.0413861274719238,-0.19534343481063843,0.8460426926612854
