item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
1,prompt_filler,filler,a student beats a teacher .,a teacher is beaten by a student .,The student hit the teacher .,the student hit the teacher .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was a beating event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"," student hit the teacher.""

The teacher was a man.
The student was a woman.

Bridget asked, ""What"
2,prompt_filler,filler,a mayor kills a minister .,a minister is killed by a mayor .,The minister was killed .,the minister was killed .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was a killing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The"," minister was killed.""

Bridget asked, ""Who did it?""
Mary answered, ""The mayor.""

Bridget"
3,prompt_no_demo,no_demo,a hero hurries a husband .,a husband is hurried by a hero .,"The husband was a hero, and the hero was a husband .","the husband was a hero, and the hero was a husband .",other_coordinate_multiclause,coordination_with_punctuation,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," husband was a hero, and the hero was a husband.""

Bridget asked, ""What happened?""
Mary answered,"
4,prompt_no_demo,no_demo,a hero judges a husband .,a husband is judged by a hero .,The hero was married to the husband .,the hero was married to the husband .,copular_participial,be_participial_no_by,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," hero was married to the husband.""

Bridget asked, ""What happened to the husband?""
Mary answered, ""The"
4,prompt_filler,filler,a hero judges a husband .,a husband is judged by a hero .,The hero was married .,the hero was married .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," hero was married.""

Bridget asked, ""What happened?""
Mary answered, ""The husband was a hero.""

B"
6,prompt_filler,filler,a parent destroys a partner .,a partner is destroyed by a parent .,The engine was destroyed .,the engine was destroyed .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was a destroying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," engine was destroyed.""

Bridget asked, ""What happened?""
Mary answered, ""The engine was destroyed.""

Brid"
9,prompt_no_demo,no_demo,a president teaches a priest .,a priest is taught by a president .,"The president was the one who did it, and the priest was the one who was affected by it .","the president was the one who did it, and the priest was the one who was affected by it .",other_coordinate_multiclause,coordination_with_punctuation,passive_like,patient>(agent),passive_pattern_detected,other,other,True,True,"There was a teaching event involving a president and a priest.
The one who did it was a president.
The one it happened to was a priest.

Bridget asked, ""What happened?""
Mary answered, ""The"," president was the one who did it, and the priest was the one who was affected by it.""

Bridget asked"
11,prompt_filler,filler,a woman beats a worker .,a worker is beaten by a woman .,The signal flickered across the screen .,the signal flickered across the screen .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The signal flickered across the screen.""

There was a beating event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"," signal flickered across the screen.""

The signal flickered across the screen.
The one who did it was a woman.
"
13,prompt_active,active,a professor asks a reader .,a reader is asked by a professor .,The professor reads to the reader .,the professor reads to the reader .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"There was a raising event involving a guy and a hero.
The one who did it was a guy.
The one it happened to was a hero.

Bridget asked, ""What happened?""
Mary answered, ""A guy raises a hero.""

There was a asking event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The"," professor reads to the reader.""

There was a asking event involving a teacher and a student.
The one who did it was"
13,prompt_no_demo,no_demo,a professor asks a reader .,a reader is asked by a professor .,The professor was the one who did it .,the professor was the one who did it .,copular_nominal,be_det_nominal_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a asking event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The"," professor was the one who did it. The reader was the one who was affected.""

Bridget asked, ""Why"
14,prompt_no_demo,no_demo,a daughter describes a doctor .,a doctor is described by a daughter .,The doctor was describing the event to me .,the doctor was describing the event to me .,active_progressive_ditransitive,be_ing_object_to_for,active_ditransitive_prepositional,agent>theme>recipient,direct_object_plus_to_for_recipient,other,active,True,False,"There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was describing the event to me.""

Bridget asked, ""What was the event?""
Mary answered, ""The"
14,prompt_filler,filler,a daughter describes a doctor .,a doctor is described by a daughter .,The doctor was cured .,the doctor was cured .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The garden brightened after rain.""

There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was cured.""

There was a describing event involving a daughter and a doctor.
The one who did it was a doctor"
15,prompt_filler,filler,an author carries a bishop .,a bishop is carried by an author .,The bishop was carried .,the bishop was carried .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The jacket hung behind the chair.""

There was a carrying event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"," bishop was carried.""

Bridget asked, ""What happened?""
Mary answered, ""The author carried the bishop.""

B"
16,prompt_passive,passive,a parent joins a partner .,a partner is joined by a parent .,The partner is joined to the parent .,the partner is joined to the parent .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"There was a teaching event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""A bishop is taught by an author.""

There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," partner is joined to the parent.""

There was a teaching event involving a teacher and a student.
The one who did it"
16,prompt_no_demo,no_demo,a parent joins a partner .,a partner is joined by a parent .,The parent and partner joined together .,the parent and partner joined together .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," parent and partner joined together.""

Bridget asked, ""What happened to the partner?""
Mary answered, ""The partner"
16,prompt_filler,filler,a parent joins a partner .,a partner is joined by a parent .,The radio crackled in the attic .,the radio crackled in the attic .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The radio crackled in the attic.""

There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," radio crackled in the attic.""

The one who did it was a parent.
The one it happened to was a partner"
17,prompt_filler,filler,a hero protects a husband .,a husband is protected by a hero .,The witness paused near the doorway .,the witness paused near the doorway .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The witness paused near the doorway.""

There was a protecting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," witness paused near the doorway.""

The hero was a husband.
The hero was a husband.
The hero was a husband.
"
18,prompt_filler,filler,a student hurts a teacher .,a teacher is hurt by a student .,The student hit the teacher .,the student hit the teacher .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,active,active,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The package arrived before noon.""

There was a hurting event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"," student hit the teacher.""

The package arrived before noon.
The package was sent by a student.
The package was sent to"
19,prompt_filler,filler,a daughter protects a doctor .,a doctor is protected by a daughter .,The doctor was protected .,the doctor was protected .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The sculpture stood in the hallway.""

There was a protecting event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was protected.""

The protecting event was a doctor being protected by a daughter.
The one who did it was a daughter"
22,prompt_no_demo,no_demo,a parent describes a partner .,a partner is described by a parent .,The partner was upset because the parent was late .,the partner was upset because the parent was late .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," partner was upset because the parent was late.""

Bridget asked, ""Why was the partner upset?""
Mary answered,"
22,prompt_filler,filler,a parent describes a partner .,a partner is described by a parent .,The violin echoed in the theater .,the violin echoed in the theater .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The violin echoed in the theater.""

There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," violin echoed in the theater.""

The parent was a mother.
The partner was a father.

Bridget asked, """
