item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw,generation_class_strict_auto,generation_class_lax_auto,generation_class_strict_core_transfer,generation_class_lax_core_transfer,core_transfer_source_strict,core_transfer_source_lax
3,prompt_passive,passive,a hero hurries a husband .,a husband is hurried by a hero .,The husband is hurrying because the hero is a husband .,the husband is hurrying because the hero is a husband .,copular_nominal,be_det_nominal_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a zrazemgoring event involving the kvezemzom and the kveruknef.
The one who did it was the kvezemzom.
The one it happened to was the kveruknef.

Bridget asked, ""What happened?""
Mary answered, ""The kveruknef is zrazemgored by the kvezemzom.""

There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," husband is hurrying because the hero is a husband.""

There was a zrazemgoring event involving a kver",other,other,other,other,exact_signature,exact_signature
3,prompt_no_demo,no_demo,a hero hurries a husband .,a husband is hurried by a hero .,"The husband was a hero, and the hero was a husband .","the husband was a hero, and the hero was a husband .",other_coordinate_multiclause,coordination_with_punctuation,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," husband was a hero, and the hero was a husband.""

Bridget asked, ""What happened?""
Mary answered,",other,other,other,other,exact_signature,exact_signature
3,prompt_filler,filler,a hero hurries a husband .,a husband is hurried by a hero .,The prindle rasped during forven .,the prindle rasped during forven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The prindle rasped during forven.""

There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," prindle rasped during forven.""

The prindle rasped during forven.
The prindle rasped during for",other,other,other,other,exact_signature,exact_signature
4,prompt_no_demo,no_demo,a hero judges a husband .,a husband is judged by a hero .,The hero was married to the husband .,the hero was married to the husband .,copular_participial,be_participial_no_by,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," hero was married to the husband.""

Bridget asked, ""What happened to the husband?""
Mary answered, ""The",other,other,other,other,exact_signature,exact_signature
4,prompt_filler,filler,a hero judges a husband .,a husband is judged by a hero .,The slinter maved after bralken .,the slinter maved after bralken .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The slinter maved after bralken.""

There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," slinter maved after bralken.""

The slinter maved after bralken is a riddle. The",other,other,other,other,exact_signature,exact_signature
6,prompt_filler,filler,a parent destroys a partner .,a partner is destroyed by a parent .,The krimble flened before narven .,the krimble flened before narven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The krimble flened before narven.""

There was a destroying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," krimble flened before narven.""

The krimble is a parent.
The narven is a partner.
",other,other,other,other,exact_signature,exact_signature
9,prompt_no_demo,no_demo,a president teaches a priest .,a priest is taught by a president .,"The president was the one who did it, and the priest was the one who was affected by it .","the president was the one who did it, and the priest was the one who was affected by it .",other_coordinate_multiclause,coordination_with_punctuation,passive_like,patient>(agent),passive_pattern_detected,other,other,True,True,"There was a teaching event involving a president and a priest.
The one who did it was a president.
The one it happened to was a priest.

Bridget asked, ""What happened?""
Mary answered, ""The"," president was the one who did it, and the priest was the one who was affected by it.""

Bridget asked",other,other,other,other,exact_signature,exact_signature
10,prompt_filler,filler,a winner understands a woman .,a woman is understood by a winner .,The prasket whaved during morden .,the prasket whaved during morden .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The prasket whaved during morden.""

There was a understanding event involving a winner and a woman.
The one who did it was a winner.
The one it happened to was a woman.

Bridget asked, ""What happened?""
Mary answered, ""The"," prasket whaved during morden.""

The prasket is a type of fish.
The prasket whaved is a",other,other,other,other,exact_signature,exact_signature
11,prompt_filler,filler,a woman beats a worker .,a worker is beaten by a woman .,The flinder trassed across jorven .,the flinder trassed across jorven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The flinder trassed across jorven.""

There was a beating event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"," flinder trassed across jorven.""

The flinder is a woman.
The jorven is a worker.

",other,other,other,other,exact_signature,exact_signature
13,prompt_no_demo,no_demo,a professor asks a reader .,a reader is asked by a professor .,The professor was the one who did it .,the professor was the one who did it .,copular_nominal,be_det_nominal_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a asking event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The"," professor was the one who did it. The reader was the one who was affected.""

Bridget asked, ""Why",other,other,other,other,exact_signature,exact_signature
