n_items,mean_diff,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,perm_p_greater_than_zero,bootstrap_ci95_low,bootstrap_ci95_high,condition,metric
15000,-0.11963814460326297,1.0489310332978357,-0.11405720758124682,-13.969098003037793,4.544261130115413e-44,9.999000099990002e-05,1.0,-0.13682778325233494,-0.10308387544772743,ANOMALOUS,critical_word_pe_mean
15000,-0.19296233931044116,1.045121982106222,-0.18463140438551146,-22.612636561898167,2.3470306133942063e-111,9.999000099990002e-05,1.0,-0.20921338791286764,-0.1764763415815359,CORE,critical_word_pe_mean
15000,0.496374217597478,0.7045711970946826,0.7045054064717516,86.28393834439245,0.0,9.999000099990002e-05,9.999000099990002e-05,0.4849501671097883,0.5075810926683803,jabberwocky-only,critical_word_pe_mean
15000,0.009282630050827414,0.39706793435481297,0.023377939258456003,2.863201121049808,0.004199655022887623,0.004299570042995701,0.0022997700229977,0.0029097065583740147,0.015704992440774963,ANOMALOUS,post_divergence_pe_mean
15000,0.023106461555691345,0.3956145741433861,0.058406497297838846,7.153305802147483,8.863225136480786e-13,9.999000099990002e-05,9.999000099990002e-05,0.01689009483324239,0.029397703227334735,CORE,post_divergence_pe_mean
15000,0.30934098135173876,0.31661909097476415,0.9770130423891417,119.65917129487944,0.0,9.999000099990002e-05,9.999000099990002e-05,0.30431625812997437,0.3143236776354678,jabberwocky-only,post_divergence_pe_mean
15000,0.782961002739612,3.160889720032566,0.24770272679160263,30.33726442677273,2.9698380550200426e-196,9.999000099990002e-05,9.999000099990002e-05,0.7320762988336461,0.8327433376595084,ANOMALOUS,sentence_pe
15000,1.2670655428965265,2.9692729595988485,0.42672585516277634,52.26303026008004,0.0,9.999000099990002e-05,9.999000099990002e-05,1.2199546198466784,1.3146836175505117,CORE,sentence_pe
15000,7.071256515942762,6.532775813631252,1.0824275495858773,132.56975900082682,0.0,9.999000099990002e-05,9.999000099990002e-05,6.966593705155397,7.175044697468411,jabberwocky-only,sentence_pe
15000,0.09362749335592828,0.45549623725723953,0.2055505308226126,25.174695843681352,5.211801294256529e-137,9.999000099990002e-05,9.999000099990002e-05,0.08643878218032276,0.10084937069113709,ANOMALOUS,sentence_pe_mean
15000,0.1561105929568114,0.4281642766804025,0.3646044321286011,44.654740833614696,0.0,9.999000099990002e-05,9.999000099990002e-05,0.14916408515212665,0.16281177395717328,CORE,sentence_pe_mean
15000,0.39638772668268935,0.3793652423005703,1.0448709646642647,127.97003552385402,0.0,9.999000099990002e-05,9.999000099990002e-05,0.39024672601356675,0.4024980423823968,jabberwocky-only,sentence_pe_mean
