s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive
-47.25,-46.53125,-11.578125,-14.25,-52.4375,-55.25,-7.18359375,-6.3203125,-0.71875,2.8125
-44.75,-44.0625,-12.375,-13.546875,-47.28125,-50.21875,-4.9375,-4.8671875,-0.6875,2.9375
-46.6875,-46.375,-13.0859375,-12.875,-51.96875,-53.15625,-5.203125,-5.609375,-0.3125,1.1875
-46.46875,-44.71875,-14.3515625,-14.265625,-49.0625,-53.03125,-5.421875,-5.875,-1.75,3.96875
-46.96875,-48.46875,-13.015625,-14.640625,-55.90625,-55.625,-5.71484375,-5.19921875,1.5,-0.28125
-48.125,-46.8125,-14.078125,-14.6953125,-51.53125,-52.96875,-5.6015625,-5.08203125,-1.3125,1.4375
-45.84375,-45.78125,-12.828125,-13.7890625,-51.4375,-54.03125,-5.70703125,-5.92578125,-0.0625,2.59375
-45.3125,-45.3125,-14.109375,-15.1015625,-50.8125,-54.0625,-5.234375,-6.0703125,0.0,3.25
-47.4375,-45.78125,-13.0,-13.21875,-52.0,-55.125,-5.43359375,-6.17578125,-1.65625,3.125
-47.3125,-45.90625,-12.828125,-13.2734375,-51.75,-54.09375,-5.26171875,-5.42578125,-1.40625,2.34375
-44.9375,-41.0625,-11.2109375,-9.5546875,-40.6875,-47.5625,-4.38671875,-5.39453125,-3.875,6.875
-43.4375,-42.21875,-9.53125,-8.9453125,-44.53125,-46.875,-4.765625,-5.609375,-1.21875,2.34375
-43.28125,-43.4375,-9.7421875,-10.5859375,-45.40625,-46.3125,-5.09765625,-5.20703125,0.15625,0.90625
-46.03125,-44.78125,-11.2734375,-10.375,-46.375,-46.65625,-5.4375,-4.74609375,-1.25,0.28125
-42.84375,-44.375,-9.5859375,-9.9140625,-46.3125,-47.3125,-4.7109375,-5.609375,1.53125,1.0
-43.5,-42.03125,-9.28125,-9.375,-44.375,-46.375,-4.8671875,-5.12109375,-1.46875,2.0
-43.3125,-43.28125,-9.7265625,-8.9609375,-44.96875,-46.0625,-4.4609375,-5.5390625,-0.03125,1.09375
-44.46875,-44.03125,-10.0703125,-9.8671875,-46.5625,-47.46875,-5.171875,-5.56640625,-0.4375,0.90625
-43.75,-44.21875,-10.5234375,-9.8203125,-45.90625,-45.09375,-4.5078125,-4.90234375,0.46875,-0.8125
-43.75,-38.78125,-11.1796875,-10.0,-41.875,-47.4375,-5.1953125,-6.0234375,-4.96875,5.5625
-39.3125,-40.84375,-10.2890625,-10.4765625,-41.15625,-43.4375,-3.205078125,-3.9609375,1.53125,2.28125
-43.84375,-43.59375,-10.9453125,-11.2734375,-41.71875,-43.71875,-3.75390625,-3.88671875,-0.25,2.0
-41.71875,-41.5625,-11.5625,-11.625,-41.5625,-42.9375,-3.326171875,-3.326171875,-0.15625,1.375
-40.46875,-40.59375,-10.609375,-11.2265625,-41.15625,-43.5625,-4.35546875,-4.609375,0.125,2.40625
-44.21875,-42.90625,-12.0625,-11.125,-45.0625,-46.40625,-4.30078125,-4.59375,-1.3125,1.34375
-39.1875,-39.625,-10.7890625,-10.8515625,-41.03125,-42.59375,-4.09375,-4.60546875,0.4375,1.5625
-43.21875,-41.25,-11.8828125,-11.4765625,-43.3125,-45.90625,-4.34765625,-4.14453125,-1.96875,2.59375
-40.6875,-40.375,-10.484375,-10.015625,-41.375,-42.8125,-3.35546875,-3.5,-0.3125,1.4375
-41.3125,-42.75,-12.234375,-12.7578125,-43.875,-43.28125,-3.841796875,-4.15234375,1.4375,-0.59375
-45.125,-41.875,-12.875,-11.7578125,-43.34375,-48.8125,-4.109375,-5.2109375,-3.25,5.46875
-41.0625,-38.5,-11.265625,-10.6875,-41.34375,-43.21875,-3.8828125,-4.05078125,-2.5625,1.875
-39.375,-38.59375,-11.4453125,-11.4375,-41.28125,-42.09375,-4.2734375,-3.931640625,-0.78125,0.8125
-37.3125,-40.53125,-10.515625,-11.3046875,-44.0,-41.125,-4.97265625,-4.23046875,3.21875,-2.875
-41.90625,-40.8125,-11.09375,-11.15625,-41.3125,-42.65625,-3.857421875,-4.125,-1.09375,1.34375
-41.78125,-41.375,-11.4296875,-11.609375,-41.71875,-43.25,-4.3046875,-3.439453125,-0.40625,1.53125
-40.25,-38.4375,-10.625,-10.53125,-39.9375,-42.53125,-5.046875,-4.84765625,-1.8125,2.59375
-41.0625,-41.90625,-11.1015625,-11.171875,-43.5625,-42.9375,-4.83984375,-4.73828125,0.84375,-0.625
-39.75,-41.3125,-11.7265625,-12.5859375,-42.09375,-41.625,-4.83984375,-4.5390625,1.5625,-0.46875
-40.3125,-38.90625,-11.1953125,-10.875,-41.25,-41.8125,-4.9296875,-4.39453125,-1.40625,0.5625
-40.96875,-42.09375,-11.2734375,-11.125,-43.96875,-44.125,-4.96484375,-5.15234375,1.125,0.15625
-36.71875,-38.40625,-10.109375,-11.3671875,-41.5625,-41.34375,-2.955078125,-2.8359375,1.6875,-0.21875
-36.625,-36.875,-10.296875,-10.1875,-41.78125,-42.1875,-3.49609375,-3.458984375,0.25,0.40625
-36.40625,-37.0,-9.8671875,-9.3984375,-41.0625,-42.0,-2.849609375,-3.083984375,0.59375,0.9375
-37.6875,-37.3125,-10.1484375,-10.140625,-42.46875,-44.5,-2.48046875,-1.8828125,-0.375,2.03125
-35.34375,-36.28125,-9.5078125,-9.5859375,-41.34375,-42.71875,-2.87890625,-3.154296875,0.9375,1.375
-40.40625,-39.21875,-10.8125,-11.328125,-42.65625,-44.65625,-3.9765625,-3.521484375,-1.1875,2.0
-34.15625,-35.09375,-9.4453125,-9.765625,-38.375,-39.71875,-3.998046875,-4.04296875,0.9375,1.34375
-34.09375,-38.03125,-9.4921875,-10.53125,-41.6875,-39.28125,-2.9609375,-2.822265625,3.9375,-2.40625
-36.9375,-36.5625,-9.96875,-10.421875,-41.5625,-41.59375,-3.74609375,-3.7578125,-0.375,0.03125
-39.1875,-39.25,-9.9140625,-10.90625,-43.59375,-46.4375,-3.041015625,-3.009765625,0.0625,2.84375
-42.875,-43.3125,-11.1484375,-11.2578125,-50.25,-50.96875,-4.2578125,-4.06640625,0.4375,0.71875
-42.65625,-43.28125,-12.890625,-13.0234375,-47.4375,-50.625,-4.48828125,-4.875,0.625,3.1875
-42.84375,-43.1875,-12.1953125,-11.7109375,-50.09375,-51.9375,-4.2890625,-5.1328125,0.34375,1.84375
-40.0,-39.65625,-12.5390625,-11.859375,-45.34375,-46.5,-3.986328125,-4.125,-0.34375,1.15625
-43.3125,-43.6875,-12.40625,-12.2109375,-49.15625,-51.34375,-4.31640625,-4.6171875,0.375,2.1875
-46.15625,-45.3125,-15.25,-14.015625,-50.65625,-55.09375,-4.7734375,-6.671875,-0.84375,4.4375
-45.3125,-45.15625,-14.15625,-13.7734375,-50.9375,-52.1875,-4.71875,-4.4140625,-0.15625,1.25
-43.71875,-42.59375,-12.8828125,-12.2421875,-45.625,-48.96875,-4.78125,-5.015625,-1.125,3.34375
-44.46875,-43.46875,-13.84375,-12.28125,-49.125,-49.8125,-4.35546875,-4.73046875,-1.0,0.6875
