condition,target_structure,word_index,n_items,word,mean_word_pe,sd_word_pe,mean_word_pe_mean,sd_word_pe_mean,critical_word_rate
ANOMALOUS,active,0,15000,a,-0.39493105363845826,0.6824151805954151,-0.39493105363845826,0.6824151805954151,0.0
ANOMALOUS,active,1,15000,secretary,-0.13622463998794557,0.6120117048454262,-0.13622463998794557,0.6120117048454262,0.0
ANOMALOUS,active,2,15000,smelled,0.11596857849061488,0.6759558610347077,0.11151494776060183,0.6460269131927321,1.0
ANOMALOUS,active,3,15000,a,-0.03692008376320202,0.3273427722973085,-0.03692008376320202,0.3273427722973085,0.0
ANOMALOUS,active,4,15000,machine,0.01579366462479035,0.4785668967082159,0.01579366462479035,0.4785668967082159,0.0
ANOMALOUS,active,5,15000,.,0.09793918215433757,0.5534980861986659,0.09793918215433757,0.5534980861986659,0.0
ANOMALOUS,passive,0,15000,a,0.39555558058420814,0.68212196975739,0.39555558058420814,0.68212196975739,0.0
ANOMALOUS,passive,1,15000,machine,0.11830565713246663,0.6009022326188754,0.11830565713246663,0.6009022326188754,0.0
ANOMALOUS,passive,2,15000,was,0.15973442508379618,0.5231668325263378,0.15973442508379618,0.5231668325263378,1.0
ANOMALOUS,passive,3,15000,smelled,0.29263575458756336,0.5927921599180643,0.29171997838532554,0.5897396732808,0.0
ANOMALOUS,passive,4,15000,by,0.3871402410601576,0.37237098837494714,0.3871402410601576,0.37237098837494714,0.0
ANOMALOUS,passive,5,15000,a,-0.01643839168747266,0.2360757297842304,-0.01643839168747266,0.2360757297842304,0.0
ANOMALOUS,passive,6,15000,secretary,0.010850875171025594,0.4839474039601748,0.010850875171025594,0.4839474039601748,0.0
ANOMALOUS,passive,7,15000,.,0.2070596964677175,0.4920246874940339,0.2070596964677175,0.4920246874940339,0.0
CORE,active,0,15000,a,-0.26020719194412234,0.5677815584632558,-0.26020719194412234,0.5677815584632558,0.0
CORE,active,1,15000,candidate,-0.022663150183359782,0.6070667827100003,-0.022663150183359782,0.6070667827100003,0.0
CORE,active,2,15000,leads,0.1436829871920248,0.6891709133523957,0.13040192839838563,0.6582221213718242,1.0
CORE,active,3,15000,a,0.013142843089997771,0.35146111347354414,0.013142843089997771,0.35146111347354414,0.0
CORE,active,4,15000,company,0.08239877497355143,0.48767363892201376,0.08239877497355143,0.48767363892201376,0.0
CORE,active,5,15000,.,0.2343762355486552,0.5155149574347561,0.2343762355486552,0.5155149574347561,0.0
CORE,passive,0,15000,a,0.2592123693466187,0.5678387516807979,0.2592123693466187,0.5678387516807979,0.0
CORE,passive,1,15000,company,-0.004444534428914388,0.5769525705339463,-0.004444534428914388,0.5769525705339463,0.0
CORE,passive,2,15000,is,0.1757483731031418,0.5164937159624164,0.1757483731031418,0.5164937159624164,1.0
CORE,passive,3,15000,led,0.25025987953726825,0.5926895117050678,0.24879118875456044,0.589414646806475,0.0
CORE,passive,4,15000,by,0.37077602294844886,0.36304316485998095,0.37077602294844886,0.36304316485998095,0.0
CORE,passive,5,15000,a,-0.042335854939619694,0.23219303382602272,-0.042335854939619694,0.23219303382602272,0.0
CORE,passive,6,15000,candidate,0.02326470162073771,0.5050323419611482,0.02326470162073771,0.5050323419611482,0.0
CORE,passive,7,15000,.,0.3659980322480202,0.4463414288940878,0.3659980322480202,0.4463414288940878,0.0
jabberwocky,active,0,15000,a,-0.8599499413808187,0.7892717877446116,-0.8599499413808187,0.7892717877446116,0.0
jabberwocky,active,1,15000,tlunelsel,-0.2830739730070035,1.3057162094906225,-0.06505973157029599,0.29627490848137195,0.0
jabberwocky,active,2,15000,klosorveked,0.21959909096409877,1.3152050748241242,0.044744390965153764,0.2808306789837449,1.0
jabberwocky,active,3,15000,a,-0.8150538341045379,1.0051788875382914,-0.8150538341045379,1.0051788875382914,0.0
jabberwocky,active,4,15000,skozebsel,-0.02485873342603445,0.8425341932945568,-0.005925468389230469,0.19158080160892368,0.0
jabberwocky,active,5,15000,.,-0.09290644892851511,0.5985111667444256,-0.09290644892851511,0.5985111667444256,0.0
jabberwocky,passive,0,15000,a,0.8599499413808187,0.7892717877446116,0.8599499413808187,0.7892717877446116,0.0
jabberwocky,passive,1,15000,skozebsel,0.28392171838035185,1.307828491332428,0.06557995880754043,0.2967230292741929,0.0
jabberwocky,passive,2,15000,was,0.80820420738856,0.8657835825497524,0.80820420738856,0.8657835825497524,1.0
jabberwocky,passive,3,15000,klosorveked,1.672678226753076,1.5037625512599233,0.36550987957840164,0.3309321874228122,0.0
jabberwocky,passive,4,15000,by,2.366354204399387,0.6668319560507648,2.366354204399387,0.6668319560507648,0.0
jabberwocky,passive,5,15000,a,-0.7185016542315483,0.5703257976992897,-0.7185016542315483,0.5703257976992897,0.0
jabberwocky,passive,6,15000,tlunelsel,0.7579050028947493,0.9854687024413947,0.1729953294416889,0.22410244106937993,0.0
jabberwocky,passive,7,15000,.,1.1071286728103955,0.5352866523617318,1.1071286728103955,0.5352866523617318,0.0
