item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,the skozemdil zrarukloms the smesilrab .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the skozemdil zrarukloms the smesilrab . ,full_sentence_processing,-6.98365379782284,-6.759647570158306,0.22400622766453449,-118.72211456298828,-128.4333038330078,-9.711189270019531,17,19,passive,1.0
0,processing_teacher_forced,passive,passive,the smesilrab is zraruklomed by the skozemdil .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the smesilrab is zraruklomed by the skozemdil . ,full_sentence_processing,-6.705863503848805,-6.174752084832442,0.531111419016363,-113.99967956542969,-117.3202896118164,-3.3206100463867188,17,19,passive,1.0
0,processing_teacher_forced,no_prime_eos,no_prime_eos,,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|endoftext|> ,full_sentence_processing,-8.067663753733916,-7.270670037520559,0.7969937162133567,-137.15028381347656,-138.14273071289062,-0.9924468994140625,17,19,passive,1.0
0,processing_teacher_forced,no_prime_empty,no_prime_empty,,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,,full_sentence_processing,-7.486386916216682,-6.785236559416118,0.7011503568005635,-127.2685775756836,-128.91949462890625,-1.6509170532226562,17,19,passive,1.0
0,processing_teacher_forced,filler,filler,The nasker plodded near hulven .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,The nasker plodded near hulven . ,full_sentence_processing,-7.635900160845588,-7.054684287623355,0.5812158732222326,-129.810302734375,-134.03900146484375,-4.22869873046875,17,19,passive,1.0
1,processing_teacher_forced,active,active,a brikudtas vragafmured a klosilfin .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a brikudtas vragafmured a klosilfin . ,full_sentence_processing,-7.1883383358226105,-6.7476758454975325,0.440662490325078,-122.20175170898438,-128.20584106445312,-6.00408935546875,17,19,passive,1.0
1,processing_teacher_forced,passive,passive,a klosilfin was vragafmured by a brikudtas .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a klosilfin was vragafmured by a brikudtas . ,full_sentence_processing,-6.918629365808823,-6.366352683619449,0.5522766821893743,-117.61669921875,-120.96070098876953,-3.3440017700195312,17,19,passive,1.0
1,processing_teacher_forced,no_prime_eos,no_prime_eos,,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|endoftext|> ,full_sentence_processing,-8.027536728802849,-7.39205611379523,0.6354806150076184,-136.46812438964844,-140.44906616210938,-3.9809417724609375,17,19,passive,1.0
1,processing_teacher_forced,no_prime_empty,no_prime_empty,,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,,full_sentence_processing,-7.590936099781709,-6.994928460372122,0.5960076394095877,-129.04591369628906,-132.9036407470703,-3.85772705078125,17,19,passive,1.0
1,processing_teacher_forced,filler,filler,The drabble quisted in varlen .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,The drabble quisted in varlen . ,full_sentence_processing,-7.4586953555836395,-7.073373091848273,0.3853222637353664,-126.79782104492188,-134.3940887451172,-7.5962677001953125,17,19,passive,1.0
2,processing_teacher_forced,active,active,a fravaksel frafimvols a vrefimdil .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a fravaksel frafimvols a vrefimdil . ,full_sentence_processing,-7.2547454833984375,-6.512602153577302,0.7421433298211353,-123.33067321777344,-123.73944091796875,-0.4087677001953125,17,19,passive,1.0
2,processing_teacher_forced,passive,passive,a vrefimdil is frafimvoled by a fravaksel .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a vrefimdil is frafimvoled by a fravaksel . ,full_sentence_processing,-7.40159023509306,-6.589069165681538,0.8125210694115221,-125.82703399658203,-125.19231414794922,0.6347198486328125,17,19,passive,1.0
2,processing_teacher_forced,no_prime_eos,no_prime_eos,,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|endoftext|> ,full_sentence_processing,-7.892572739545037,-7.224611784282484,0.6679609552625534,-134.17373657226562,-137.2676239013672,-3.0938873291015625,17,19,passive,1.0
2,processing_teacher_forced,no_prime_empty,no_prime_empty,,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,,full_sentence_processing,-7.697179457720588,-7.006551642166941,0.6906278155536469,-130.85205078125,-133.12448120117188,-2.272430419921875,17,19,passive,1.0
2,processing_teacher_forced,filler,filler,The plinter drossed in marven .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,The plinter drossed in marven . ,full_sentence_processing,-7.840297025792739,-6.995319567228618,0.844977458564121,-133.28504943847656,-132.91107177734375,0.3739776611328125,17,19,passive,1.0
3,processing_teacher_forced,active,active,a klogafrud kvevarmured a kvesorrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a klogafrud kvevarmured a kvesorrud . ,full_sentence_processing,-7.129502296447754,-6.7092641194661455,0.42023817698160837,-114.07203674316406,-120.76675415039062,-6.6947174072265625,16,18,passive,1.0
3,processing_teacher_forced,passive,passive,a kvesorrud was kvevarmured by a klogafrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a kvesorrud was kvevarmured by a klogafrud . ,full_sentence_processing,-7.180228233337402,-6.493015713161892,0.6872125201755104,-114.88365173339844,-116.87428283691406,-1.990631103515625,16,18,passive,1.0
3,processing_teacher_forced,no_prime_eos,no_prime_eos,,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|endoftext|> ,full_sentence_processing,-8.313882827758789,-7.5981250339084205,0.7157577938503685,-133.02212524414062,-136.76625061035156,-3.7441253662109375,16,18,passive,1.0
