condition,prompt,alpha,direction_type,random_id,group,prob_mass
human_ambiguous,The girl,-2.0,PC1,-1,Passive Entry (Auxiliaries),0.008509872481226921
human_ambiguous,The girl,-2.0,PC1,-1,Active Entry (Main Verbs),6.543672498082742e-05
human_ambiguous,The girl,-2.0,PC1,-1,Unrelated (Control),0.01197353657335043
human_ambiguous,The teacher,-2.0,PC1,-1,Passive Entry (Auxiliaries),0.014534424990415573
human_ambiguous,The teacher,-2.0,PC1,-1,Active Entry (Main Verbs),5.812833842355758e-05
human_ambiguous,The teacher,-2.0,PC1,-1,Unrelated (Control),0.006874450016766787
human_ambiguous,The doctor,-2.0,PC1,-1,Passive Entry (Auxiliaries),0.007078023627400398
human_ambiguous,The doctor,-2.0,PC1,-1,Active Entry (Main Verbs),4.800511305802502e-05
human_ambiguous,The doctor,-2.0,PC1,-1,Unrelated (Control),0.00781671516597271
human_ambiguous,The soldier,-2.0,PC1,-1,Passive Entry (Auxiliaries),0.011824299581348896
human_ambiguous,The soldier,-2.0,PC1,-1,Active Entry (Main Verbs),6.082618347136304e-05
human_ambiguous,The soldier,-2.0,PC1,-1,Unrelated (Control),0.0110307103022933
human_ambiguous,The girl,-2.0,random,0,Passive Entry (Auxiliaries),0.002207969781011343
human_ambiguous,The girl,-2.0,random,0,Active Entry (Main Verbs),6.195360765559599e-05
human_ambiguous,The girl,-2.0,random,0,Unrelated (Control),0.0015097963623702526
human_ambiguous,The teacher,-2.0,random,0,Passive Entry (Auxiliaries),0.00086747738532722
human_ambiguous,The teacher,-2.0,random,0,Active Entry (Main Verbs),3.773855132749304e-05
human_ambiguous,The teacher,-2.0,random,0,Unrelated (Control),0.00042811466846615076
human_ambiguous,The doctor,-2.0,random,0,Passive Entry (Auxiliaries),0.001821278128772974
human_ambiguous,The doctor,-2.0,random,0,Active Entry (Main Verbs),7.418896711897105e-05
human_ambiguous,The doctor,-2.0,random,0,Unrelated (Control),0.0008763473015278578
human_ambiguous,The soldier,-2.0,random,0,Passive Entry (Auxiliaries),0.0014225823106244206
human_ambiguous,The soldier,-2.0,random,0,Active Entry (Main Verbs),6.532754196086898e-05
human_ambiguous,The soldier,-2.0,random,0,Unrelated (Control),0.0013862805208191276
human_ambiguous,The girl,-2.0,random,1,Passive Entry (Auxiliaries),0.03962467983365059
human_ambiguous,The girl,-2.0,random,1,Active Entry (Main Verbs),0.00023748964304104447
human_ambiguous,The girl,-2.0,random,1,Unrelated (Control),0.001337819965556264
human_ambiguous,The teacher,-2.0,random,1,Passive Entry (Auxiliaries),0.03623616695404053
human_ambiguous,The teacher,-2.0,random,1,Active Entry (Main Verbs),0.00015576693112961948
human_ambiguous,The teacher,-2.0,random,1,Unrelated (Control),0.0012878886191174388
human_ambiguous,The doctor,-2.0,random,1,Passive Entry (Auxiliaries),0.02714758738875389
human_ambiguous,The doctor,-2.0,random,1,Active Entry (Main Verbs),0.00021895120153203607
human_ambiguous,The doctor,-2.0,random,1,Unrelated (Control),0.001487472909502685
human_ambiguous,The soldier,-2.0,random,1,Passive Entry (Auxiliaries),0.01476246677339077
human_ambiguous,The soldier,-2.0,random,1,Active Entry (Main Verbs),0.00017093868518713862
human_ambiguous,The soldier,-2.0,random,1,Unrelated (Control),0.0014320161426439881
human_ambiguous,The girl,-2.0,random,2,Passive Entry (Auxiliaries),0.008684542030096054
human_ambiguous,The girl,-2.0,random,2,Active Entry (Main Verbs),7.471318531315774e-05
human_ambiguous,The girl,-2.0,random,2,Unrelated (Control),0.003549794666469097
human_ambiguous,The teacher,-2.0,random,2,Passive Entry (Auxiliaries),0.015840426087379456
human_ambiguous,The teacher,-2.0,random,2,Active Entry (Main Verbs),8.496966620441526e-05
human_ambiguous,The teacher,-2.0,random,2,Unrelated (Control),0.003976537846028805
human_ambiguous,The doctor,-2.0,random,2,Passive Entry (Auxiliaries),0.009464433416724205
human_ambiguous,The doctor,-2.0,random,2,Active Entry (Main Verbs),6.515006680274382e-05
human_ambiguous,The doctor,-2.0,random,2,Unrelated (Control),0.004194572567939758
human_ambiguous,The soldier,-2.0,random,2,Passive Entry (Auxiliaries),0.008640899322926998
human_ambiguous,The soldier,-2.0,random,2,Active Entry (Main Verbs),8.235833956860006e-05
human_ambiguous,The soldier,-2.0,random,2,Unrelated (Control),0.004305469803512096
human_ambiguous,The girl,-2.0,random,3,Passive Entry (Auxiliaries),0.0007997158681973815
human_ambiguous,The girl,-2.0,random,3,Active Entry (Main Verbs),8.4681851149071e-06
human_ambiguous,The girl,-2.0,random,3,Unrelated (Control),0.0006156877498142421
human_ambiguous,The teacher,-2.0,random,3,Passive Entry (Auxiliaries),0.001831843750551343
human_ambiguous,The teacher,-2.0,random,3,Active Entry (Main Verbs),1.2916222658532206e-05
human_ambiguous,The teacher,-2.0,random,3,Unrelated (Control),0.0006873077363707125
human_ambiguous,The doctor,-2.0,random,3,Passive Entry (Auxiliaries),0.0010048872791230679
human_ambiguous,The doctor,-2.0,random,3,Active Entry (Main Verbs),1.5262276065186597e-05
human_ambiguous,The doctor,-2.0,random,3,Unrelated (Control),0.0013993805041536689
human_ambiguous,The soldier,-2.0,random,3,Passive Entry (Auxiliaries),0.00012144738138886169
human_ambiguous,The soldier,-2.0,random,3,Active Entry (Main Verbs),2.8453396225813776e-06
human_ambiguous,The soldier,-2.0,random,3,Unrelated (Control),4.920511128148064e-05
human_ambiguous,The girl,-2.0,random,4,Passive Entry (Auxiliaries),0.006756871473044157
human_ambiguous,The girl,-2.0,random,4,Active Entry (Main Verbs),0.0002625735360197723
human_ambiguous,The girl,-2.0,random,4,Unrelated (Control),0.00455618929117918
human_ambiguous,The teacher,-2.0,random,4,Passive Entry (Auxiliaries),0.007029716856777668
human_ambiguous,The teacher,-2.0,random,4,Active Entry (Main Verbs),0.00018216358148492873
human_ambiguous,The teacher,-2.0,random,4,Unrelated (Control),0.002886350965127349
human_ambiguous,The doctor,-2.0,random,4,Passive Entry (Auxiliaries),0.006087034475058317
human_ambiguous,The doctor,-2.0,random,4,Active Entry (Main Verbs),0.00023206851619761437
human_ambiguous,The doctor,-2.0,random,4,Unrelated (Control),0.004401084501296282
human_ambiguous,The soldier,-2.0,random,4,Passive Entry (Auxiliaries),0.00636379374191165
human_ambiguous,The soldier,-2.0,random,4,Active Entry (Main Verbs),0.00038652820512652397
human_ambiguous,The soldier,-2.0,random,4,Unrelated (Control),0.005542917177081108
human_ambiguous,The girl,-2.0,random,5,Passive Entry (Auxiliaries),0.03092135861515999
human_ambiguous,The girl,-2.0,random,5,Active Entry (Main Verbs),0.00022412410180550069
human_ambiguous,The girl,-2.0,random,5,Unrelated (Control),0.002097911899909377
human_ambiguous,The teacher,-2.0,random,5,Passive Entry (Auxiliaries),0.024339985102415085
human_ambiguous,The teacher,-2.0,random,5,Active Entry (Main Verbs),0.00018173018179368228
human_ambiguous,The teacher,-2.0,random,5,Unrelated (Control),0.001059653819538653
human_ambiguous,The doctor,-2.0,random,5,Passive Entry (Auxiliaries),0.02370409667491913
human_ambiguous,The doctor,-2.0,random,5,Active Entry (Main Verbs),0.00019326484471093863
human_ambiguous,The doctor,-2.0,random,5,Unrelated (Control),0.0022511533461511135
human_ambiguous,The soldier,-2.0,random,5,Passive Entry (Auxiliaries),0.009562109597027302
human_ambiguous,The soldier,-2.0,random,5,Active Entry (Main Verbs),7.732271478744224e-05
human_ambiguous,The soldier,-2.0,random,5,Unrelated (Control),0.001349090482108295
human_ambiguous,The girl,-2.0,random,6,Passive Entry (Auxiliaries),0.007664511911571026
human_ambiguous,The girl,-2.0,random,6,Active Entry (Main Verbs),0.0004583185655064881
human_ambiguous,The girl,-2.0,random,6,Unrelated (Control),0.009954722598195076
human_ambiguous,The teacher,-2.0,random,6,Passive Entry (Auxiliaries),0.005128222517669201
human_ambiguous,The teacher,-2.0,random,6,Active Entry (Main Verbs),0.0002153363893739879
human_ambiguous,The teacher,-2.0,random,6,Unrelated (Control),0.005353483837097883
human_ambiguous,The doctor,-2.0,random,6,Passive Entry (Auxiliaries),0.006751760840415955
human_ambiguous,The doctor,-2.0,random,6,Active Entry (Main Verbs),0.00038942601531744003
human_ambiguous,The doctor,-2.0,random,6,Unrelated (Control),0.008438321761786938
human_ambiguous,The soldier,-2.0,random,6,Passive Entry (Auxiliaries),0.0050644944421947
human_ambiguous,The soldier,-2.0,random,6,Active Entry (Main Verbs),0.00016262708231806755
human_ambiguous,The soldier,-2.0,random,6,Unrelated (Control),0.0036376123316586018
human_ambiguous,The girl,-2.0,random,7,Passive Entry (Auxiliaries),0.052531223744153976
human_ambiguous,The girl,-2.0,random,7,Active Entry (Main Verbs),0.0001992345933103934
human_ambiguous,The girl,-2.0,random,7,Unrelated (Control),0.0074480073526501656
human_ambiguous,The teacher,-2.0,random,7,Passive Entry (Auxiliaries),0.06487686932086945
human_ambiguous,The teacher,-2.0,random,7,Active Entry (Main Verbs),0.00017182857845909894
human_ambiguous,The teacher,-2.0,random,7,Unrelated (Control),0.006530921906232834
human_ambiguous,The doctor,-2.0,random,7,Passive Entry (Auxiliaries),0.04920697212219238
human_ambiguous,The doctor,-2.0,random,7,Active Entry (Main Verbs),0.00020835532632190734
human_ambiguous,The doctor,-2.0,random,7,Unrelated (Control),0.010654977522790432
