structure,condition,layer,mean_var,std_var
dative,CORE,0,1.000089109886051,1.589094835498561e-06
dative,CORE,1,0.7023889819766044,0.001922867507200248
dative,CORE,2,0.5835642305224388,0.004719998509828263
dative,CORE,3,0.5667798594840736,0.004082468241779135
dative,CORE,4,0.5515632136550939,0.0043888856043357875
dative,CORE,5,0.5245518624547354,0.0056948382931002895
dative,CORE,6,0.46717458287051894,0.005245141748277188
dative,CORE,7,0.39542173968226585,0.00436148026197231
dative,CORE,8,0.3672120718455503,0.0037586364873934876
dative,CORE,9,0.320784008957571,0.0030378618355824984
dative,CORE,10,0.28566508542953317,0.003532509133170487
dative,CORE,11,0.24819673717911353,0.00314388315362482
dative,CORE,12,0.2344302631990259,0.0027734586220994582
dative,CORE,13,0.21050199829914717,0.002189998361360074
dative,CORE,14,0.19974729190218496,0.00318511449784507
dative,CORE,15,0.18561224077563857,0.0027433652875909404
dative,CORE,16,0.16912845514874544,0.0019122992048174628
dative,CORE,17,0.15032032867910788,0.0019096982573433025
dative,CORE,18,0.0,0.0
dative,CORE,19,0.0,0.0
dative,CORE,20,0.0,0.0
dative,CORE,21,0.0,0.0
dative,CORE,22,0.0,0.0
dative,CORE,23,0.0,0.0
dative,CORE,24,0.0,0.0
dative,CORE,25,0.0,0.0
dative,CORE,26,0.0,0.0
dative,CORE,27,0.0,0.0
dative,CORE,28,0.0,0.0
dative,CORE,29,0.0,0.0
dative,CORE,30,0.0,0.0
dative,CORE,31,0.0,0.0
dative,CORE,32,0.0,0.0
dative,CORE,33,0.0,0.0
dative,CORE,34,0.0,0.0
dative,CORE,35,0.0,0.0
dative,CORE,36,0.07230122546538656,0.0015147687502665038
dative,ANOMALOUS,0,1.0000933300350394,4.3298768209786865e-06
dative,ANOMALOUS,1,0.7136099651855465,0.001745159081989493
dative,ANOMALOUS,2,0.6330658525782837,0.0031478403934515125
dative,ANOMALOUS,3,0.5851336564065953,0.0020409292820332634
dative,ANOMALOUS,4,0.5619246474326884,0.002759705597554466
dative,ANOMALOUS,5,0.5186127272008927,0.002643765811862056
dative,ANOMALOUS,6,0.4736530338208894,0.004671285662567943
dative,ANOMALOUS,7,0.41119320070021725,0.0035532311549399485
dative,ANOMALOUS,8,0.37944361962685436,0.004058127256853639
dative,ANOMALOUS,9,0.33938997219424316,0.003133723268989118
dative,ANOMALOUS,10,0.316727130392627,0.0025120048758849483
dative,ANOMALOUS,11,0.28635066853518754,0.0029061916437289354
dative,ANOMALOUS,12,0.27396155502968284,0.0023937634366296584
dative,ANOMALOUS,13,0.24955621268433842,0.002059424547816672
dative,ANOMALOUS,14,0.31404683537515304,0.0041408024193204
dative,ANOMALOUS,15,0.2870428810959956,0.00423296948496088
dative,ANOMALOUS,16,0.2663866946934359,0.0038447153418547262
dative,ANOMALOUS,17,0.0,0.0
dative,ANOMALOUS,18,0.0,0.0
dative,ANOMALOUS,19,0.0,0.0
dative,ANOMALOUS,20,0.0,0.0
dative,ANOMALOUS,21,0.0,0.0
dative,ANOMALOUS,22,0.0,0.0
dative,ANOMALOUS,23,0.0,0.0
dative,ANOMALOUS,24,0.0,0.0
dative,ANOMALOUS,25,0.0,0.0
dative,ANOMALOUS,26,0.0,0.0
dative,ANOMALOUS,27,0.0,0.0
dative,ANOMALOUS,28,0.0,0.0
dative,ANOMALOUS,29,0.0,0.0
dative,ANOMALOUS,30,0.0,0.0
dative,ANOMALOUS,31,0.0,0.0
dative,ANOMALOUS,32,0.0,0.0
dative,ANOMALOUS,33,0.0,0.0
dative,ANOMALOUS,34,0.0,0.0
dative,ANOMALOUS,35,0.0,0.0
dative,ANOMALOUS,36,0.13321570563270568,0.0022107061394110545
dative,jabberwocky,0,0.5123404070565198,0.004681997863574346
dative,jabberwocky,1,0.2917112019182021,0.003011831279925457
dative,jabberwocky,2,0.23622915584446189,0.0028157730199384863
dative,jabberwocky,3,0.3868049953198097,0.002152108318276509
dative,jabberwocky,4,0.39039843116283934,0.0019703405926311036
dative,jabberwocky,5,0.36810701278050784,0.0029396424842917856
dative,jabberwocky,6,0.3918714188610251,0.0024386184899958386
dative,jabberwocky,7,0.3505584524036099,0.0018387106979071246
dative,jabberwocky,8,0.3500784075559872,0.0026059758273935516
dative,jabberwocky,9,0.30596056609980915,0.0023425102263299256
dative,jabberwocky,10,0.28809696158571896,0.0020925850560525477
dative,jabberwocky,11,0.32434365742140486,0.003812163895717829
dative,jabberwocky,12,0.307844800770963,0.0034833399787047915
dative,jabberwocky,13,0.28971967340534255,0.002975543142663751
dative,jabberwocky,14,0.30951205373007024,0.0014891565753212452
dative,jabberwocky,15,0.29678411813476513,0.0018362207721201737
dative,jabberwocky,16,0.2806731055444824,0.0022179687509139593
dative,jabberwocky,17,0.2631317058671793,0.0018821203047009417
dative,jabberwocky,18,0.0,0.0
dative,jabberwocky,19,0.0,0.0
dative,jabberwocky,20,0.0,0.0
dative,jabberwocky,21,0.0,0.0
dative,jabberwocky,22,0.0,0.0
dative,jabberwocky,23,0.0,0.0
dative,jabberwocky,24,0.0,0.0
dative,jabberwocky,25,0.0,0.0
dative,jabberwocky,26,0.0,0.0
dative,jabberwocky,27,0.0,0.0
dative,jabberwocky,28,0.0,0.0
dative,jabberwocky,29,0.0,0.0
dative,jabberwocky,30,0.0,0.0
dative,jabberwocky,31,0.0,0.0
dative,jabberwocky,32,0.0,0.0
dative,jabberwocky,33,0.0,0.0
dative,jabberwocky,34,0.0,0.0
dative,jabberwocky,35,0.0,0.0
dative,jabberwocky,36,0.1814375326097371,0.00467277105444626
