category,representation_type,nonce_word,max_cosine,mean_topk_cosine,nearest_neighbors
noun,lexical,klopemrud,0.616270899772644,0.6055523157119751,albemarle:0.6163;kr:0.6060;klm:0.6059;dunlop:0.6029;kareem:0.5967
noun,lexical,smepimzir,0.5832421779632568,0.5693750381469727,zircon:0.5832;kiran:0.5682;karim:0.5659;tepid:0.5650;kabir:0.5646
noun,lexical,vrepimpav,0.5668956637382507,0.5601097345352173,pimp:0.5669;chimp:0.5651;gimp:0.5619;intrepid:0.5585;wimp:0.5481
noun,lexical,klotafdil,0.5820537805557251,0.5631111860275269,daffodil:0.5821;kafka:0.5658;fujifilm:0.5598;kenilworth:0.5544;khalil:0.5535
noun,lexical,kvelodzom,0.6746129393577576,0.6311822533607483,kodak:0.6746;kom:0.6645;komodo:0.6195;kibbutz:0.6054;nouvelle:0.5919
noun,lexical,brisilsel,0.6400689482688904,0.6165803074836731,tassel:0.6401;brussels:0.6379;hansel:0.6141;russel:0.5999;anselm:0.5909
noun,lexical,plovakzir,0.7100323438644409,0.6234987378120422,slovak:0.7100;herzegovina:0.6458;plz:0.6241;yeovil:0.5708;kabir:0.5669
noun,lexical,kvezemzom,0.6194670796394348,0.5863852500915527,kom:0.6195;kibbutz:0.6056;kareem:0.5924;komodo:0.5580;pembrokeshire:0.5565
noun,lexical,smenelsel,0.6694288849830627,0.6475076079368591,smelter:0.6694;glenelg:0.6598;smelting:0.6386;tassel:0.6365;hansel:0.6332
noun,lexical,vrasilvol,0.519096851348877,0.5100407600402832,chakras:0.5191;carrasco:0.5174;benevolence:0.5103;madras:0.5030;contreras:0.5003
noun,lexical,klofimnef,0.6471515893936157,0.6269211769104004,klm:0.6472;karim:0.6374;kimmy:0.6258;kim:0.6144;kf:0.6099
noun,lexical,frataflom,0.5407397747039795,0.5283645391464233,frat:0.5407;fata:0.5359;mata:0.5290;hinata:0.5188;tata:0.5173
noun,lexical,vratorfin,0.5743992328643799,0.5115196108818054,integrator:0.5744;illustrator:0.5571;arbitrator:0.5550;illustrators:0.4539;vf:0.4172
noun,lexical,grivarbav,0.5201488137245178,0.511604368686676,yadav:0.5201;gripe:0.5174;bavaria:0.5169;gustavo:0.5045;davos:0.4990
noun,lexical,kverukvol,0.5358039140701294,0.5287197232246399,hanukkah:0.5358;tuk:0.5297;lukas:0.5286;iver:0.5268;fuk:0.5228
noun,lexical,frapemsim,0.6346460580825806,0.5708476305007935,fim:0.6346;drapes:0.5722;modems:0.5608;oems:0.5542;ephraim:0.5324
noun,lexical,vratorrud,0.6700783371925354,0.5635167360305786,vr:0.6701;integrator:0.5576;arbitrator:0.5436;illustrator:0.5318;ludacris:0.5145
noun,lexical,mnikudpav,0.6406821608543396,0.5888041853904724,mav:0.6407;mavs:0.6151;sputnik:0.5798;reykjavik:0.5560;davos:0.5524
noun,lexical,tlukudkul,0.654285728931427,0.5993891954421997,tk:0.6543;tarek:0.5932;ukulele:0.5893;tudor:0.5837;hanukkah:0.5765
noun,lexical,vravaknef,0.6042851209640503,0.5746740102767944,novak:0.6043;vf:0.5901;vhf:0.5737;kravitz:0.5568;pravda:0.5485
noun,lexical,smezemlom,0.6063123941421509,0.5825910568237305,jezebel:0.6063;hernandez:0.5949;albemarle:0.5907;sneezes:0.5692;oem:0.5519
noun,lexical,brikudtas,0.6099433898925781,0.5989382266998291,tudor:0.6099;ciudad:0.6080;rosebud:0.5984;baht:0.5908;ludacris:0.5875
noun,lexical,grimolkul,0.6154574751853943,0.5621460676193237,yolk:0.6155;suffolk:0.5866;kolkata:0.5609;yul:0.5245;jul:0.5233
noun,lexical,tlumolvek,0.6009591817855835,0.5837857127189636,tl:0.6010;tk:0.5897;tolkien:0.5844;klm:0.5752;selkirk:0.5687
noun,lexical,zraduldil,0.6092538833618164,0.5602125525474548,auld:0.6093;ould:0.6088;konrad:0.5519;intraday:0.5156;stalingrad:0.5155
noun,lexical,fradulvek,0.6006149053573608,0.5611050724983215,unadulterated:0.6006;nouveau:0.5656;sepulchre:0.5491;franck:0.5453;dekalb:0.5449
noun,lexical,zlosillom,0.6537414789199829,0.5576759576797485,zillow:0.6537;carlos:0.5621;gorillaz:0.5287;gillis:0.5267;mcneill:0.5171
noun,lexical,plolodnef,0.576521098613739,0.5649214386940002,vodafone:0.5765;daffodil:0.5734;dolomite:0.5617;doodle:0.5616;vinod:0.5514
noun,lexical,druvarmur,0.5407432913780212,0.5169955492019653,druid:0.5407;dru:0.5162;smurf:0.5159;jaipur:0.5083;karmic:0.5038
noun,lexical,smevakrab,0.5251947045326233,0.5131469964981079,slovak:0.5252;sarajevo:0.5248;abubakar:0.5119;bakr:0.5033;stevie:0.5005
noun,lexical,tluvaknef,0.6489278674125671,0.5973436236381531,novak:0.6489;tnf:0.6143;brezhnev:0.5833;tak:0.5778;lakshmi:0.5623
noun,lexical,plokudsel,0.5691543817520142,0.5521419048309326,tassel:0.5692;russel:0.5673;hansel:0.5472;seok:0.5422;ansel:0.5349
noun,lexical,mnizemdil,0.6697989106178284,0.6268377304077148,leibniz:0.6698;fujifilm:0.6264;nizam:0.6193;miz:0.6162;gilmour:0.6025
noun,lexical,smesilrab,0.6602379083633423,0.5327956080436707,smes:0.6602;smurf:0.5145;smu:0.5028;smelter:0.4938;hilal:0.4928
noun,lexical,vramolsim,0.6948812007904053,0.5936838388442993,vikram:0.6949;vadim:0.6228;mongols:0.5522;bram:0.5498;carols:0.5488
noun,lexical,britorkul,0.6925750970840454,0.6503843069076538,brit:0.6926;briton:0.6604;britain:0.6434;britons:0.6334;brits:0.6221
