item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
0,prompt_active,active,the dru ed the gri .,the gri was ed by the dru .,The dru s the gri .,the dru s the gri .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving a bri and an dil.
The one who did it was a bri.
The one it happened to was an dil.

Bridget asked, ""What happened?""
Mary answered, ""A bri s an dil.""

There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The"," dru s the gri.""

There was an event involving the gri and the gri.
The one who did it was the gri"
0,prompt_no_prime,no_prime,the dru ed the gri .,the gri was ed by the dru .,The one who did it was the dru .,the one who did it was the dru .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was the dru.
The one it happened to was the gri.
The one who did it was the"
1,prompt_no_prime,no_prime,the gri s the mur .,the mur is ed by the gri .,The gri did it to the mur .,the gri did it to the mur .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The"," gri did it to the mur.""

Bridget asked, ""Who did it?""
Mary replied, ""The gri.""

"
1,prompt_filler,filler,the gri s the mur .,the mur is ed by the gri .,The gri did it to the mur .,the gri did it to the mur .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The dru ed beside the gri.""

There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The"," gri did it to the mur.""

Bridget asked, ""What happened?""
Mary answered, ""The gri and the"
2,prompt_active,active,an mur ed an dir .,an dir was ed by an mur .,The mur s the dir .,the mur s the dir .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The dru s the gri.""

There was an event involving an mur and an dir.
The one who did it was an mur.
The one it happened to was an dir.

Bridget asked, ""What happened?""
Mary answered, ""The"," mur s the dir.""

There was an event involving a gri and a dir.
The one who did it was a gri"
2,prompt_no_prime,no_prime,an mur ed an dir .,an dir was ed by an mur .,The mur did it to the dir .,the mur did it to the dir .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving an mur and an dir.
The one who did it was an mur.
The one it happened to was an dir.

Bridget asked, ""What happened?""
Mary answered, ""The"," mur did it to the dir.""

Bridget asked, ""Who did it?""
Mary answered, ""The mur did"
3,prompt_no_prime,no_prime,an dir s an dur .,an dur is ed by an dir .,The dir did it to the dur .,the dir did it to the dur .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving an dir and an dur.
The one who did it was an dir.
The one it happened to was an dur.

Bridget asked, ""What happened?""
Mary answered, ""The"," dir did it to the dur.""

Bridget asked, ""Who did it?""
Mary answered, ""The dir did"
3,prompt_filler,filler,an dir s an dur .,an dur is ed by an dir .,The dur ed during the fab .,the dur ed during the fab .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The dur ed during the fab.""

There was an event involving an dir and an dur.
The one who did it was an dir.
The one it happened to was an dur.

Bridget asked, ""What happened?""
Mary answered, ""The"," dur ed during the fab.""
Bridget asked, ""What happened?""
Mary answered, ""The dur ed during the"
4,prompt_active,active,the dur ed the fab .,the fab was ed by the dur .,The dur did it to the fab .,the dur did it to the fab .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A mur s a dir.""

There was an event involving the dur and the fab.
The one who did it was the dur.
The one it happened to was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The"," dur did it to the fab.""

There was an event involving the fab and the dur.
The one who did it was"
4,prompt_passive,passive,the dur ed the fab .,the fab was ed by the dur .,The dur is ed by the fab .,the dur is ed by the fab .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A dir is ed by a mur.""

There was an event involving the dur and the fab.
The one who did it was the dur.
The one it happened to was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The"," dur is ed by the fab.""

There was an event involving the fab and the dur.
The one who did it was"
