item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
0,prompt_no_prime,no_prime,the actor asked the actress .,the actress was asked by the actor .,The actor did it .,the actor did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actor did it. The actress was the one it happened to.""

Bridget asked, ""What did the actor do"
1,prompt_no_prime,no_prime,the actress asks the adult .,the adult is asked by the actress .,The actress was involved in the asking event and the adult was the one it happened to .,the actress was involved in the asking event and the adult was the one it happened to .,active_target_ditransitive_like,target_active_structural_to_for,copular_like,theme>predicate,copular_pattern_detected,other,active,True,False,"There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," actress was involved in the asking event and the adult was the one it happened to.""

Bridget asked, ""What"
2,prompt_no_prime,no_prime,an adult asked an attorney .,an attorney was asked by an adult .,"The adult was asked to do something, and the attorney was asked to do something else .","the adult was asked to do something, and the attorney was asked to do something else .",active_target_ditransitive_like,target_active_structural_to_for,passive_like,patient>(agent),passive_pattern_detected,other,active,True,False,"There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," adult was asked to do something, and the attorney was asked to do something else.""

Bridget asked, ""What"
2,prompt_filler,filler,an adult asked an attorney .,an attorney was asked by an adult .,The notebook was taken .,the notebook was taken .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," notebook was taken.""

In the first scenario, the adult did not take the notebook. The adult was not involved in the"
3,prompt_no_prime,no_prime,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney was involved in the asking event .,the attorney was involved in the asking event .,copular_participial,be_participial_no_by,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"," attorney was involved in the asking event.""
Bridget asked, ""What was the asking event?""
Mary answered, """
3,prompt_filler,filler,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney was sued .,the attorney was sued .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The window rattled during the storm.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"," attorney was sued.""

There was an asking event involving a lawyer and a friend.
The one who did it was a lawyer"
4,prompt_no_prime,no_prime,the aunt asked the author .,the author was asked by the aunt .,The aunt did it .,the aunt did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the aunt and the author.
The one who did it was the aunt.
The one it happened to was the author.

Bridget asked, ""What happened?""
Mary answered, ""The"," aunt did it. The author was the one it happened to.""

Bridget asked, ""What did the aunt do"
4,prompt_filler,filler,the aunt asked the author .,the author was asked by the aunt .,The author smiled after the event .,the author smiled after the event .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was an askeding event involving the aunt and the author.
The one who did it was the aunt.
The one it happened to was the author.

Bridget asked, ""What happened?""
Mary answered, ""The"," author smiled after the event.""

The aunt was the one who did it.
The author was the one it happened to.
"
5,prompt_no_prime,no_prime,the author asks the bishop .,the bishop is asked by the author .,"The author was the one who did it, and the bishop was the one it happened to .","the author was the one who did it, and the bishop was the one it happened to .",other_coordinate_multiclause,coordination_with_punctuation,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an asking event involving the author and the bishop.
The one who did it was the author.
The one it happened to was the bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"," author was the one who did it, and the bishop was the one it happened to.""

Bridget asked, """
5,prompt_filler,filler,the author asks the bishop .,the bishop is asked by the author .,The author waited near the doorway .,the author waited near the doorway .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was an asking event involving the author and the bishop.
The one who did it was the author.
The one it happened to was the bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"," author waited near the doorway.""

The painter was not involved in the second scene.
The painter was not involved in the first"
