prompt_column,prime_condition,generation_class_lax,n_items,total_items,share
prompt_active,active,active,1856,2048,0.90625
prompt_active,active,other,84,2048,0.041015625
prompt_active,active,passive,108,2048,0.052734375
prompt_filler,filler,active,381,2048,0.18603515625
prompt_filler,filler,other,1552,2048,0.7578125
prompt_filler,filler,passive,115,2048,0.05615234375
prompt_no_prime,no_prime,active,982,2048,0.4794921875
prompt_no_prime,no_prime,other,1037,2048,0.50634765625
prompt_no_prime,no_prime,passive,29,2048,0.01416015625
prompt_passive,passive,active,482,2048,0.2353515625
prompt_passive,passive,other,48,2048,0.0234375
prompt_passive,passive,passive,1518,2048,0.7412109375
