item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
0,prompt_active,active,the actor asked the actress .,the actress was asked by the actor .,The actor asked the actress .,active_exact
0,prompt_passive,passive,the actor asked the actress .,the actress was asked by the actor .,The actress is asked by the actor .,passive_structural
0,prompt_no_prime,no_prime,the actor asked the actress .,the actress was asked by the actor .,The actor did it .,other
0,prompt_filler,filler,the actor asked the actress .,the actress was asked by the actor .,The lantern glowed near sunset .,other
1,prompt_active,active,the actress asks the adult .,the adult is asked by the actress .,The actress asked the adult .,active_structural
1,prompt_passive,passive,the actress asks the adult .,the adult is asked by the actress .,The adult was asked by the actress .,passive_structural
1,prompt_no_prime,no_prime,the actress asks the adult .,the adult is asked by the actress .,The one who did it was the actress .,other
1,prompt_filler,filler,the actress asks the adult .,the adult is asked by the actress .,The traveler rested beside the river .,other
2,prompt_active,active,an adult asked an attorney .,an attorney was asked by an adult .,The adult asked the attorney .,active_structural
2,prompt_passive,passive,an adult asked an attorney .,an attorney was asked by an adult .,The attorney is askeded by the adult .,other
2,prompt_no_prime,no_prime,an adult asked an attorney .,an attorney was asked by an adult .,The one who did it was an adult .,other
2,prompt_filler,filler,an adult asked an attorney .,an attorney was asked by an adult .,The notebook stayed on the shelf .,other
3,prompt_active,active,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney asked the aunt .,active_structural
3,prompt_passive,passive,an attorney asks an aunt .,an aunt is asked by an attorney .,The aunt was asked by the attorney .,passive_structural
3,prompt_no_prime,no_prime,an attorney asks an aunt .,an aunt is asked by an attorney .,The one who did it was an attorney .,other
3,prompt_filler,filler,an attorney asks an aunt .,an aunt is asked by an attorney .,The window rattled during the storm .,other
4,prompt_active,active,the aunt asked the author .,the author was asked by the aunt .,The aunt asks the author .,active_structural
4,prompt_passive,passive,the aunt asked the author .,the author was asked by the aunt .,The author is askeded by the aunt .,other
4,prompt_no_prime,no_prime,the aunt asked the author .,the author was asked by the aunt .,The author asked me to do it .,other
4,prompt_filler,filler,the aunt asked the author .,the author was asked by the aunt .,The singer smiled after rehearsal .,other
5,prompt_active,active,the author asks the bishop .,the bishop is asked by the author .,The author asked the bishop .,active_structural
5,prompt_passive,passive,the author asks the bishop .,the bishop is asked by the author .,The author asked the bishop .,active_structural
5,prompt_no_prime,no_prime,the author asks the bishop .,the bishop is asked by the author .,The bishop asked the author to sign his book .,other
5,prompt_filler,filler,the author asks the bishop .,the bishop is asked by the author .,The painter waited near the doorway .,other
6,prompt_active,active,a bishop asked a boy .,a boy was asked by a bishop .,The bishop asks the boy .,active_structural
6,prompt_passive,passive,a bishop asked a boy .,a boy was asked by a bishop .,The boy is asked by the bishop .,passive_structural
6,prompt_no_prime,no_prime,a bishop asked a boy .,a boy was asked by a bishop .,The bishop asked the boy if he was a boy .,active_structural
6,prompt_filler,filler,a bishop asked a boy .,a boy was asked by a bishop .,The engine cooled before dawn .,other
