prompt_column,prime_condition,role_frame_inferred_final,n_items,total_items,share
prompt_active,active,agent>patient,1695,2048,0.82763671875
prompt_active,active,agent>theme,86,2048,0.0419921875
prompt_active,active,patient>(agent),108,2048,0.052734375
prompt_active,active,single_core_argument(+oblique),1,2048,0.00048828125
prompt_active,active,unknown,158,2048,0.0771484375
prompt_filler,filler,agent>patient,354,2048,0.1728515625
prompt_filler,filler,agent>theme,3,2048,0.00146484375
prompt_filler,filler,agent>theme>recipient,3,2048,0.00146484375
prompt_filler,filler,patient>(agent),115,2048,0.05615234375
prompt_filler,filler,single_core_argument(+oblique),1385,2048,0.67626953125
prompt_filler,filler,theme>predicate,37,2048,0.01806640625
prompt_filler,filler,unknown,151,2048,0.07373046875
prompt_no_prime,no_prime,agent>patient,876,2048,0.427734375
prompt_no_prime,no_prime,agent>theme,9,2048,0.00439453125
prompt_no_prime,no_prime,agent>theme>recipient,14,2048,0.0068359375
prompt_no_prime,no_prime,mixed,105,2048,0.05126953125
prompt_no_prime,no_prime,patient>(agent),29,2048,0.01416015625
prompt_no_prime,no_prime,single_core_argument(+oblique),72,2048,0.03515625
prompt_no_prime,no_prime,theme>predicate,277,2048,0.13525390625
prompt_no_prime,no_prime,unknown,666,2048,0.3251953125
prompt_passive,passive,agent>patient,429,2048,0.20947265625
prompt_passive,passive,agent>theme,20,2048,0.009765625
prompt_passive,passive,patient>(agent),1505,2048,0.73486328125
prompt_passive,passive,single_core_argument(+oblique),16,2048,0.0078125
prompt_passive,passive,unknown,78,2048,0.0380859375
