s_PE_Active,s_PE_Passive,w_PE_Active,w_PE_Passive
-0.0625,1.46875,1.5078125,0.609375
0.25,1.0,0.27734375,0.435546875
1.4375,-1.875,0.1953125,-0.4921875
-0.5,2.8125,0.1484375,0.46875
2.03125,1.375,1.0234375,1.00390625
2.84375,3.71875,1.09375,0.123046875
2.3125,0.375,0.5625,0.8671875
2.6875,2.59375,1.05859375,0.4765625
1.4375,2.1875,0.0546875,0.8828125
1.53125,1.1875,0.046875,-0.1875
3.6875,1.5625,0.82421875,0.3984375
0.1875,3.03125,-0.5390625,1.12890625
2.28125,1.5,0.234375,0.4296875
-1.6875,4.1875,-0.50390625,-0.29296875
-1.875,3.4375,-0.2421875,0.234375
0.125,3.46875,-0.2734375,0.03125
0.5,-0.1875,0.36328125,-0.12109375
-0.09375,0.75,0.859375,0.8125
1.34375,2.25,0.3046875,0.55859375
1.03125,3.375,0.39453125,-0.08203125
1.875,-1.5625,0.79296875,0.546875
0.0625,5.65625,-0.359375,0.65234375
1.1875,-0.9375,-0.15625,-0.09765625
1.25,4.25,0.484375,0.08984375
-0.75,3.875,0.71875,-0.04296875
-1.03125,5.28125,-0.1484375,1.0078125
4.6875,1.5,0.1875,-0.30859375
-0.09375,2.90625,0.70703125,0.767578125
3.5625,-0.875,-0.10546875,0.82421875
1.25,3.625,0.22265625,0.3828125
0.3125,4.15625,0.5703125,0.63671875
2.28125,1.46875,1.390625,0.5546875
2.625,1.3125,0.87109375,0.8828125
-1.25,4.125,-0.609375,0.5078125
5.875,-1.6875,0.5546875,-0.490234375
0.6875,1.84375,-0.421875,-0.619140625
0.875,4.34375,0.0546875,0.62109375
0.1875,3.625,0.625,0.73828125
-2.25,5.5,0.8515625,0.00390625
-1.0,4.53125,0.28515625,0.484375
0.78125,2.46875,1.0078125,-1.291015625
1.6875,1.375,-0.01171875,0.26953125
0.25,3.6875,0.40625,1.01953125
-1.6875,3.5625,0.3828125,0.296875
-2.875,5.75,-0.23046875,1.97265625
5.375,2.1875,1.43359375,1.265625
-5.0,7.3125,0.1328125,0.546875
1.3125,3.0,0.75,0.40234375
-0.6875,5.5,-0.53125,0.39453125
-1.03125,3.5625,0.3203125,0.16796875
0.46875,3.875,1.2421875,1.224609375
1.21875,2.3125,-0.140625,0.248046875
-1.84375,3.46875,0.328125,-0.30859375
3.0625,-0.53125,1.0078125,-1.12890625
-3.1875,6.75,-0.1875,0.609375
-0.9375,3.09375,0.265625,-0.14453125
-1.96875,6.25,0.7890625,1.283203125
2.0625,2.6875,0.63671875,0.5234375
0.5625,5.84375,-0.28125,0.1171875
-1.3125,5.0625,0.0390625,0.17578125
1.0625,4.0625,0.65625,1.0546875
-1.375,4.03125,0.96875,1.30078125
-0.0625,1.21875,1.2109375,-0.08984375
0.3125,-1.9375,0.12109375,-0.01171875
2.78125,1.9375,0.2734375,0.515625
0.875,3.125,-0.625,0.140625
-1.9375,3.5,0.40234375,0.26171875
2.9375,5.0,0.375,1.25
-0.53125,3.6875,0.17578125,-1.318359375
-0.3125,5.1875,0.1484375,0.17578125
-1.3125,4.5,0.83203125,1.35546875
-1.125,4.3125,0.19921875,1.01953125
-1.3125,2.1875,-0.09375,-0.06640625
1.5,2.96875,0.71875,-0.15234375
-1.84375,5.0625,-0.0234375,-0.451171875
-2.40625,4.4375,0.078125,0.1875
-0.125,-0.1875,0.06640625,-0.00390625
-4.46875,6.28125,0.4375,0.2734375
3.0625,0.3125,0.90625,0.6796875
2.0625,3.71875,0.13671875,0.0390625
-4.625,2.9375,0.546875,0.4140625
1.6875,2.875,0.48828125,0.923828125
-0.375,4.0,-0.171875,0.48046875
0.0625,2.0625,0.3515625,0.248046875
3.6875,-1.84375,0.80078125,1.15625
3.6875,0.4375,1.51171875,0.6171875
1.5,2.28125,0.8671875,0.2890625
-0.96875,1.3125,-0.2578125,0.7734375
-0.5,3.71875,-0.1953125,0.12890625
1.625,-0.5,0.13671875,-0.1015625
3.21875,-1.6875,0.6875,0.498046875
0.0625,2.78125,0.2421875,0.07421875
-1.625,3.5,-0.31640625,0.31640625
-1.40625,3.90625,0.59765625,0.7734375
2.53125,0.25,0.68359375,0.0546875
0.78125,0.46875,0.07421875,0.21875
-0.78125,4.1875,2.546875,0.6171875
4.0,0.625,0.89453125,0.07421875
-0.5,1.25,0.15625,0.578125
1.125,5.625,-1.31640625,1.0703125
-1.40625,6.25,-0.19921875,1.228515625
2.4375,2.0625,0.72265625,0.44921875
2.59375,2.9375,1.1015625,1.09375
-2.3125,6.34375,-0.25,-0.12109375
-0.65625,4.8125,0.3125,0.0703125
-2.15625,4.5,0.4765625,0.62890625
-0.71875,4.15625,0.5546875,0.38671875
1.25,4.3125,0.2265625,0.15625
-1.21875,7.78125,1.0703125,0.921875
1.4375,2.25,0.1171875,0.32421875
1.34375,3.53125,-0.3203125,0.38671875
-0.3125,1.96875,0.1328125,-0.49609375
-2.96875,2.34375,0.5234375,0.1328125
-0.9375,5.5,0.59375,0.77734375
-0.875,5.5,0.33203125,0.51953125
-0.9375,5.78125,0.25,0.234375
1.1875,3.65625,2.53125,0.0234375
-0.625,5.375,0.14453125,0.36328125
2.65625,2.5,-0.4609375,0.34375
-0.3125,1.65625,0.01171875,-0.14453125
-1.375,5.40625,0.1875,0.59375
2.5625,0.6875,0.328125,0.2265625
2.8125,4.03125,0.4296875,1.27734375
-0.75,1.8125,0.640625,1.63671875
-5.0625,5.5,-0.421875,0.62109375
1.125,4.25,0.5703125,1.171875
2.65625,4.0,-0.15234375,-0.05859375
4.65625,2.25,0.1171875,-0.2578125
1.375,3.75,-0.40625,0.576171875
0.1875,3.4375,0.3203125,0.80078125
-0.6875,2.375,0.16796875,-0.19140625
1.40625,1.1875,-0.0234375,0.39453125
1.59375,0.34375,0.6796875,-0.1640625
4.40625,2.6875,1.28125,0.912109375
2.0,5.1875,0.1171875,1.8203125
-0.125,8.25,0.30078125,0.94921875
1.8125,3.25,1.4921875,0.5234375
4.40625,-1.3125,0.453125,-0.359375
5.78125,-2.6875,1.0078125,-1.0078125
-0.125,4.125,-0.265625,0.53125
5.53125,-4.09375,0.015625,0.2421875
-1.125,8.0625,-0.296875,1.4453125
-1.25,1.6875,0.3671875,-0.125
-0.84375,5.375,-0.046875,0.40234375
-0.3125,2.125,0.14453125,-0.5
-0.15625,4.6875,0.109375,-0.18359375
2.6875,4.0,1.71484375,1.51171875
2.15625,1.875,0.765625,-0.2109375
0.0,3.75,0.5390625,-0.10546875
-1.03125,3.96875,0.0,1.140625
3.125,1.5,0.0078125,0.62109375
-1.15625,4.6875,0.3203125,0.23828125
-1.25,3.5625,0.32421875,1.359375
-0.5,4.34375,0.2734375,0.48046875
-2.75,4.46875,-0.91015625,0.90625
4.3125,-2.8125,1.28125,-0.833984375
-0.59375,2.40625,0.203125,0.37109375
2.5,1.8125,0.5078125,0.28125
-2.5,2.5,0.28125,0.1640625
2.875,-1.8125,0.34375,-0.4453125
3.0625,3.125,0.7890625,0.83984375
0.90625,4.28125,-0.20703125,0.71875
3.5625,4.3125,0.1328125,0.642578125
-2.3125,6.46875,0.328125,-0.23828125
-2.1875,6.0625,0.07421875,0.5078125
-1.5625,0.6875,0.078125,0.5859375
-0.53125,6.09375,0.82421875,-0.146484375
1.0,1.78125,0.4296875,0.01953125
-1.15625,6.65625,1.71875,-0.138671875
-0.25,1.5625,0.20703125,0.40625
-1.25,3.8125,-0.12890625,0.6484375
-4.875,6.875,0.3828125,0.140625
1.375,5.40625,1.42578125,1.09765625
4.5,1.75,0.82421875,0.380859375
1.46875,2.8125,0.4921875,0.59375
2.625,3.5625,0.4609375,1.14453125
1.375,-0.71875,0.00390625,-0.3828125
-1.09375,5.0,-0.296875,0.3828125
-2.4375,6.8125,-0.08984375,-0.7734375
0.78125,2.875,-0.4453125,-0.080078125
2.59375,1.6875,0.9296875,0.28125
1.375,3.5625,0.96875,0.0078125
1.0,5.5625,1.734375,0.671875
0.40625,4.25,0.0234375,0.951171875
1.1875,3.40625,0.30078125,0.482421875
-0.6875,4.25,0.875,-0.16015625
2.5,-3.0625,0.296875,-0.69140625
0.125,3.28125,-0.1640625,0.03515625
-3.15625,5.71875,0.51953125,0.93359375
1.21875,3.1875,0.109375,-0.765625
-1.8125,6.0625,0.0703125,1.44921875
1.3125,1.53125,0.421875,-0.201171875
-0.625,3.8125,0.34375,0.6640625
0.75,6.96875,-0.0625,0.53515625
-1.5625,2.84375,0.328125,0.02734375
1.09375,1.5625,-0.046875,-0.140625
0.5625,4.6875,0.3125,0.7265625
1.53125,2.5,0.0703125,0.62109375
1.28125,4.15625,0.64453125,0.89453125
-3.09375,6.59375,0.75,1.60546875
-0.90625,4.0,0.3671875,0.06640625
0.125,4.5625,0.78125,0.126953125
-0.40625,5.0625,0.921875,1.4375
2.25,1.46875,0.765625,0.42578125
-0.84375,6.125,-0.078125,1.09375
-2.25,4.34375,1.3046875,-0.19140625
-2.125,4.5,-0.05078125,0.6953125
-0.5625,3.75,0.34375,0.265625
-0.0625,4.8125,0.7890625,1.02734375
-0.0625,1.5,1.015625,0.6171875
0.4375,2.40625,0.859375,0.11328125
-3.375,6.90625,0.2890625,0.23046875
-0.8125,5.90625,0.296875,0.50390625
0.9375,3.84375,-0.484375,0.44140625
-0.25,2.0,0.29296875,0.40625
0.9375,1.8125,-0.3203125,0.4765625
1.71875,0.25,2.0703125,-0.0234375
1.71875,0.0,0.04296875,0.3046875
-0.3125,4.5,0.08203125,0.80078125
1.625,1.8125,0.171875,0.71875
-0.5625,4.625,-0.015625,0.48828125
1.5625,4.3125,0.6953125,0.609375
1.375,5.25,0.6796875,0.640625
-0.125,1.8125,0.1640625,1.16796875
2.25,0.1875,0.76953125,0.78125
1.75,6.25,0.0546875,0.72265625
0.71875,2.5625,-0.9765625,0.1015625
-2.1875,3.78125,0.14453125,0.91015625
-0.84375,2.09375,0.47265625,0.23046875
1.5,-1.6875,0.46875,-0.3515625
0.84375,3.5,-0.0390625,-0.1640625
2.4375,2.78125,-0.1328125,0.1328125
2.59375,3.6875,-0.015625,0.69921875
0.34375,5.34375,-0.203125,0.70703125
2.375,3.90625,-0.10546875,-0.28515625
-1.6875,5.3125,0.10546875,0.921875
5.4375,-1.28125,0.8984375,-0.88671875
0.0,6.25,0.3046875,1.22265625
1.15625,4.40625,0.3125,-0.15625
1.0625,1.6875,1.34375,0.36328125
1.375,2.4375,0.640625,0.83203125
3.25,1.375,0.15625,0.08203125
1.625,4.5625,0.078125,0.93359375
-2.21875,4.625,0.125,0.3359375
0.78125,0.1875,0.1015625,-0.21875
1.5,2.90625,0.4609375,1.0546875
2.28125,1.59375,0.7734375,1.994140625
3.4375,0.46875,0.9296875,0.48828125
4.21875,3.28125,0.390625,0.12890625
4.875,0.40625,0.7890625,0.806640625
-0.125,3.1875,0.24609375,0.2890625
1.0,4.5625,0.59765625,-0.3046875
6.03125,2.21875,0.5390625,-0.08203125
-0.28125,5.875,0.69140625,1.29296875
0.0,3.875,1.59375,-0.1171875
0.4375,3.1875,-0.015625,0.45703125
-0.96875,3.1875,-0.55078125,-0.25390625
-0.15625,5.5,0.734375,1.24609375
-1.25,3.0,0.0703125,0.4921875
3.6875,2.5625,0.40625,1.490234375
-4.125,7.5625,-0.11328125,1.078125
1.3125,3.6875,0.25,0.171875
0.625,4.875,-0.45703125,0.1015625
-1.75,7.3125,-0.1640625,0.82421875
0.3125,2.875,0.03515625,0.55078125
-0.125,2.125,0.30859375,0.15234375
-0.0625,3.875,0.984375,0.328125
2.34375,1.125,0.296875,-0.05078125
0.75,2.3125,0.6015625,-0.5390625
2.5625,3.4375,0.671875,0.953125
1.75,2.0625,-0.00390625,-0.375
1.75,1.0625,1.37890625,-0.2109375
-0.46875,4.875,0.9140625,0.34765625
4.3125,2.3125,2.125,0.6328125
1.5,3.3125,0.3515625,0.37109375
0.4375,-0.34375,-0.1796875,0.19921875
-0.0625,3.9375,0.2578125,0.1484375
-2.4375,7.34375,-0.1015625,0.48828125
1.375,2.8125,0.671875,0.39453125
-0.59375,5.5625,0.171875,1.607421875
1.09375,2.15625,0.04296875,0.62109375
2.875,2.6875,1.10546875,0.359375
2.8125,3.28125,1.53125,0.59375
-0.25,4.0625,1.2734375,0.55859375
-0.0625,4.8125,-0.1171875,0.6015625
2.5625,-1.5,0.234375,0.51171875
0.6875,1.1875,0.2890625,0.697265625
-0.53125,4.96875,0.0078125,0.75
-3.09375,3.3125,0.18359375,0.43359375
-0.65625,4.15625,0.328125,0.68359375
4.3125,2.1875,0.78515625,0.5390625
1.65625,3.6875,0.80078125,0.515625
1.59375,2.6875,0.42578125,0.59375
-0.0625,3.875,0.3125,0.6328125
2.25,3.0,0.6328125,0.59375
-0.78125,3.0,0.0546875,0.1484375
0.0625,3.9375,-0.140625,-0.421875
3.21875,-0.40625,0.8359375,-0.220703125
1.09375,0.9375,0.34765625,0.5234375
-4.0625,6.75,-0.0546875,0.3203125
3.09375,3.0,0.1875,0.69140625
-1.875,3.75,0.08984375,-0.171875
-0.4375,1.6875,0.3125,0.203125
-0.96875,5.65625,0.21875,0.53125
-3.8125,6.71875,-0.046875,0.16796875
-0.1875,4.15625,-0.5546875,0.6015625
2.875,1.8125,0.7734375,0.140625
0.5,1.5625,1.06640625,0.94140625
4.78125,-1.1875,0.04296875,0.046875
2.5625,1.375,-0.23828125,0.26953125
-1.125,4.5625,-0.25390625,0.12890625
1.46875,0.8125,0.6953125,0.7109375
-2.0,4.90625,-0.109375,-0.1953125
1.0625,0.6875,0.0546875,0.546875
2.78125,2.03125,0.48046875,-0.81640625
-1.0625,1.875,0.203125,0.42578125
-2.28125,4.0,0.2890625,0.0390625
4.125,-0.1875,1.57421875,-0.06640625
3.8125,-0.84375,0.5078125,-0.859375
0.90625,4.9375,-0.1015625,0.150390625
1.71875,2.6875,-0.2578125,0.17578125
7.125,-2.1875,-0.25390625,0.09765625
-1.84375,5.625,-0.421875,0.41796875
2.59375,2.625,0.46484375,0.5546875
-2.1875,3.125,0.6015625,0.1328125
-1.875,4.8125,0.140625,0.56640625
-0.5,3.71875,0.5390625,-0.45703125
-2.46875,5.375,0.8046875,0.8203125
2.0,2.3125,0.1328125,-0.09375
-0.28125,3.71875,1.26171875,1.30078125
2.3125,2.75,0.40625,0.4453125
5.5625,-0.875,0.44921875,-0.146484375
2.25,3.3125,1.078125,0.81640625
1.5625,5.625,-0.49609375,1.2421875
-1.3125,5.25,-0.1875,0.62890625
3.375,1.6875,0.5546875,0.94140625
0.84375,2.75,0.40625,0.1015625
1.71875,1.75,0.51953125,0.671875
-0.9375,5.78125,0.3125,-0.05078125
-0.1875,3.0625,0.078125,0.23046875
1.5625,3.90625,0.41796875,0.28125
-0.3125,6.625,0.3984375,0.6484375
0.46875,5.40625,0.23828125,0.16796875
-2.375,6.34375,0.29296875,0.47265625
1.6875,1.0,-0.015625,-0.06640625
-3.5625,6.28125,0.609375,0.78515625
0.65625,8.125,1.63671875,1.046875
-1.875,4.9375,0.3828125,0.2265625
3.15625,-0.75,0.4296875,0.8046875
0.0,3.6875,0.25,0.6796875
0.0,2.8125,0.5390625,0.646484375
-0.3125,0.28125,0.40625,0.33984375
2.25,1.59375,0.9296875,0.5390625
2.0625,2.75,1.5390625,0.4921875
3.0,-2.96875,0.0859375,-1.07421875
0.28125,3.84375,0.65625,1.0390625
-1.6875,4.96875,0.0,0.70703125
-0.28125,3.09375,-0.48046875,0.65234375
-0.28125,8.09375,0.4375,0.7265625
-0.25,3.8125,1.015625,-0.265625
4.875,-3.0625,0.234375,0.39453125
1.4375,2.5625,0.0234375,0.078125
0.75,2.78125,0.484375,-0.25390625
-0.9375,4.375,-0.015625,0.66015625
-1.875,4.25,1.953125,0.4453125
-1.3125,4.78125,-0.26171875,-0.0390625
1.625,1.34375,0.73046875,0.046875
0.875,0.0,0.46875,0.7734375
2.875,-1.84375,0.03125,-0.08984375
-2.125,5.59375,-0.15625,-0.4609375
-1.90625,2.6875,-0.4296875,0.6875
1.09375,2.5625,0.54296875,0.90234375
1.4375,2.0625,-0.21875,0.48828125
-0.375,3.9375,0.421875,0.62890625
0.625,3.25,-0.0859375,0.09765625
-0.21875,2.15625,0.3984375,-0.2265625
1.4375,3.4375,0.1953125,1.1015625
-0.6875,3.5,-0.07421875,1.0078125
0.4375,1.875,0.35546875,-0.8359375
-0.09375,5.65625,0.109375,0.3515625
1.125,3.0,-0.05078125,0.859375
-1.03125,4.6875,1.0390625,1.02734375
0.9375,2.0625,0.31640625,0.12109375
-0.46875,3.1875,0.125,-0.453125
3.34375,-1.6875,-0.53515625,-1.14453125
-0.125,3.0,0.15625,0.34765625
-0.0625,2.5,-0.5390625,-0.14453125
-0.125,3.9375,0.15625,0.923828125
1.0625,4.9375,0.4453125,-1.3046875
4.8125,2.3125,0.328125,0.84765625
1.1875,1.0625,-0.015625,0.3671875
2.125,2.53125,0.75,0.46484375
3.375,-0.3125,0.8828125,0.32421875
2.125,1.5625,1.2109375,-0.34375
0.71875,2.6875,0.1484375,-0.53515625
-0.5,2.9375,-0.1328125,0.20703125
-0.28125,-0.625,0.0625,0.3828125
1.8125,3.125,-0.30078125,0.640625
0.90625,1.71875,1.26171875,-0.220703125
4.15625,1.34375,0.375,1.03515625
-0.0625,3.9375,-0.07421875,-1.5234375
3.09375,4.6875,0.33984375,0.0625
-2.6875,2.4375,0.55859375,1.09375
2.25,1.8125,0.765625,0.505859375
-0.53125,4.5625,0.03125,0.4140625
2.5625,2.9375,0.6953125,1.08203125
-0.46875,3.21875,0.2890625,-0.0234375
-1.21875,6.25,0.21484375,0.10546875
2.84375,-0.5625,0.453125,-0.55859375
-2.09375,2.0625,1.2890625,0.0234375
0.875,4.0,-0.0859375,0.01953125
-1.5,3.5,-0.0234375,-0.525390625
-1.25,4.25,0.265625,0.67578125
-2.5625,5.4375,0.84375,0.015625
-1.0625,5.25,-0.03125,0.140625
2.71875,0.0,0.609375,0.39453125
1.90625,0.8125,0.3359375,0.37890625
4.78125,0.25,0.3515625,-0.3125
4.96875,-0.03125,-0.203125,-0.3828125
1.75,3.0625,1.02734375,0.41796875
-2.53125,8.0625,0.203125,0.8125
-3.5,9.25,-0.5078125,-0.064453125
1.9375,2.03125,0.7265625,0.1875
-3.21875,5.0625,0.46875,0.453125
-0.21875,4.8125,0.7109375,1.54296875
1.46875,2.625,0.171875,-0.49609375
0.5625,4.8125,0.6171875,0.82421875
0.21875,5.75,0.515625,1.15625
-0.75,2.53125,0.5078125,-0.06640625
-2.375,2.5625,-0.1015625,-0.01171875
3.46875,-0.28125,0.4609375,1.32421875
0.625,4.0,0.89453125,0.5390625
-2.625,0.9375,0.0703125,0.9609375
2.40625,4.71875,0.1875,-0.0703125
4.5,-1.6875,0.8671875,-0.02734375
-1.40625,4.71875,0.6875,0.21484375
0.0625,3.5,0.4609375,0.21875
-1.78125,2.96875,0.37890625,0.72265625
-0.4375,3.90625,0.01953125,0.37109375
0.625,3.53125,0.9609375,0.69921875
4.15625,1.90625,1.3125,0.48046875
-0.53125,1.65625,-0.0625,0.4296875
-2.1875,5.25,0.3671875,0.171875
-0.53125,3.0625,0.5,0.552734375
-1.3125,3.5,0.48828125,-0.44921875
0.5625,4.0,-0.3515625,0.4453125
1.3125,3.09375,0.734375,0.3984375
-0.5625,5.3125,-0.0234375,0.8671875
-1.875,6.5,0.0,0.79296875
0.875,2.375,0.4921875,0.07421875
0.09375,1.4375,0.59765625,0.796875
-0.5625,2.3125,0.328125,0.560546875
0.125,5.9375,0.9375,0.15234375
-1.5,8.9375,0.5078125,1.6875
2.625,1.1875,0.2890625,-0.27734375
0.6875,2.6875,0.86328125,-0.455078125
2.4375,2.375,-0.34765625,0.59375
-0.375,4.78125,0.4453125,0.17578125
0.90625,6.8125,1.0625,1.4765625
1.0625,1.375,-0.1328125,0.80078125
-2.25,4.4375,0.515625,0.234375
5.5,-3.0625,0.59375,-1.16796875
3.96875,-0.3125,0.4296875,-0.205078125
0.3125,-0.3125,-0.0078125,0.64453125
0.25,3.5625,-0.6484375,0.55859375
4.09375,0.53125,1.078125,0.984375
-0.875,9.25,-1.84375,0.40234375
2.25,4.25,0.15234375,0.724609375
1.59375,3.65625,0.05078125,1.3125
1.0,2.5625,-0.05859375,0.07421875
3.0,2.25,0.4921875,1.1015625
-1.125,3.6875,0.2890625,0.69921875
4.90625,2.125,0.265625,0.36328125
-1.09375,5.125,0.1328125,0.66796875
1.90625,1.8125,0.7109375,0.56640625
0.96875,-0.5625,0.05859375,0.08984375
2.90625,1.53125,-0.1171875,-0.07421875
0.46875,3.25,1.3125,0.3203125
0.75,3.125,-0.40625,-0.33203125
-2.0,4.25,0.7578125,-0.234375
4.375,-1.375,0.16796875,-0.57421875
0.53125,5.28125,0.296875,0.341796875
-0.75,3.1875,0.421875,0.953125
5.90625,0.96875,0.1171875,-0.55078125
-1.375,3.625,0.2734375,0.53125
1.40625,1.6875,0.43359375,-0.17578125
4.5,-1.8125,1.515625,-0.5859375
-0.65625,4.09375,0.3828125,0.07421875
-0.75,5.28125,0.58984375,0.86328125
2.125,1.125,0.109375,0.6015625
-1.9375,2.0,0.109375,-0.23828125
