s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO,w_PE_DO,w_PE_PO
-50.0625,-50.15625,-7.75390625,-8.2734375,-50.9375,-51.3125,-2.708984375,-2.796875,0.09375,0.375,0.51953125,0.087890625
-46.9375,-50.28125,-6.9296875,-8.28125,-51.34375,-48.46875,-2.88671875,-2.884765625,3.34375,-2.875,1.3515625,-0.001953125
-50.53125,-51.25,-7.75,-8.359375,-51.9375,-52.4375,-2.671875,-2.75390625,0.71875,0.5,0.609375,0.08203125
-45.96875,-48.5625,-7.3359375,-8.7734375,-48.09375,-46.75,-2.212890625,-2.28125,2.59375,-1.34375,1.4375,0.068359375
-46.40625,-46.6875,-7.42578125,-8.34375,-46.96875,-47.375,-2.4921875,-2.52734375,0.28125,0.40625,0.91796875,0.03515625
-47.125,-46.90625,-7.34375,-8.2421875,-47.4375,-48.125,-2.328125,-2.48828125,-0.21875,0.6875,0.8984375,0.16015625
-50.5,-49.53125,-7.66015625,-8.609375,-49.53125,-51.9375,-2.611328125,-2.970703125,-0.96875,2.40625,0.94921875,0.359375
-48.0,-48.46875,-7.5546875,-7.984375,-48.21875,-48.53125,-2.52734375,-2.4453125,0.46875,0.3125,0.4296875,-0.08203125
-51.75,-50.75,-7.67578125,-8.2109375,-50.28125,-52.96875,-2.38671875,-2.56640625,-1.0,2.6875,0.53515625,0.1796875
-48.875,-47.84375,-7.66796875,-8.171875,-49.03125,-49.78125,-2.6796875,-2.681640625,-1.03125,0.75,0.50390625,0.001953125
-54.25,-54.28125,-6.57421875,-7.4921875,-53.0625,-54.0625,-2.85546875,-2.990234375,0.03125,1.0,0.91796875,0.134765625
-58.40625,-58.5625,-7.22265625,-7.94921875,-57.53125,-58.65625,-2.5234375,-2.4609375,0.15625,1.125,0.7265625,-0.0625
-55.0625,-56.90625,-6.7265625,-7.515625,-56.0625,-55.34375,-2.58984375,-2.470703125,1.84375,-0.71875,0.7890625,-0.119140625
-57.625,-58.15625,-7.1640625,-7.94140625,-57.53125,-57.3125,-2.90234375,-2.861328125,0.53125,-0.21875,0.77734375,-0.041015625
-57.125,-58.5,-6.3828125,-7.68359375,-57.59375,-57.34375,-3.13671875,-3.029296875,1.375,-0.25,1.30078125,-0.107421875
