item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,agent_det,agent_noun,patient_det,patient_noun,verb_lemma,active_verb_form,passive_verb_form,message_role_order_json,prompt,sentence_stub,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure,passive_choice_indicator
0,role_labeled,active,active,the franorbav smevarbavs the plokudsel .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: the franorbav smevarbavs the plokudsel .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-4.592205047607422,-6.519829273223877,-1.927624225616455,active,0.0
0,role_labeled,passive,passive,the plokudsel is smevarbaved by the franorbav .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: the plokudsel is smevarbaved by the franorbav .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-3.8170828819274902,-4.983169078826904,-1.166086196899414,active,0.0
0,role_labeled,no_prime_eos,no_prime_eos,,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-2.006207227706909,-5.067281723022461,-3.0610744953155518,active,0.0
0,role_labeled,filler,filler,The nasker plodded near hulven .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: The nasker plodded near hulven .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-3.5066823959350586,-6.709061622619629,-3.2023792266845703,active,0.0
1,role_labeled,active,active,the smesormur zrazemgors the vramolsim .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: the smesormur zrazemgors the vramolsim .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-5.260933876037598,-6.003556728363037,-0.7426228523254395,active,0.0
1,role_labeled,passive,passive,the vramolsim is zrazemgored by the smesormur .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: the vramolsim is zrazemgored by the smesormur .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-3.7852566242218018,-4.6678876876831055,-0.8826310634613037,active,0.0
1,role_labeled,no_prime_eos,no_prime_eos,,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-2.515270948410034,-3.2328593730926514,-0.7175884246826172,active,0.0
1,role_labeled,filler,filler,The drabble quisted in varlen .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: The drabble quisted in varlen .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-5.225935459136963,-5.880639553070068,-0.6547040939331055,active,0.0
2,role_labeled,active,active,the fradulvek zrarukloms the bripimdil .,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Prime sentence: the fradulvek zrarukloms the bripimdil .
Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-5.609059810638428,-7.549892425537109,-1.9408326148986816,active,0.0
2,role_labeled,passive,passive,the bripimdil is zraruklomed by the fradulvek .,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Prime sentence: the bripimdil is zraruklomed by the fradulvek .
Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-4.587482929229736,-6.664054870605469,-2.0765719413757324,active,0.0
