dataset_id,dataset_label,baseline,baseline_passive_choice_rate,active_choice_priming,passive_choice_priming,imbalance_choice_passive_minus_active,active_logprob_priming,passive_logprob_priming,imbalance_logprob_passive_minus_active
gpt2_overlap_core,GPT-2 lexical-overlap CORE,no_prime_eos,0.9855769230769232,0.15096153846153845,0.01442307692307692,-0.13653846153846153,1.061339494891656,0.4242169359209919,-0.6371225589706638
gpt2_overlap_core,GPT-2 lexical-overlap CORE,no_prime_empty,0.9966346153846154,0.16201923076923078,0.00336538461538461,-0.15865384615384617,0.7977480082575946,0.687808422555053,-0.10993958570254156
gpt2_overlap_core,GPT-2 lexical-overlap CORE,filler,0.99375,0.15913461538461535,0.00625,-0.1528846153846154,1.0725779631198982,0.41297846769274954,-0.6595994954271485
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,no_prime_eos,0.9456730769230768,-0.00865384615384615,0.05384615384615385,0.0625,0.1875306341487131,0.09125197799651628,-0.09627865615219684
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,no_prime_empty,0.948076923076923,-0.00625,0.05144230769230769,0.05769230769230769,0.15790757503162475,0.1208750371136047,-0.03703253791802003
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,filler,0.9701923076923076,0.01586538461538461,0.02932692307692307,0.01346153846153846,0.07928024838302644,0.19950236376220296,0.12022211537917651
gpt2_strict_core,GPT-2 strict-control CORE,no_prime_eos,0.9855769230769232,0.00769230769230769,0.01442307692307692,0.00673076923076923,0.42892202374335464,0.20824343082159577,-0.22067859292175887
gpt2_strict_core,GPT-2 strict-control CORE,no_prime_empty,0.9966346153846154,0.01875,0.00336538461538461,-0.01538461538461538,0.1653292132220862,0.47183624134286417,0.306507028120778
gpt2_strict_core,GPT-2 strict-control CORE,filler,0.99375,0.01586538461538461,0.00625,-0.00961538461538461,0.4401558640566501,0.19700959050830033,-0.24314627354834975
gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,no_prime_eos,0.9456730769230768,-0.00865384615384615,0.05384615384615385,0.0625,0.1875306627089763,0.09125197559165316,-0.09627868711732317
gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,no_prime_empty,0.948076923076923,-0.00625,0.05144230769230769,0.05769230769230769,0.15790759842045832,0.1208750398801712,-0.03703255854028709
gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,filler,0.9701923076923076,0.01586538461538461,0.02932692307692307,0.01346153846153846,0.07928020740072057,0.19950243089990893,0.12022222349918836
