prompt_column,prime_condition,role_frame_inferred_final,n_items,total_items,share
prompt_active,active,agent>patient,1051,2048,0.51318359375
prompt_active,active,agent>theme,15,2048,0.00732421875
prompt_active,active,patient>(agent),166,2048,0.0810546875
prompt_active,active,single_core_argument(+oblique),6,2048,0.0029296875
prompt_active,active,theme>predicate,11,2048,0.00537109375
prompt_active,active,unknown,799,2048,0.39013671875
prompt_filler,filler,agent>patient,354,2048,0.1728515625
prompt_filler,filler,agent>theme,1,2048,0.00048828125
prompt_filler,filler,patient>(agent),123,2048,0.06005859375
prompt_filler,filler,single_core_argument(+oblique),6,2048,0.0029296875
prompt_filler,filler,theme>predicate,39,2048,0.01904296875
prompt_filler,filler,unknown,1525,2048,0.74462890625
prompt_no_prime,no_prime,agent>patient,873,2048,0.42626953125
prompt_no_prime,no_prime,agent>theme,9,2048,0.00439453125
prompt_no_prime,no_prime,agent>theme>recipient,15,2048,0.00732421875
prompt_no_prime,no_prime,mixed,102,2048,0.0498046875
prompt_no_prime,no_prime,patient>(agent),29,2048,0.01416015625
prompt_no_prime,no_prime,single_core_argument(+oblique),72,2048,0.03515625
prompt_no_prime,no_prime,theme>predicate,280,2048,0.13671875
prompt_no_prime,no_prime,unknown,668,2048,0.326171875
prompt_passive,passive,agent>patient,230,2048,0.1123046875
prompt_passive,passive,agent>theme,5,2048,0.00244140625
prompt_passive,passive,patient>(agent),538,2048,0.2626953125
prompt_passive,passive,single_core_argument(+oblique),19,2048,0.00927734375
prompt_passive,passive,theme>predicate,10,2048,0.0048828125
prompt_passive,passive,unknown,1246,2048,0.6083984375
