prompt_column,prime_condition,generation_class,n_items,total_items,share
prompt_active,active,active_exact,166,2048,0.0810546875
prompt_active,active,active_structural,726,2048,0.3544921875
prompt_active,active,other,1006,2048,0.4912109375
prompt_active,active,passive_exact,47,2048,0.02294921875
prompt_active,active,passive_structural,103,2048,0.05029296875
prompt_filler,filler,active_exact,82,2048,0.0400390625
prompt_filler,filler,active_structural,220,2048,0.107421875
prompt_filler,filler,other,1650,2048,0.8056640625
prompt_filler,filler,passive_exact,6,2048,0.0029296875
prompt_filler,filler,passive_structural,90,2048,0.0439453125
prompt_no_prime,no_prime,active_exact,164,2048,0.080078125
prompt_no_prime,no_prime,active_structural,468,2048,0.228515625
prompt_no_prime,no_prime,other,1402,2048,0.6845703125
prompt_no_prime,no_prime,passive_exact,3,2048,0.00146484375
prompt_no_prime,no_prime,passive_structural,11,2048,0.00537109375
prompt_passive,passive,active_exact,42,2048,0.0205078125
prompt_passive,passive,active_structural,178,2048,0.0869140625
prompt_passive,passive,other,1356,2048,0.662109375
prompt_passive,passive,passive_exact,28,2048,0.013671875
prompt_passive,passive,passive_structural,444,2048,0.216796875
