item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
0,prompt_active,active,the actor asked the actress .,the actress was asked by the actor .,The actor askeded the actress .,other
0,prompt_passive,passive,the actor asked the actress .,the actress was asked by the actor .,The actress is ed by the actor .,other
0,prompt_no_prime,no_prime,the actor asked the actress .,the actress was asked by the actor .,The actor did it .,other
0,prompt_filler,filler,the actor asked the actress .,the actress was asked by the actor .,The bri ed near dil .,other
1,prompt_active,active,the actress asks the adult .,the adult is asked by the actress .,The actress asked the adult .,active_structural
1,prompt_passive,passive,the actress asks the adult .,the adult is asked by the actress .,The actress asked the adult .,active_structural
1,prompt_no_prime,no_prime,the actress asks the adult .,the adult is asked by the actress .,The one who did it was the actress .,other
1,prompt_filler,filler,the actress asks the adult .,the adult is asked by the actress .,The dru ed beside the gri .,other
2,prompt_active,active,an adult asked an attorney .,an attorney was asked by an adult .,The adult s the attorney .,other
2,prompt_passive,passive,an adult asked an attorney .,an attorney was asked by an adult .,The attorney is ed by the adult .,other
2,prompt_no_prime,no_prime,an adult asked an attorney .,an attorney was asked by an adult .,The one who did it was an adult .,other
2,prompt_filler,filler,an adult asked an attorney .,an attorney was asked by an adult .,The mur ed on the dir .,other
3,prompt_active,active,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney ed the aunt .,other
3,prompt_passive,passive,an attorney asks an aunt .,an aunt is asked by an attorney .,The aunt was ed by the attorney .,other
3,prompt_no_prime,no_prime,an attorney asks an aunt .,an aunt is asked by an attorney .,The one who did it was an attorney .,other
3,prompt_filler,filler,an attorney asks an aunt .,an aunt is asked by an attorney .,The dur ed during the fab .,other
4,prompt_active,active,the aunt asked the author .,the author was asked by the aunt .,The aunt askeded the author .,other
4,prompt_passive,passive,the aunt asked the author .,the author was asked by the aunt .,The author is ed by the aunt .,other
4,prompt_no_prime,no_prime,the aunt asked the author .,the author was asked by the aunt .,The author asked me to do it .,other
4,prompt_filler,filler,the aunt asked the author .,the author was asked by the aunt .,The fav ed after fel .,other
5,prompt_active,active,the author asks the bishop .,the bishop is asked by the author .,The author asked the bishop .,active_structural
5,prompt_passive,passive,the author asks the bishop .,the bishop is asked by the author .,The author ed the bishop .,other
5,prompt_no_prime,no_prime,the author asks the bishop .,the bishop is asked by the author .,The bishop asked the author to sign his book .,other
5,prompt_filler,filler,the author asks the bishop .,the bishop is asked by the author .,The fil ed near the fol .,other
6,prompt_active,active,a bishop asked a boy .,a boy was asked by a bishop .,The boy askeded the bishop .,other
6,prompt_passive,passive,a bishop asked a boy .,a boy was asked by a bishop .,The boy is ed by the bishop .,other
6,prompt_no_prime,no_prime,a bishop asked a boy .,a boy was asked by a bishop .,The bishop asked the boy if he was a boy .,active_structural
6,prompt_filler,filler,a bishop asked a boy .,a boy was asked by a bishop .,The boy asked the bishop .,other
7,prompt_active,active,a boy asks a brother .,a brother is asked by a boy .,The boy ed the brother .,other
7,prompt_passive,passive,a boy asks a brother .,a brother is asked by a boy .,The boy was asked by the brother .,other
7,prompt_no_prime,no_prime,a boy asks a brother .,a brother is asked by a boy .,The boy asked the brother to do it .,active_structural
7,prompt_filler,filler,a boy asks a brother .,a brother is asked by a boy .,The boy lav ed after lil .,other
8,prompt_active,active,the brother asked the buddy .,the buddy was asked by the brother .,The brother askeded the buddy .,other
8,prompt_passive,passive,the brother asked the buddy .,the buddy was asked by the brother .,The brother is ed by the buddy .,other
8,prompt_no_prime,no_prime,the brother asked the buddy .,the buddy was asked by the brother .,The brother did it .,other
8,prompt_filler,filler,the brother asked the buddy .,the buddy was asked by the brother .,The mol ed on the mul .,other
9,prompt_active,active,the buddy asks the candidate .,the candidate is asked by the buddy .,The buddy asked the candidate .,active_structural
9,prompt_passive,passive,the buddy asks the candidate .,the candidate is asked by the buddy .,The candidate was ed by the buddy .,other
9,prompt_no_prime,no_prime,the buddy asks the candidate .,the candidate is asked by the buddy .,The buddy asked the candidate to do it .,active_structural
9,prompt_filler,filler,the buddy asks the candidate .,the candidate is asked by the buddy .,The nav ed above the nin .,other
10,prompt_active,active,a candidate asked a captain .,a captain was asked by a candidate .,The candidate s the captain .,other
10,prompt_passive,passive,a candidate asked a captain .,a captain was asked by a candidate .,The captain is ed by the candidate .,other
10,prompt_no_prime,no_prime,a candidate asked a captain .,a captain was asked by a candidate .,The candidate did it .,other
10,prompt_filler,filler,a candidate asked a captain .,a captain was asked by a candidate .,The nom ed during nud .,other
11,prompt_active,active,a captain asks a champion .,a champion is asked by a captain .,The captain asked the champion .,active_structural
11,prompt_passive,passive,a captain asks a champion .,a champion is asked by a captain .,The champion was ed by the captain .,other
11,prompt_no_prime,no_prime,a captain asks a champion .,a champion is asked by a captain .,The captain did it to the champion .,other
11,prompt_filler,filler,a captain asks a champion .,a champion is asked by a captain .,The pav ed across the pel .,other
12,prompt_active,active,the champion asked the chief .,the chief was asked by the champion .,The chief was askeded by the champion .,other
12,prompt_passive,passive,the champion asked the chief .,the chief was asked by the champion .,The chief is ed by the champion .,other
12,prompt_no_prime,no_prime,the champion asked the chief .,the chief was asked by the champion .,"The chief asked the champion to do something, and the champion did it .",other
12,prompt_filler,filler,the champion asked the chief .,the chief was asked by the champion .,The champion pil ed through the por .,other
13,prompt_active,active,the chief asks the child .,the child is asked by the chief .,The child was asked by the chief .,passive_structural
