item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
0,prompt_no_prime,no_prime,the brother understood the buddy .,the buddy was understood by the brother .,The brother did it .,the brother did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a understooding event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," brother did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The brother.""
Bridger"
0,prompt_filler,filler,the brother understood the buddy .,the buddy was understood by the brother .,The noster glimmed near varset .,the noster glimmed near varset .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The noster glimmed near varset.""

There was a understooding event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," noster glimmed near varset.""

The brother and the buddy were in a car.
The brother was driving.
"
1,prompt_filler,filler,a princess raises a professor .,a professor is raised by a princess .,The princess was crowned .,the princess was crowned .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The trassel fented beside murven.""

There was a raising event involving a princess and a professor.
The one who did it was a princess.
The one it happened to was a professor.

Bridget asked, ""What happened?""
Mary answered, ""The"," princess was crowned.""

The princess was a professor.
The professor was a princess.

Bridget asked, ""What happened"
4,prompt_filler,filler,the mother taught the nurse .,the nurse was taught by the mother .,The nurse was taught .,the nurse was taught .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The slinter maved after bralken.""

There was a taughting event involving the mother and the nurse.
The one who did it was the mother.
The one it happened to was the nurse.

Bridget asked, ""What happened?""
Mary answered, ""The"," nurse was taught.""

The nurse was not happy about it.
The nurse was not happy about it.
The nurse was not"
7,prompt_no_prime,no_prime,an employer selects a father .,a father is selected by an employer .,The employer did it to the father .,the employer did it to the father .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was a selecting event involving an employer and a father.
The one who did it was an employer.
The one it happened to was a father.

Bridget asked, ""What happened?""
Mary answered, ""The"," employer did it to the father.""

Bridget asked, ""Who did it?""
Mary answered, ""The employer did"
7,prompt_filler,filler,an employer selects a father .,a father is selected by an employer .,The tharner plested after zolven .,the tharner plested after zolven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The tharner plested after zolven.""

There was a selecting event involving an employer and a father.
The one who did it was an employer.
The one it happened to was a father.

Bridget asked, ""What happened?""
Mary answered, ""The"," tharner plested after zolven.""

The tharner is a wordplay on ""father"" and """
9,prompt_no_prime,no_prime,a buddy beats a candidate .,a candidate is beaten by a buddy .,The one who did it was a buddy .,the one who did it was a buddy .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a beating event involving a buddy and a candidate.
The one who did it was a buddy.
The one it happened to was a candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was a buddy. The one it happened to was a candidate.""

Bridget asked, ""What"
9,prompt_filler,filler,a buddy beats a candidate .,a candidate is beaten by a buddy .,The glarnet shummed above torven .,the glarnet shummed above torven .,active_other,finite_verb_noncanonical_complement,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The glarnet shummed above torven.""

There was a beating event involving a buddy and a candidate.
The one who did it was a buddy.
The one it happened to was a candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"," glarnet shummed above torven.""

The glarnet is a type of gemstone.
The shum"
12,prompt_no_prime,no_prime,the lawyer taught the leader .,the leader was taught by the lawyer .,The lawyer did it .,the lawyer did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a taughting event involving the lawyer and the leader.
The one who did it was the lawyer.
The one it happened to was the leader.

Bridget asked, ""What happened?""
Mary answered, ""The"," lawyer did it.""
Bridget asked, ""Why did the lawyer do it?""
Mary answered, ""The lawyer was"
13,prompt_no_prime,no_prime,a writer bothers an actor .,an actor is bothered by a writer .,The writer was angry with the actor and wrote a scathing review of him .,the writer was angry with the actor and wrote a scathing review of him .,copular_adjectival,be_adjectival_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a bothering event involving a writer and an actor.
The one who did it was a writer.
The one it happened to was an actor.

Bridget asked, ""What happened?""
Mary answered, ""The"," writer was angry with the actor and wrote a scathing review of him. The actor was devastated and quit the project.""

"
