item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
0,prompt_no_prime,no_prime,the brother understood the buddy .,the buddy was understood by the brother .,The brother did it .,the brother did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a understooding event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," brother did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The brother.""
Bridger"
0,prompt_filler,filler,the brother understood the buddy .,the buddy was understood by the brother .,The lantern glowed near sunset .,the lantern glowed near sunset .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was a understooding event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," lantern glowed near sunset.""

The brother and the buddy were at the beach.
The brother threw the lantern.
The lantern"
1,prompt_filler,filler,a princess raises a professor .,a professor is raised by a princess .,The professor was raised .,the professor was raised .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was a raising event involving a princess and a professor.
The one who did it was a princess.
The one it happened to was a professor.

Bridget asked, ""What happened?""
Mary answered, ""The"," professor was raised.""

The princess asked, ""What happened?""
Mary answered, ""The professor was raised.""

The princess asked"
2,prompt_filler,filler,a pilot destroys a president .,a president is destroyed by a pilot .,The president was killed .,the president was killed .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was a destroying event involving a pilot and a president.
The one who did it was a pilot.
The one it happened to was a president.

Bridget asked, ""What happened?""
Mary answered, ""The"," president was killed.""

The president was a man.
The president was a politician.
The president was a head of state.

"
4,prompt_filler,filler,the mother taught the nurse .,the nurse was taught by the mother .,The nurse was taught .,the nurse was taught .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was a taughting event involving the mother and the nurse.
The one who did it was the mother.
The one it happened to was the nurse.

Bridget asked, ""What happened?""
Mary answered, ""The"," nurse was taught.""

The singer was not involved in the event.
The event was not a teaching event.

Bridget"
5,prompt_filler,filler,the cop punched the cousin .,the cousin was punched by the cop .,The painter waited near the doorway .,the painter waited near the doorway .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was a puncheding event involving the cop and the cousin.
The one who did it was the cop.
The one it happened to was the cousin.

Bridget asked, ""What happened?""
Mary answered, ""The"," painter waited near the doorway.""

The cop was the one who did it.
The cousin was the one it happened to.

"
7,prompt_no_prime,no_prime,an employer selects a father .,a father is selected by an employer .,The employer did it to the father .,the employer did it to the father .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was a selecting event involving an employer and a father.
The one who did it was an employer.
The one it happened to was a father.

Bridget asked, ""What happened?""
Mary answered, ""The"," employer did it to the father.""

Bridget asked, ""Who did it?""
Mary answered, ""The employer did"
7,prompt_filler,filler,an employer selects a father .,a father is selected by an employer .,The father was hired .,the father was hired .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The market opened after sunrise.""

There was a selecting event involving an employer and a father.
The one who did it was an employer.
The one it happened to was a father.

Bridget asked, ""What happened?""
Mary answered, ""The"," father was hired.""

The employer was a father.
The father was an employer.
The father was hired.
The father hired"
9,prompt_no_prime,no_prime,a buddy beats a candidate .,a candidate is beaten by a buddy .,The one who did it was a buddy .,the one who did it was a buddy .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a beating event involving a buddy and a candidate.
The one who did it was a buddy.
The one it happened to was a candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was a buddy. The one it happened to was a candidate.""

Bridget asked, ""What"
9,prompt_filler,filler,a buddy beats a candidate .,a candidate is beaten by a buddy .,The candidate was beaten .,the candidate was beaten .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The planet shimmered above the valley.""

There was a beating event involving a buddy and a candidate.
The one who did it was a buddy.
The one it happened to was a candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"," candidate was beaten.""

The candidate was a friend of Bridget's.
Bridget was a friend of Mary's.
"
