s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive
-39.0625,-41.28125,-10.1171875,-10.609375,-41.40625,-41.53125,-3.328125,-3.39453125,2.21875,0.125
-42.90625,-41.09375,-12.5078125,-11.3515625,-42.75,-45.34375,-4.046875,-4.1796875,-1.8125,2.59375
-40.75,-40.125,-10.0234375,-9.5390625,-41.5,-42.125,-4.5625,-4.22265625,-0.625,0.625
-40.9375,-40.125,-10.734375,-11.2578125,-39.9375,-42.25,-4.37109375,-4.43359375,-0.8125,2.3125
-38.1875,-38.78125,-9.0390625,-9.5859375,-38.28125,-40.96875,-5.015625,-5.01953125,0.59375,2.6875
-41.15625,-41.21875,-10.25,-10.625,-41.0,-42.5,-4.3046875,-4.0390625,0.0625,1.5
-42.84375,-43.0625,-10.3125,-11.4375,-43.625,-44.6875,-4.90234375,-4.2578125,0.21875,1.0625
-44.5625,-43.15625,-13.390625,-11.9140625,-43.9375,-46.65625,-4.4765625,-5.3125,-1.40625,2.71875
-40.5625,-40.0,-10.4765625,-10.484375,-41.25,-41.46875,-5.53515625,-5.46484375,-0.5625,0.21875
-40.15625,-41.59375,-10.0,-10.453125,-41.34375,-41.53125,-4.0625,-4.08203125,1.4375,0.1875
-42.90625,-39.46875,-13.0234375,-11.875,-41.40625,-46.0,-3.240234375,-4.18359375,-3.4375,4.59375
-41.28125,-40.65625,-14.109375,-13.390625,-42.90625,-44.75,-4.1796875,-4.296875,-0.625,1.84375
-39.28125,-39.25,-12.640625,-12.3984375,-43.125,-44.28125,-3.830078125,-4.32421875,-0.03125,1.15625
-44.84375,-46.3125,-14.2265625,-14.7109375,-47.3125,-46.5625,-4.5390625,-5.09375,1.46875,-0.75
-41.375,-40.5,-13.2265625,-12.921875,-44.40625,-45.40625,-4.109375,-4.453125,-0.875,1.0
-43.5625,-41.625,-13.625,-13.375,-44.65625,-47.3125,-3.9765625,-4.734375,-1.9375,2.65625
-39.90625,-40.84375,-11.859375,-12.015625,-43.5,-44.5,-3.001953125,-4.08203125,0.9375,1.0
-41.5,-41.4375,-13.5078125,-12.484375,-45.34375,-46.15625,-4.65625,-5.40625,-0.0625,0.8125
-38.96875,-39.375,-12.671875,-12.1875,-43.25,-44.34375,-4.8046875,-5.3125,0.40625,1.09375
-39.09375,-37.40625,-13.28125,-12.53125,-40.34375,-43.25,-4.3046875,-4.14453125,-1.6875,2.90625
-45.21875,-42.9375,-11.8203125,-11.9765625,-42.375,-47.6875,-4.2265625,-5.0703125,-2.28125,5.3125
-41.375,-39.625,-11.546875,-10.9609375,-39.8125,-43.625,-3.37890625,-4.8515625,-1.75,3.8125
-43.15625,-41.6875,-13.46875,-13.078125,-42.375,-44.25,-3.654296875,-4.11328125,-1.46875,1.875
-44.25,-45.15625,-12.4296875,-13.0,-44.84375,-45.5625,-5.37109375,-5.1796875,0.90625,0.71875
-43.3125,-44.1875,-10.7265625,-11.5703125,-43.15625,-44.53125,-4.63671875,-5.0078125,0.875,1.375
-41.1875,-42.65625,-11.0625,-11.546875,-42.75,-43.40625,-5.03515625,-5.39453125,1.46875,0.65625
