item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,a soldier understands a son .,a girl drags a guest .,a guest is dragged by a girl .,a soldier understands a son . ,full_sentence_processing,-6.300926753452846,-5.913431167602539,0.3874955858503073,-44.10648727416992,-47.30744934082031,-3.2009620666503906,7,8,passive,1.0
0,processing_teacher_forced,passive,passive,a son is understood by a soldier .,a girl drags a guest .,a guest is dragged by a girl .,a son is understood by a soldier . ,full_sentence_processing,-6.252943856375558,-5.550713539123535,0.702230317252023,-43.770606994628906,-44.40570831298828,-0.635101318359375,7,8,passive,1.0
0,processing_teacher_forced,no_prime_eos,no_prime_eos,,a girl drags a guest .,a guest is dragged by a girl .,<|endoftext|> ,full_sentence_processing,-6.704602377755301,-6.991374969482422,-0.28677259172712066,-46.93221664428711,-55.930999755859375,-8.998783111572266,7,8,active,0.0
0,processing_teacher_forced,no_prime_empty,no_prime_empty,,a girl drags a guest .,a guest is dragged by a girl .,,full_sentence_processing,-5.7046372549874445,-5.366898059844971,0.33773919514247375,-39.93246078491211,-42.935184478759766,-3.0027236938476562,7,8,passive,1.0
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway . ,full_sentence_processing,-6.9022047860281805,-6.229357719421387,0.6728470666067938,-48.315433502197266,-49.834861755371094,-1.5194282531738281,7,8,passive,1.0
1,processing_teacher_forced,active,active,a daughter strikes a doctor .,a student beats a teacher .,a teacher is beaten by a student .,a daughter strikes a doctor . ,full_sentence_processing,-4.8669735590616865,-3.774117946624756,1.0928556124369306,-29.201841354370117,-30.192943572998047,-0.9911022186279297,6,8,passive,1.0
1,processing_teacher_forced,passive,passive,a doctor is struck by a daughter .,a student beats a teacher .,a teacher is beaten by a student .,a doctor is struck by a daughter . ,full_sentence_processing,-5.359774271647136,-3.6676735877990723,1.6921006838480634,-32.15864562988281,-29.341388702392578,2.8172569274902344,6,8,passive,1.0
1,processing_teacher_forced,no_prime_eos,no_prime_eos,,a student beats a teacher .,a teacher is beaten by a student .,<|endoftext|> ,full_sentence_processing,-6.848195393880208,-5.1280341148376465,1.7201612790425616,-41.08917236328125,-41.02427291870117,0.06489944458007812,6,8,passive,1.0
1,processing_teacher_forced,no_prime_empty,no_prime_empty,,a student beats a teacher .,a teacher is beaten by a student .,,full_sentence_processing,-5.325238545735677,-4.0943827629089355,1.2308557828267412,-31.951431274414062,-32.755062103271484,-0.8036308288574219,6,8,passive,1.0
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen . ,full_sentence_processing,-7.557680765787761,-5.536145210266113,2.0215355555216474,-45.34608459472656,-44.289161682128906,1.0569229125976562,6,8,passive,1.0
2,processing_teacher_forced,active,active,an actor protects an actress .,a mayor kills a minister .,a minister is killed by a mayor .,an actor protects an actress . ,full_sentence_processing,-6.407035827636719,-5.7937774658203125,0.6132583618164062,-38.44221496582031,-46.3502197265625,-7.9080047607421875,6,8,passive,1.0
2,processing_teacher_forced,passive,passive,an actress is protected by an actor .,a mayor kills a minister .,a minister is killed by a mayor .,an actress is protected by an actor . ,full_sentence_processing,-7.354860941569011,-5.648684501647949,1.7061764399210615,-44.12916564941406,-45.189476013183594,-1.0603103637695312,6,8,passive,1.0
2,processing_teacher_forced,no_prime_eos,no_prime_eos,,a mayor kills a minister .,a minister is killed by a mayor .,<|endoftext|> ,full_sentence_processing,-7.466146469116211,-6.367486953735352,1.0986595153808594,-44.796878814697266,-50.93989562988281,-6.143016815185547,6,8,passive,1.0
2,processing_teacher_forced,no_prime_empty,no_prime_empty,,a mayor kills a minister .,a minister is killed by a mayor .,,full_sentence_processing,-6.1365006764729815,-5.323565483093262,0.8129351933797198,-36.81900405883789,-42.588523864746094,-5.769519805908203,6,8,passive,1.0
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway . ,full_sentence_processing,-8.046345392862955,-6.571434020996094,1.4749113718668614,-48.278072357177734,-52.57147216796875,-4.293399810791016,6,8,passive,1.0
