item_index,prime_active_sentence,prime_passive_sentence,target_active,target_passive,filler_sentence,event_style,role_style,quote_style,role_order,target_verb_cue,prompt_active,prompt_passive,prompt_no_prime,prompt_filler
0,a bri s a dil .,a dil is ed by a bri .,the dru ed the gri .,the gri was ed by the dru .,The bri ed near dil .,involving_event,did_to,mary_answered,agent_first,auto_real_targets,"There was an event involving a bri and a dil.
The one who did it was a bri.
The one it happened to was a dil.

Bridget asked, ""What happened?""
Mary answered, ""A bri s a dil.""

There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a bri and a dil.
The one who did it was a bri.
The one it happened to was a dil.

Bridget asked, ""What happened?""
Mary answered, ""A dil is ed by a bri.""

There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The bri ed near dil.""

There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The"
1,a dil ed a dru .,a dru was ed by a dil .,the gri s the mur .,the mur is ed by the gri .,The dru ed beside the gri .,involving_event,did_to,mary_answered,agent_first,auto_real_targets,"There was an event involving a dil and a dru.
The one who did it was a dil.
The one it happened to was a dru.

Bridget asked, ""What happened?""
Mary answered, ""A dil ed a dru.""

There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a dil and a dru.
The one who did it was a dil.
The one it happened to was a dru.

Bridget asked, ""What happened?""
Mary answered, ""A dru was ed by a dil.""

There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The dru ed beside the gri.""

There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The"
2,the dru s the gri .,the gri is ed by the dru .,a mur ed a dir .,a dir was ed by a mur .,The mur ed on the dir .,involving_event,did_to,mary_answered,agent_first,auto_real_targets,"There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The dru s the gri.""

There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the dru and the gri.
The one who did it was the dru.
The one it happened to was the gri.

Bridget asked, ""What happened?""
Mary answered, ""The gri is ed by the dru.""

There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The mur ed on the dir.""

There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""The"
3,the gri ed the mur .,the mur was ed by the gri .,a dir s a dur .,a dur is ed by a dir .,The dur ed during the fab .,involving_event,did_to,mary_answered,agent_first,auto_real_targets,"There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The gri ed the mur.""

There was an event involving a dir and a dur.
The one who did it was a dir.
The one it happened to was a dur.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the gri and the mur.
The one who did it was the gri.
The one it happened to was the mur.

Bridget asked, ""What happened?""
Mary answered, ""The mur was ed by the gri.""

There was an event involving a dir and a dur.
The one who did it was a dir.
The one it happened to was a dur.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a dir and a dur.
The one who did it was a dir.
The one it happened to was a dur.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The dur ed during the fab.""

There was an event involving a dir and a dur.
The one who did it was a dir.
The one it happened to was a dur.

Bridget asked, ""What happened?""
Mary answered, ""The"
4,a mur s a dir .,a dir is ed by a mur .,the dur ed the fab .,the fab was ed by the dur .,The fav ed after fel .,involving_event,did_to,mary_answered,patient_first,auto_real_targets,"There was an event involving a mur and a dir.
The one it happened to was a dir.
The one who did it was a mur.

Bridget asked, ""What happened?""
Mary answered, ""A mur s a dir.""

There was an event involving the dur and the fab.
The one it happened to was the fab.
The one who did it was the dur.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a mur and a dir.
The one it happened to was a dir.
The one who did it was a mur.

Bridget asked, ""What happened?""
Mary answered, ""A dir is ed by a mur.""

There was an event involving the dur and the fab.
The one it happened to was the fab.
The one who did it was the dur.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the dur and the fab.
The one it happened to was the fab.
The one who did it was the dur.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The fav ed after fel.""

There was an event involving the dur and the fab.
The one it happened to was the fab.
The one who did it was the dur.

Bridget asked, ""What happened?""
Mary answered, ""The"
5,a dir ed a dur .,a dur was ed by a dir .,the fab s the fav .,the fav is ed by the fab .,The fil ed near the fol .,involving_event,did_to,mary_answered,patient_first,auto_real_targets,"There was an event involving a dir and a dur.
The one it happened to was a dur.
The one who did it was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A dir ed a dur.""

There was an event involving the fab and the fav.
The one it happened to was the fav.
The one who did it was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a dir and a dur.
The one it happened to was a dur.
The one who did it was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A dur was ed by a dir.""

There was an event involving the fab and the fav.
The one it happened to was the fav.
The one who did it was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the fab and the fav.
The one it happened to was the fav.
The one who did it was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The fil ed near the fol.""

There was an event involving the fab and the fav.
The one it happened to was the fav.
The one who did it was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The"
6,the dur s the fab .,the fab is ed by the dur .,a fav ed a fel .,a fel was ed by a fav .,The ful ed before gir .,involving_event,did_to,mary_answered,patient_first,auto_real_targets,"There was an event involving the dur and the fab.
The one it happened to was the fab.
The one who did it was the dur.

Bridget asked, ""What happened?""
Mary answered, ""The dur s the fab.""

There was an event involving a fav and a fel.
The one it happened to was a fel.
The one who did it was a fav.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the dur and the fab.
The one it happened to was the fab.
The one who did it was the dur.

Bridget asked, ""What happened?""
Mary answered, ""The fab is ed by the dur.""

There was an event involving a fav and a fel.
The one it happened to was a fel.
The one who did it was a fav.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a fav and a fel.
The one it happened to was a fel.
The one who did it was a fav.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The ful ed before gir.""

There was an event involving a fav and a fel.
The one it happened to was a fel.
The one who did it was a fav.

Bridget asked, ""What happened?""
Mary answered, ""The"
7,the fab ed the fav .,the fav was ed by the fab .,a fel s a fil .,a fil is ed by a fel .,The lav ed after lil .,involving_event,did_to,mary_answered,patient_first,auto_real_targets,"There was an event involving the fab and the fav.
The one it happened to was the fav.
The one who did it was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The fab ed the fav.""

There was an event involving a fel and a fil.
The one it happened to was a fil.
The one who did it was a fel.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the fab and the fav.
The one it happened to was the fav.
The one who did it was the fab.

Bridget asked, ""What happened?""
Mary answered, ""The fav was ed by the fab.""

There was an event involving a fel and a fil.
The one it happened to was a fil.
The one who did it was a fel.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a fel and a fil.
The one it happened to was a fil.
The one who did it was a fel.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lav ed after lil.""

There was an event involving a fel and a fil.
The one it happened to was a fil.
The one who did it was a fel.

Bridget asked, ""What happened?""
Mary answered, ""The"
8,a fav s a fel .,a fel is ed by a fav .,the fil ed the fol .,the fol was ed by the fil .,The mol ed on the mul .,involving_event,did_to,mary_answered,agent_first,auto_real_targets,"There was an event involving a fav and a fel.
The one who did it was a fav.
The one it happened to was a fel.

Bridget asked, ""What happened?""
Mary answered, ""A fav s a fel.""

There was an event involving the fil and the fol.
The one who did it was the fil.
The one it happened to was the fol.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a fav and a fel.
The one who did it was a fav.
The one it happened to was a fel.

Bridget asked, ""What happened?""
Mary answered, ""A fel is ed by a fav.""

There was an event involving the fil and the fol.
The one who did it was the fil.
The one it happened to was the fol.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the fil and the fol.
The one who did it was the fil.
The one it happened to was the fol.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The mol ed on the mul.""

There was an event involving the fil and the fol.
The one who did it was the fil.
The one it happened to was the fol.

Bridget asked, ""What happened?""
Mary answered, ""The"
9,a fel ed a fil .,a fil was ed by a fel .,the fol s the ful .,the ful is ed by the fol .,The nav ed above the nin .,involving_event,did_to,mary_answered,agent_first,auto_real_targets,"There was an event involving a fel and a fil.
The one who did it was a fel.
The one it happened to was a fil.

Bridget asked, ""What happened?""
Mary answered, ""A fel ed a fil.""

There was an event involving the fol and the ful.
The one who did it was the fol.
The one it happened to was the ful.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a fel and a fil.
The one who did it was a fel.
The one it happened to was a fil.

Bridget asked, ""What happened?""
Mary answered, ""A fil was ed by a fel.""

There was an event involving the fol and the ful.
The one who did it was the fol.
The one it happened to was the ful.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the fol and the ful.
The one who did it was the fol.
The one it happened to was the ful.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The nav ed above the nin.""

There was an event involving the fol and the ful.
The one who did it was the fol.
The one it happened to was the ful.

Bridget asked, ""What happened?""
Mary answered, ""The"
