pa,pp,ta,tp
a doctor grabs an employee .,an employee is grabbed by a doctor .,the actor asked the actress .,the actress was asked by the actor .
a soldier forgot a son .,a son was forgotten by a soldier .,the actress asks the adult .,the adult is asked by the actress .
the guest forgives the guy .,the guy is forgiven by the guest .,an adult asked an attorney .,an attorney was asked by an adult .
the girl beat the guest .,the guest was beaten by the girl .,an attorney asks an aunt .,an aunt is asked by an attorney .
a friend bothers a girl .,a girl is bothered by a friend .,the aunt asked the author .,the author was asked by the aunt .
a prince surprised a princess .,a princess was surprised by a prince .,the author asks the bishop .,the bishop is asked by the author .
the actress kills the adult .,the adult is killed by the actress .,a bishop asked a boy .,a boy was asked by a bishop .
the aunt caught the author .,the author was caught by the aunt .,a boy asks a brother .,a brother is asked by a boy .
a secretary protects a sheriff .,a sheriff is protected by a secretary .,the brother asked the buddy .,the buddy was asked by the brother .
a daughter dragged a doctor .,a doctor was dragged by a daughter .,the buddy asks the candidate .,the candidate is asked by the buddy .
the minister forgives the mother .,the mother is forgiven by the minister .,a candidate asked a captain .,a captain was asked by a candidate .
the professor beat the reader .,the reader was beaten by the professor .,a captain asks a champion .,a champion is asked by a captain .
a boy hurries a brother .,a brother is hurried by a boy .,the champion asked the chief .,the chief was asked by the champion .
an uncle selected a wife .,a wife was selected by an uncle .,the chief asks the child .,the child is asked by the chief .
the woman grabs the worker .,the worker is grabbed by the woman .,a child asked a colonel .,a colonel was asked by a child .
the husband surprised the kid .,the kid was surprised by the husband .,a colonel asks a cop .,a cop is asked by a colonel .
a doctor forgets an employee .,an employee is forgotten by a doctor .,the cop asked the cousin .,the cousin was asked by the cop .
a king grabbed a lady .,a lady was grabbed by a king .,the cousin asks the daughter .,the daughter is asked by the cousin .
the priest washes the prince .,the prince is washed by the priest .,a daughter asked a doctor .,a doctor was asked by a daughter .
the actor hurt the actress .,the actress was hurt by the actor .,a doctor asks an employee .,an employee is asked by a doctor .
a wife hurts a winner .,a winner is hurt by a wife .,the employee asked the employer .,the employer was asked by the employee .
a child caught a colonel .,a colonel was caught by a child .,the employer asks the father .,the father is asked by the employer .
the chief hurries the child .,the child is hurried by the chief .,a father asked a friend .,a friend was asked by a father .
the professor surprised the reader .,the reader was surprised by the professor .,a friend asks a girl .,a girl is asked by a friend .
a manager protects a mayor .,a mayor is protected by a manager .,the girl asked the guest .,the guest was asked by the girl .
a daughter grabbed a doctor .,a doctor was grabbed by a daughter .,the guest asks the guy .,the guy is asked by the guest .
the chief protects the child .,the child is protected by the chief .,a guy asked a hero .,a hero was asked by a guy .
the actor killed the actress .,the actress was killed by the actor .,a hero asks a husband .,a husband is asked by a hero .
a nurse bothers a parent .,a parent is bothered by a nurse .,the husband asked the kid .,the kid was asked by the husband .
a father surprised a friend .,a friend was surprised by a father .,the kid asks the king .,the king is asked by the kid .
the minister raises the mother .,the mother is raised by the minister .,a king asked a lady .,a lady was asked by a king .
the husband washed the kid .,the kid was washed by the husband .,a lady asks a lawyer .,a lawyer is asked by a lady .
a secretary strikes a sheriff .,a sheriff is struck by a secretary .,the lawyer asked the leader .,the leader was asked by the lawyer .
a mother surprised a nurse .,a nurse was surprised by a mother .,the leader asks the man .,the man is asked by the leader .
the buddy beats the candidate .,the candidate is beaten by the buddy .,a man asked a manager .,a manager was asked by a man .
the actor raised the actress .,the actress was raised by the actor .,a manager asks a mayor .,a mayor is asked by a manager .
an attorney understands an aunt .,an aunt is understood by an attorney .,the mayor asked the minister .,the minister was asked by the mayor .
a worker destroyed a writer .,a writer was destroyed by a worker .,the minister asks the mother .,the mother is asked by the minister .
the teacher punches the uncle .,the uncle is punched by the teacher .,a mother asked a nurse .,a nurse was asked by a mother .
the girl carried the guest .,the guest was carried by the girl .,a nurse asks a parent .,a parent is asked by a nurse .
a lady beats a lawyer .,a lawyer is beaten by a lady .,the parent asked the partner .,the partner was asked by the parent .
a king taught a lady .,a lady was taught by a king .,the partner asks the physician .,the physician is asked by the partner .
the kid kisses the king .,the king is kissed by the kid .,a physician asked a pilot .,a pilot was asked by a physician .
the cop destroyed the cousin .,the cousin was destroyed by the cop .,a pilot asks a president .,a president is asked by a pilot .
a colonel hurts a cop .,a cop is hurt by a colonel .,the president asked the priest .,the priest was asked by the president .
a physician described a pilot .,a pilot was described by a physician .,the priest asks the prince .,the prince is asked by the priest .
the cousin describes the daughter .,the daughter is described by the cousin .,a prince asked a princess .,a princess was asked by a prince .
the actor chased the actress .,the actress was chased by the actor .,a princess asks a professor .,a professor is asked by a princess .
a colonel selects a cop .,a cop is selected by a colonel .,the professor asked the reader .,the reader was asked by the professor .
