prompt_column,prime_condition,argument_structure_inferred_final,n_items,total_items,share
prompt_active,active,active_ditransitive_prepositional,2,2080,0.0009615384615384616
prompt_active,active,active_monotransitive_patient,1757,2080,0.8447115384615385
prompt_active,active,active_monotransitive_theme,93,2080,0.04471153846153846
prompt_active,active,active_nonobject,21,2080,0.010096153846153847
prompt_active,active,passive_like,16,2080,0.007692307692307693
prompt_active,active,unknown,191,2080,0.09182692307692308
prompt_filler,filler,active_monotransitive_patient,856,2080,0.4115384615384615
prompt_filler,filler,active_monotransitive_theme,3,2080,0.0014423076923076924
prompt_filler,filler,active_nonobject,296,2080,0.1423076923076923
prompt_filler,filler,copular_like,20,2080,0.009615384615384616
prompt_filler,filler,passive_like,582,2080,0.2798076923076923
prompt_filler,filler,unknown,323,2080,0.15528846153846154
prompt_no_demo,no_demo,active_ditransitive_prepositional,30,2080,0.014423076923076924
prompt_no_demo,no_demo,active_monotransitive_patient,692,2080,0.3326923076923077
prompt_no_demo,no_demo,active_monotransitive_theme,47,2080,0.022596153846153846
prompt_no_demo,no_demo,active_nonobject,39,2080,0.01875
prompt_no_demo,no_demo,copular_like,438,2080,0.21057692307692308
prompt_no_demo,no_demo,multiclause,38,2080,0.01826923076923077
prompt_no_demo,no_demo,passive_like,396,2080,0.19038461538461537
prompt_no_demo,no_demo,unknown,400,2080,0.19230769230769232
prompt_passive,passive,active_ditransitive_prepositional,1,2080,0.0004807692307692308
prompt_passive,passive,active_monotransitive_patient,180,2080,0.08653846153846154
prompt_passive,passive,active_monotransitive_theme,11,2080,0.005288461538461539
prompt_passive,passive,active_nonobject,82,2080,0.03942307692307692
prompt_passive,passive,copular_like,33,2080,0.015865384615384615
prompt_passive,passive,passive_like,1742,2080,0.8375
prompt_passive,passive,unknown,31,2080,0.014903846153846155
